ordre_sessio	id_global	origen	persona	forma	clip	prioritat	prob_min	text	motiu	estat	text_small	text_base	rol_provisional	motiu_rol	f0_median_hz	f0_iqr_hz	pausa_mediana_s	f1_hz	f2_hz	f3_hz	estat_instrumental
1	candidate::lead-rtva-004-joan-mico::bueno::1	Joan Micó (candidat RTVA)	lead-rtva-004-joan-mico	bueno	candidats/lead-rtva-004-joan-mico/clips/joan-mico__bueno__75.24.wav	A-consens-ASR		i la qualitat. Sí, jo crec que i precisament quan la sociologia, la ciència social,	candidat nou: confirmar veu de Joan Micó i forma abans de qualsevol incorporació	pendent	Sí. Bueno, jo crec que i precisament quan la sociologia,	Sí, bueno, jo crec que...	joan-mico-probable	primera persona i resposta desenvolupada	156.25	78.12	0.020	381.10	1741.56	2574.70	suport automàtic; pendent d’audició
2	candidate::lead-rtva-004-joan-mico::bé::2	Joan Micó (candidat RTVA)	lead-rtva-004-joan-mico	bé	candidats/lead-rtva-004-joan-mico/clips/joan-mico__b__154.52.wav	A-consens-ASR		però, bueno, Andorrat ha tingut un model que en aquest sentit realment ha funcionat bé, que és que les persones...	candidat nou: confirmar veu de Joan Micó i forma abans de qualsevol incorporació	pendent	Endorra ha tingut un model que en aquest sentit realment ha funcionat bé,	tingut un model que, en aquest sentit,	indeterminat	no hi ha senyal textual suficient	132.81	15.62	0.080	177.63	1276.87	2474.22	suport automàtic; pendent d’audició
3	candidate::lead-rtva-004-joan-mico::clar::3	Joan Micó (candidat RTVA)	lead-rtva-004-joan-mico	clar	candidats/lead-rtva-004-joan-mico/clips/joan-mico__clar__205.88.wav	A-consens-ASR		i ple per integrar-se. Sí, clar, aquí és el... aquí, sí, sí, a part...	candidat nou: confirmar veu de Joan Micó i forma abans de qualsevol incorporació	pendent	Sí, clar, aquí és el...	Sí, clar, aquí és el...	indeterminat	no hi ha senyal textual suficient	136.72	70.31	0.060	286.53	2316.79	2321.52	suport automàtic; pendent d’audició
4	candidate::lead-rtva-004-joan-mico::de fet::4	Joan Micó (candidat RTVA)	lead-rtva-004-joan-mico	de fet	candidats/lead-rtva-004-joan-mico/clips/joan-mico__de-fet__766.48.wav	A-consens-ASR		el seu donat. Al final, això no ha de ser tan important. De fet, el que dius tu abans, a vegades, el discurs...	candidat nou: confirmar veu de Joan Micó i forma abans de qualsevol incorporació	pendent	A final, això no ha de ser tan important. De fet, doncs el que dius, tu abans, a vegades,	És a final, això no ha de ser tan important.	joan-mico-probable	segment llarg compatible amb resposta	132.81	23.44	0.100	777.27	1907.04	2491.68	suport automàtic; pendent d’audició
5	candidate::lead-rtva-004-joan-mico::doncs::5	Joan Micó (candidat RTVA)	lead-rtva-004-joan-mico	doncs	candidats/lead-rtva-004-joan-mico/clips/joan-mico__doncs__92.28.wav	A-consens-ASR		que tenen una situació diferent d'intre de la estructura social.	candidat nou: confirmar veu de Joan Micó i forma abans de qualsevol incorporació	pendent	Doncs està en una situació diferent dins de la estructura social, no?	perquè hi ha persones que tenen una situació diferent	entrevistador-probable	marcador interrogatiu o inici de pregunta	132.81	23.44	0.070	467.75	1739.28	2387.85	suport automàtic; pendent d’audició
6	candidate::lead-rtva-004-joan-mico::llavors::6	Joan Micó (candidat RTVA)	lead-rtva-004-joan-mico	llavors	candidats/lead-rtva-004-joan-mico/clips/joan-mico__llavors__239.48.wav	A-consens-ASR		Vull dir que llavors amb la pia meia edat que tenim,	candidat nou: confirmar veu de Joan Micó i forma abans de qualsevol incorporació	pendent	Vull dir que llavors el... I amb la primera edat que tenim,	Vull dir que hi ha llavors i amb l'àpia a més de què tenim,	indeterminat	no hi ha senyal textual suficient	156.25	54.69	0.100	296.77	2311.55	2966.74	suport automàtic; pendent d’audició
7	candidate::lead-rtva-004-joan-mico::no?::7	Joan Micó (candidat RTVA)	lead-rtva-004-joan-mico	no?	candidats/lead-rtva-004-joan-mico/clips/joan-mico__no__64.24.wav	A-consens-ASR		i intentar una mica com després hi ha moltes potències, jo crec que al final la gent tindrà una idea molt clara de com som. Sí, sí.	candidat nou: confirmar veu de Joan Micó i forma abans de qualsevol incorporació	pendent	Després hi ha moltes potències, jo crec que al final la gent tindrà una idea molt clara de com som, no?	Com després hi ha moltes porrens, jo crec que al final	mixt-indeterminat	pregunta i resposta possible dins el mateix segment	132.81	23.44	0.050	235.26	774.69	2269.78	suport automàtic; pendent d’audició
8	candidate::lead-rtva-004-joan-mico::o sigui::8	Joan Micó (candidat RTVA)	lead-rtva-004-joan-mico	o sigui	candidats/lead-rtva-004-joan-mico/clips/joan-mico__o-sigui__379.88.wav	A-consens-ASR		per no tenir la feina, doncs no tenen... Sí, és clar, els homes es poden dedicar a tenir... Bueno, a fer mesura, el que sigui.	candidat nou: confirmar veu de Joan Micó i forma abans de qualsevol incorporació	pendent	doncs no tenen, o sigui, clar, els homes es poden dedicar a fer més hores,	Si clar, les dones poden dedicar a tenir...	indeterminat	no hi ha senyal textual suficient	132.81	31.25	0.080	222.77	1263.44	2434.89	suport automàtic; pendent d’audició
9	candidate::lead-rtva-004-joan-mico::per tant::9	Joan Micó (candidat RTVA)	lead-rtva-004-joan-mico	per tant	candidats/lead-rtva-004-joan-mico/clips/joan-mico__per-tant__42.28.wav	A-consens-ASR		i ha dit que ha vingut per tant, no demà, sinó el següent, a la Universitat Catalana d'Estiu,	candidat nou: confirmar veu de Joan Micó i forma abans de qualsevol incorporació	pendent	per tant, no demà, sinó el següent, a la Universitat Catalana d'Estiu.	et dissabte vinent, per tant, no demà, sinó el següent.	indeterminat	no hi ha senyal textual suficient	218.75	85.94	0.080	749.82	1327.62	3012.57	suport automàtic; pendent d’audició
10	candidate::lead-rtva-004-joan-mico::perquè::10	Joan Micó (candidat RTVA)	lead-rtva-004-joan-mico	perquè	candidats/lead-rtva-004-joan-mico/clips/joan-mico__perqu__87.00.wav	A-consens-ASR		són els factors per què, per què, perquè si hi ha persones que tenen, doncs, està una mica més...	candidat nou: confirmar veu de Joan Micó i forma abans de qualsevol incorporació	pendent	Vull dir, són els factors per quals, perquè sí, hi ha persones que tenen...	Són els factors per qualsevol,	indeterminat	no hi ha senyal textual suficient	140.62	15.62	0.080	327.88	1544.32	2711.40	suport automàtic; pendent d’audició
