ordre_sessio	id_global	origen	persona	forma	clip	prioritat	prob_min	text	motiu	estat	text_small	text_base	rol_provisional	motiu_rol	f0_median_hz	f0_iqr_hz	pausa_mediana_s	f1_hz	f2_hz	f3_hz	estat_instrumental
1	canon::pa-019::a nivell::56	canònic	pa-019	a nivell	clips/pa-019__a-nivell__122.25.wav	A-triple-token-fort	0.9056	i la Constitució és un qualsevol tema que entre a nivell de comissions.	cobertura equilibrada: primer clip disponible fora de la sessió 01	pendent	la Constitució és amb qualsevol tema que entrés a nivell de comissions.	No sóc la mena de la Constitució, som quan sou el tema que entres a nivell d'acommissions. I això va provocar una dinàmica molt intensiva,		segment canònic; el rol es confirma amb l'audició	175.07	176.29	0.060	383.80	2110.96	2848.96	suport automàtic; pendent d'audició
2	canon::pa-034::a veure::42	canònic	pa-034	a veure	clips/pa-034__a-veure__94.05.wav	A-triple-token-fort	0.9578	i em va venir a veure, perquè, clar, ja sabia de començar a preparar,  les candidats.	cobertura equilibrada: primer clip disponible fora de la sessió 01	pendent	Em va venir a veure, perquè, clar, ja sabia de començar a preparar,	Fins que el senyor Josep Casal de Casaga va això. Em va venir a veure, perquè clar, ja s'havia de començar a preparar avui de les candidatures.		segment canònic; el rol es confirma amb l'audició	182.92	146.92	0.080	766.15	1450.75	3113.69	suport automàtic; pendent d'audició
3	canon::pa-006::aleshores::118	canònic	pa-006	aleshores	clips/pa-006__aleshores__513.25.wav	B-triple-token-baix	0.5916	Aleshores era molt fàcil agafar i aprofitar la força de l'aigua laixant per l'entrada.	cobertura equilibrada: primer clip disponible fora de la sessió 01	pendent	Aleshores era molt fàcil agafar i aprofitar la força d'aigua baixant per l'entrada.	On hi ha un riu amb bastant desniveï i un cert quantitat de cavallau que passa a pomixopopla. Aleshores, era molt fàcil a agafar i aprofitar la força de l'aigua a l'aixant per l'entrada paraparalto del mou i, que diria, és la roda de l'aix,		segment canònic; el rol es confirma amb l'audició	108.91	36.05	0.100	1567.02	2587.02	3187.61	suport automàtic; pendent d'audició
4	canon::pa-014::aviam::291	canònic	pa-014	aviam	clips/pa-014__aviam__875.45.wav	C-dos-models	0.1944	i es pot fer una cosa, i van dir, escuteu, aviam,  imagineu-vos que les merdes apareixen.  Què passa amb el contrapàs? Es deixarà de ballar.	cobertura equilibrada: primer clip disponible fora de la sessió 01	pendent	d'escoltar una cosa, es diu, escoteu, aviam. Imagineu-vos que les merdes apareixen. Què passa amb el contrapàs? Es deixarà de ballar.	Va dir, és que a protestar els i vam anar a fer una cosa, i vam dir escoltar-ho, aviam. Imaginau-se que les mardes apareix. Què passa amb el contrapass? Has deixat de ballar?		segment canònic; el rol es confirma amb l'audició	121.39	27.71	0.080	658.24	1627.67	2437.73	suport automàtic; pendent d'audició
5	canon::pa-066::bueno::75	canònic	pa-066	bueno	clips/pa-066__bueno__357.23.wav	A-triple-token-fort	0.8366	i, bueno, jo recordo que he passat...	cobertura equilibrada: primer clip disponible fora de la sessió 01	pendent	de la perifèria, i, bueno, jo recordo que he passat...	per poder donar servei als clients que venien de la perifèria. I, bueno, jo recordo que he passat, si no tota la nit,		segment canònic; el rol es confirma amb l'audició	245.16	97.19	0.080	368.86	597.75	2204.49	suport automàtic; pendent d'audició
6	canon::pa-004::bé::30	canònic	pa-004	bé	clips/pa-004__b__319.61.wav	A-triple-token-fort	0.9828	més o menys està bé allà i després...	cobertura equilibrada: primer clip disponible fora de la sessió 01	pendent	més o menys està bé allà i després...	més o menys, està bé allà. I després tenim també el molí comunal de senyora de l'òria,		segment canònic; el rol es confirma amb l'audició	288.82	185.63	0.530	236.30	1989.86	2971.38	suport automàtic; pendent d'audició
7	canon::pa-010::clar::24	canònic	pa-010	clar	clips/pa-010__clar__334.85.wav	A-triple-token-fort	0.9866	que ho són tant. Us acusaré un parell d'exemplos i ho veureu més clar.	cobertura equilibrada: primer clip disponible fora de la sessió 01	pendent	que ho són tant. Us acusaré un parell d'exemplos i ho veureu més clar.	Ã©s dir, topÃ²nims que semblen transperents, no ho sÃ³n tant. us repuserÃ© un parell d'exemples i ho veureu mÃ©s clar.		segment canònic; el rol es confirma amb l'audició	118.85	143.31	0.060	499.53	1825.84	3431.68	suport automàtic; pendent d'audició
8	canon::pa-041::crec::21	canònic	pa-041	crec	clips/pa-041__crec__56.25.wav	A-triple-token-fort	0.9905	els pares jo crec que van fer una feina molt important  amb aquells primers anys de l'escola en d'Orrana.	cobertura equilibrada: primer clip disponible fora de la sessió 01	pendent	als pares jo crec que van fer una feina molt important amb aquells primers anys de l'escola en d'Orrana.	de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les eleccions de les elecc Els pares jo crec que van fer una feina molt important amb aquells primers anys a l'escola d'Andorran. Jo crec que es deu els pares la divulgació		segment canònic; el rol es confirma amb l'audició	269.74	137.42	0.040	770.52	1433.03	2592.38	suport automàtic; pendent d'audició
9	canon::pa-040::de fet::43	canònic	pa-040	de fet	clips/pa-040__de-fet__70.17.wav	A-triple-token-fort	0.9576	i de fet el meu pare el portava sempre sobre aquell pin.	cobertura equilibrada: primer clip disponible fora de la sessió 01	pendent	que tu et trobaves i, de fet, el meu pare el portarà sempre sobre què hi pinc.	amb la malli bret de la Constitució que ho trobava. I de fet, el meu pare, el portava sempre sobre que hi pint sempre el portava bé.		segment canònic; el rol es confirma amb l'audició	179.13	99.23	0.040	486.38	1338.61	2631.94	suport automàtic; pendent d'audició
10	canon::pa-019::diguem::51	canònic	pa-019	diguem	clips/pa-019__diguem__109.25.wav	A-triple-token-fort	0.9362	i va haver una certa... diguem-ne, un bon feeling, no?	cobertura equilibrada: primer clip disponible fora de la sessió 01	pendent	I va haver una certa, diguem-ne, un bon feeling, no?	Jo crec que es va generar una certa complicitat entre els consellers, no? I m'ha veu una certa, diguem, d'un bon filling, no? que va provocar que s'entres amb una dinàmica d'avançar.		segment canònic; el rol es confirma amb l'audició	146.29	160.32	0.100				suport automàtic; pendent d'audició
