ordre_sessio	id_global	origen	persona	forma	clip	prioritat	prob_min	text	motiu	estat	text_small	text_base	rol_provisional	motiu_rol	f0_median_hz	f0_iqr_hz	pausa_mediana_s	f1_hz	f2_hz	f3_hz	estat_instrumental
1	canon::pa-025::crec::s05-1	canònic	pa-025	crec	clips/pa-025__crec__4.25.wav	A-triple-token-fort	0.9899	Jo crec que el que es volia era trobar la manera de arribar.	sessió 05: clip canònic d'alta prioritat fora de les sessions 01–02	pendent	sí	sí		segment canònic; el rol es confirma amb l'audició	255.46	35.88	0.120	296.47	1764.92	2829.07	suport automàtic; pendent d'audició
2	canon::pa-040::crec::s05-2	canònic	pa-040	crec	clips/pa-040__crec__4.37.wav	A-triple-token-fort	0.9886	Jo crec que he pogut entrar a càrrecs.	sessió 05: clip canònic d'alta prioritat fora de les sessions 01–02	pendent	sí	sí		segment canònic; el rol es confirma amb l'audició	237.46	80.80	0.100	1069.80	2117.13	3343.08	suport automàtic; pendent d'audició
3	canon::pa-048::crec::s05-3	canònic	pa-048	crec	clips/pa-048__crec__110.97.wav	A-triple-token-fort	0.9866	Si hi ha cel, jo no crec ni en l'inferna, ni el purgatori, ni el cel.	sessió 05: clip canònic d'alta prioritat fora de les sessions 01–02	pendent	sí	sí		segment canònic; el rol es confirma amb l'audició	211.25	157.94	0.100	498.93	1479.69	2856.93	suport automàtic; pendent d'audició
4	canon::pa-056::crec::s05-4	canònic	pa-056	crec	clips/pa-056__crec__347.05.wav	A-triple-token-fort	0.9856	perquè jo crec que hi ha alguns que em donen una sensació	sessió 05: clip canònic d'alta prioritat fora de les sessions 01–02	pendent	sí	sí		segment canònic; el rol es confirma amb l'audició	273.02	141.35	0.080	577.22	1608.82	2535.89	suport automàtic; pendent d'audició
5	canon::pa-064::crec::s05-5	canònic	pa-064	crec	clips/pa-064__crec__1335.77.wav	A-triple-token-fort	0.9844	La família, jo crec que és l'essència de viure bé i en pau.	sessió 05: clip canònic d'alta prioritat fora de les sessions 01–02	pendent	sí	sí		segment canònic; el rol es confirma amb l'audició	286.12	64.00	0.160	732.28	2105.36	3105.72	suport automàtic; pendent d'audició
6	canon::pa-056::clar::s05-6	canònic	pa-056	clar	clips/pa-056__clar__62.45.wav	A-triple-token-fort	0.9842	Jo tenia molt clar que s'havia de canviar de manera de fer.	sessió 05: clip canònic d'alta prioritat fora de les sessions 01–02	pendent	sí	sí		segment canònic; el rol es confirma amb l'audició	140.81	154.96	0.040	456.51	1260.10	2022.72	suport automàtic; pendent d'audició
7	canon::pa-059::clar::s05-7	canònic	pa-059	clar	clips/pa-059__clar__36.61.wav	A-triple-token-fort	0.9810	i és on els primers.  Nosaltres teníem clar que havíem de fer el pas.	sessió 05: clip canònic d'alta prioritat fora de les sessions 01–02	pendent	sí	sí		segment canònic; el rol es confirma amb l'audició	221.17	121.41	0.080	681.47	2162.30	2995.95	suport automàtic; pendent d'audició
8	canon::pa-017::clar::s05-8	canònic	pa-017	clar	clips/pa-017__clar__34.45.wav	A-triple-token-fort	0.9757	No és el fet de ser els primers o no els primers.  Nosaltres teníem clar que havíem de fer el pas.	sessió 05: clip canònic d'alta prioritat fora de les sessions 01–02	pendent	sí	sí		segment canònic; el rol es confirma amb l'audició	211.76	124.90	0.080	877.05	1934.95	3178.95	suport automàtic; pendent d'audició
9	canon::pa-030::crec::s05-9	canònic	pa-030	crec	clips/pa-030__crec__346.45.wav	A-triple-token-fort	0.9742	perquè jo crec que hi ha alguns que em donen una sensació	sessió 05: clip canònic d'alta prioritat fora de les sessions 01–02	pendent	sí	sí		segment canònic; el rol es confirma amb l'audició	273.60	172.02	0.080	1060.38	2250.43	3446.05	suport automàtic; pendent d'audició
10	canon::pa-049::crec::s05-10	canònic	pa-049	crec	clips/pa-049__crec__371.85.wav	A-triple-token-fort	0.9717	i que no hi havia res.  Jo crec que en aquella època pràcticament tot devia ser necessari  per la falta, precisament, de tot el que hi havia aquí al país.	sessió 05: clip canònic d'alta prioritat fora de les sessions 01–02	pendent	sí	sí		segment canònic; el rol es confirma amb l'audició	252.50	78.61	0.060	344.98	2109.70	3272.87	suport automàtic; pendent d'audició
