ordre_sessio	id_global	origen	persona	forma	clip	prioritat	prob_min	text	motiu	estat	text_small	text_base	rol_provisional	motiu_rol	f0_median_hz	f0_iqr_hz	pausa_mediana_s	f1_hz	f2_hz	f3_hz	estat_instrumental
1	canon::pa-036::bé::1	canònic	pa-036	bé	clips/pa-036__b__69.45.wav	A-triple-token-fort	0.9995	El coprincipat ens ha vingut molt bé i pensàvem que aquest havia de continuar.	tres models i probabilitat de token >= 0,80	pendent	el coprincipat. El coprincipat ens ha vingut molt bé i pensàvem que aquest hauria de continuar i així ens ha sigut.	En nosaltres, el que no volia veure l'institució del co-principat, el co-principat ens ha vingut molt bé i pensàvem que aquest avi de continuar, i així ens ha sigut, no?,		segment canònic; el rol es confirma amb l'audició	264.50	174.81	0.050	429.12	1609.59	2396.21	suport automàtic; pendent d'audició
2	canon::pa-011::bé::2	canònic	pa-011	bé	clips/pa-011__b__185.57.wav	A-triple-token-fort	0.9983	a l'exterior de la casa, o molt bé, a aquesta casa.	tres models i probabilitat de token >= 0,80	pendent	a l'exterior de la casa es va molt bé, doncs, a aquesta...	a moment de la família. El exterior de la casa es va molt bé, doncs a aquestes juntes, a aquesta manera com va creixer la casa.		segment canònic; el rol es confirma amb l'audició	218.51	78.83	0.090	798.21	1751.95	3114.63	suport automàtic; pendent d'audició
3	canon::pa-038::crec::3	canònic	pa-038	crec	clips/pa-038__crec__220.69.wav	A-triple-token-fort	0.9981	Bé, jo crec que l'atac de nacionalisme que ens va moure...	tres models i probabilitat de token >= 0,80	pendent	Bé, jo crec que l'atac de nacionalisme que ens va moure...	Jo crec que l'attaque de nacionalisme, que ens va moure, en aquell moment, acabar amb aquest espèràctiques,		segment canònic; el rol es confirma amb l'audició	200.57	110.59	0.100	613.07	2476.79	3117.34	suport automàtic; pendent d'audició
4	canon::pa-020::bé::4	canònic	pa-020	bé	clips/pa-020__b__146.37.wav	A-triple-token-fort	0.9976	i els consuls, en aquell moment, potser no eren ben bé del mateix equip,	tres models i probabilitat de token >= 0,80	pendent	en aquell moment potser no eren ben bé del mateix equip.	Hi havia... hi havia els consos, els consos. En aquell moment potser no eren ben bé del mateix equip, però, finalment, vam discutar d'aquesta deponeta		segment canònic; el rol es confirma amb l'audició	172.86	14.09	0.130	418.16	1749.66	2333.66	suport automàtic; pendent d'audició
5	canon::pa-009::bé::5	canònic	pa-009	bé	clips/pa-009__b__557.25.wav	A-triple-token-fort	0.9969	i són campanes que sonen molt bé.	tres models i probabilitat de token >= 0,80	pendent	i són campanes que sonen molt bé.	Va fondre una vintena de campanes delicioses, són les campanes que són profundament decorades de corades i són campanes que sonen molt bé. El mestre Marsegués, Joan Boyer,		segment canònic; el rol es confirma amb l'audició	185.08	40.09	0.100	358.21	1745.11	2534.70	suport automàtic; pendent d'audició
6	canon::pa-018::crec::6	canònic	pa-018	crec	clips/pa-018__crec__7.49.wav	A-triple-token-fort	0.9969	i després jo crec que el problema que hi ha del 78 és que...	tres models i probabilitat de token >= 0,80	pendent	i després jo crec que el problema que hi ha dels 78 és que...	El 78 del mèrit d'obril debat i després jo crec que el problema que hi ha del 78 és que, internament,		segment canònic; el rol es confirma amb l'audició	268.93	43.02	0.070	280.86	1944.35	2432.62	suport automàtic; pendent d'audició
7	canon::pa-031::crec::7	canònic	pa-031	crec	clips/pa-031__crec__87.01.wav	A-triple-token-fort	0.9956	de sort, però realment jo crec que l'esperit de la gent no hi ha ni per a la gent.	tres models i probabilitat de token >= 0,80	pendent	de sort, però realment jo crec que l'esperit de la gent no hi ha ni pensat.	de sort, però, realment, jo crec que l'esprit de la gent no hi ha ni per fer una constitució.		segment canònic; el rol es confirma amb l'audició	238.59	128.02	0.120	1238.68	1994.62	3171.76	suport automàtic; pendent d'audició
8	canon::pa-062::crec::8	canònic	pa-062	crec	clips/pa-062__crec__1037.89.wav	A-triple-token-fort	0.9952	i el va callar. Jo crec que has tallat el pernil.	tres models i probabilitat de token >= 0,80	pendent	que el va callar, jo crec que has tallat el pernil. Sí.	Jo crec que m'agradaria que no s'hagien d'explicar.		segment canònic; el rol es confirma amb l'audició	171.10	30.76	0.080	643.61	1391.02	3033.20	suport automàtic; pendent d'audició
9	canon::pa-064::a veure::9	canònic	pa-064	a veure	clips/pa-064__a-veure__587.61.wav	A-triple-token-fort	0.9952	No s'ha tornat a veure amb els anys.	tres models i probabilitat de token >= 0,80	pendent	No s'ha tornat a veure amb els anys.	i els presentava així, perquè, per això, hi agradava. -Això t'ho ha anat a veure, amb els anys? -Ja faig les d'aví d'aví de segons.		segment canònic; el rol es confirma amb l'audició	223.51	105.30	0.110	499.50	1347.08	2590.44	suport automàtic; pendent d'audició
10	canon::pa-022::clar::10	canònic	pa-022	clar	clips/pa-022__clar__107.73.wav	A-triple-token-fort	0.9951	que el seu objectiu tenia molt clar que es jugava molt.	tres models i probabilitat de token >= 0,80	pendent	l'objectiu tenia molt clar que s'hi jugava molt.	I aquest va ser l'objectiu. Teniu molt clar que ets i jugar al món. Perquè si no s'arriba a fer la Constitució		segment canònic; el rol es confirma amb l'audició	237.39	161.06	0.080	657.85	1267.06	2548.47	suport automàtic; pendent d'audició
