id_persona	n_contextos	categories	estat
pa-001	195	contacte_castella_candidat=2;incoatiu_eix_candidat=3;negacio_lexical_candidat=13;negacio_no_pas_candidat=1;perifrasi_past_candidata=64;possessius_candidat=19;pronom_en_candidat=30;pronom_hi_candidat=44;pronom_ho_candidat=19	candidat textual ASR; revisió auditiva pendent
pa-003	54	contacte_castella_candidat=1;incoatiu_eix_candidat=1;perifrasi_past_candidata=9;possessius_candidat=4;pronom_en_candidat=23;pronom_hi_candidat=16	candidat textual ASR; revisió auditiva pendent
pa-002	397	contacte_castella_candidat=11;incoatiu_eix_candidat=2;negacio_lexical_candidat=4;perifrasi_past_candidata=217;possessius_candidat=24;pronom_en_candidat=37;pronom_hi_candidat=57;pronom_ho_candidat=45	candidat textual ASR; revisió auditiva pendent
pa-004	91	negacio_lexical_candidat=3;perifrasi_past_candidata=26;possessius_candidat=4;pronom_en_candidat=42;pronom_hi_candidat=14;pronom_ho_candidat=2	candidat textual ASR; revisió auditiva pendent
pa-005	73	incoatiu_eix_candidat=1;perifrasi_past_candidata=15;possessius_candidat=8;pronom_en_candidat=31;pronom_hi_candidat=9;pronom_ho_candidat=9	candidat textual ASR; revisió auditiva pendent
pa-006	56	incoatiu_eix_candidat=2;perifrasi_past_candidata=4;possessius_candidat=6;pronom_en_candidat=26;pronom_hi_candidat=15;pronom_ho_candidat=3	candidat textual ASR; revisió auditiva pendent
pa-007	89	contacte_castella_candidat=1;incoatiu_eix_candidat=4;negacio_lexical_candidat=1;negacio_no_pas_candidat=2;perifrasi_past_candidata=24;possessius_candidat=22;pronom_en_candidat=23;pronom_hi_candidat=7;pronom_ho_candidat=5	candidat textual ASR; revisió auditiva pendent
pa-008	193	contacte_castella_candidat=1;incoatiu_eix_candidat=20;perifrasi_past_candidata=46;possessius_candidat=21;pronom_en_candidat=71;pronom_hi_candidat=20;pronom_ho_candidat=14	candidat textual ASR; revisió auditiva pendent
pa-009	105	incoatiu_eix_candidat=6;negacio_lexical_candidat=1;negacio_no_pas_candidat=2;perifrasi_past_candidata=9;possessius_candidat=30;pronom_en_candidat=35;pronom_hi_candidat=17;pronom_ho_candidat=5	candidat textual ASR; revisió auditiva pendent
pa-010	137	incoatiu_eix_candidat=2;negacio_lexical_candidat=3;perifrasi_past_candidata=21;possessius_candidat=19;pronom_en_candidat=60;pronom_hi_candidat=26;pronom_ho_candidat=6	candidat textual ASR; revisió auditiva pendent
pa-011	77	incoatiu_eix_candidat=4;perifrasi_past_candidata=24;possessius_candidat=8;pronom_en_candidat=19;pronom_hi_candidat=21;pronom_ho_candidat=1	candidat textual ASR; revisió auditiva pendent
pa-012	40	incoatiu_eix_candidat=1;perifrasi_past_candidata=4;possessius_candidat=10;pronom_en_candidat=16;pronom_hi_candidat=8;pronom_ho_candidat=1	candidat textual ASR; revisió auditiva pendent
pa-013	101	incoatiu_eix_candidat=8;perifrasi_past_candidata=26;possessius_candidat=23;pronom_en_candidat=34;pronom_hi_candidat=10	candidat textual ASR; revisió auditiva pendent
pa-014	126	incoatiu_eix_candidat=5;negacio_lexical_candidat=1;perifrasi_past_candidata=26;possessius_candidat=17;pronom_en_candidat=32;pronom_hi_candidat=26;pronom_ho_candidat=19	candidat textual ASR; revisió auditiva pendent
pa-015	25	incoatiu_eix_candidat=3;perifrasi_past_candidata=1;possessius_candidat=8;pronom_en_candidat=11;pronom_ho_candidat=2	candidat textual ASR; revisió auditiva pendent
pa-016	137	contacte_castella_candidat=5;negacio_lexical_candidat=4;negacio_no_pas_candidat=1;perifrasi_past_candidata=50;possessius_candidat=13;pronom_en_candidat=32;pronom_hi_candidat=23;pronom_ho_candidat=9	candidat textual ASR; revisió auditiva pendent
pa-017	132	contacte_castella_candidat=2;incoatiu_eix_candidat=1;negacio_lexical_candidat=3;perifrasi_past_candidata=61;possessius_candidat=10;pronom_en_candidat=12;pronom_hi_candidat=33;pronom_ho_candidat=10	candidat textual ASR; revisió auditiva pendent
pa-018	423	contacte_castella_candidat=51;incoatiu_eix_candidat=3;negacio_lexical_candidat=7;negacio_no_pas_candidat=1;perifrasi_past_candidata=141;possessius_candidat=33;pronom_en_candidat=87;pronom_hi_candidat=64;pronom_ho_candidat=36	candidat textual ASR; revisió auditiva pendent
pa-019	100	contacte_castella_candidat=3;incoatiu_eix_candidat=1;negacio_lexical_candidat=3;perifrasi_past_candidata=40;possessius_candidat=11;pronom_en_candidat=20;pronom_hi_candidat=16;pronom_ho_candidat=6	candidat textual ASR; revisió auditiva pendent
pa-020	400	contacte_castella_candidat=22;incoatiu_eix_candidat=2;negacio_lexical_candidat=6;perifrasi_past_candidata=190;possessius_candidat=30;pronom_en_candidat=34;pronom_hi_candidat=63;pronom_ho_candidat=53	candidat textual ASR; revisió auditiva pendent
pa-021	134	contacte_castella_candidat=11;incoatiu_eix_candidat=2;negacio_lexical_candidat=1;perifrasi_past_candidata=50;possessius_candidat=12;pronom_en_candidat=27;pronom_hi_candidat=16;pronom_ho_candidat=15	candidat textual ASR; revisió auditiva pendent
pa-022	146	contacte_castella_candidat=12;negacio_lexical_candidat=7;perifrasi_past_candidata=67;possessius_candidat=6;pronom_en_candidat=8;pronom_hi_candidat=38;pronom_ho_candidat=8	candidat textual ASR; revisió auditiva pendent
pa-023	102	contacte_castella_candidat=3;perifrasi_past_candidata=61;possessius_candidat=3;pronom_en_candidat=13;pronom_hi_candidat=16;pronom_ho_candidat=6	candidat textual ASR; revisió auditiva pendent
pa-024	369	contacte_castella_candidat=26;incoatiu_eix_candidat=7;negacio_lexical_candidat=4;perifrasi_past_candidata=130;possessius_candidat=26;pronom_en_candidat=40;pronom_hi_candidat=57;pronom_ho_candidat=79	candidat textual ASR; revisió auditiva pendent
pa-025	241	contacte_castella_candidat=9;incoatiu_eix_candidat=3;negacio_lexical_candidat=7;perifrasi_past_candidata=98;possessius_candidat=21;pronom_en_candidat=35;pronom_hi_candidat=37;pronom_ho_candidat=31	candidat textual ASR; revisió auditiva pendent
pa-026	337	contacte_castella_candidat=25;incoatiu_eix_candidat=1;negacio_lexical_candidat=2;perifrasi_past_candidata=183;possessius_candidat=17;pronom_en_candidat=26;pronom_hi_candidat=47;pronom_ho_candidat=36	candidat textual ASR; revisió auditiva pendent
pa-027	164	contacte_castella_candidat=7;incoatiu_eix_candidat=1;negacio_lexical_candidat=6;perifrasi_past_candidata=64;possessius_candidat=11;pronom_en_candidat=33;pronom_hi_candidat=26;pronom_ho_candidat=16	candidat textual ASR; revisió auditiva pendent
pa-028	60	contacte_castella_candidat=12;incoatiu_eix_candidat=1;negacio_lexical_candidat=1;perifrasi_past_candidata=20;possessius_candidat=1;pronom_en_candidat=7;pronom_hi_candidat=12;pronom_ho_candidat=6	candidat textual ASR; revisió auditiva pendent
pa-029	191	contacte_castella_candidat=2;negacio_lexical_candidat=1;perifrasi_past_candidata=108;possessius_candidat=13;pronom_en_candidat=26;pronom_hi_candidat=31;pronom_ho_candidat=10	candidat textual ASR; revisió auditiva pendent
pa-030	186	contacte_castella_candidat=3;incoatiu_eix_candidat=3;negacio_lexical_candidat=2;perifrasi_past_candidata=85;possessius_candidat=11;pronom_en_candidat=28;pronom_hi_candidat=35;pronom_ho_candidat=19	candidat textual ASR; revisió auditiva pendent
pa-031	153	contacte_castella_candidat=13;negacio_lexical_candidat=5;perifrasi_past_candidata=74;possessius_candidat=12;pronom_en_candidat=13;pronom_hi_candidat=20;pronom_ho_candidat=16	candidat textual ASR; revisió auditiva pendent
pa-032	95	contacte_castella_candidat=4;negacio_lexical_candidat=6;perifrasi_past_candidata=40;possessius_candidat=3;pronom_en_candidat=8;pronom_hi_candidat=24;pronom_ho_candidat=10	candidat textual ASR; revisió auditiva pendent
pa-033	52	negacio_no_pas_candidat=1;perifrasi_past_candidata=17;possessius_candidat=6;pronom_en_candidat=7;pronom_hi_candidat=13;pronom_ho_candidat=8	candidat textual ASR; revisió auditiva pendent
pa-034	248	contacte_castella_candidat=32;negacio_lexical_candidat=4;perifrasi_past_candidata=115;possessius_candidat=13;pronom_en_candidat=24;pronom_hi_candidat=26;pronom_ho_candidat=34	candidat textual ASR; revisió auditiva pendent
pa-035	146	contacte_castella_candidat=1;negacio_lexical_candidat=2;perifrasi_past_candidata=92;possessius_candidat=10;pronom_en_candidat=17;pronom_hi_candidat=16;pronom_ho_candidat=8	candidat textual ASR; revisió auditiva pendent
pa-036	158	contacte_castella_candidat=3;negacio_lexical_candidat=2;negacio_no_pas_candidat=1;perifrasi_past_candidata=81;possessius_candidat=8;pronom_en_candidat=28;pronom_hi_candidat=13;pronom_ho_candidat=22	candidat textual ASR; revisió auditiva pendent
pa-037	80	contacte_castella_candidat=5;negacio_lexical_candidat=3;perifrasi_past_candidata=36;possessius_candidat=8;pronom_en_candidat=9;pronom_hi_candidat=8;pronom_ho_candidat=11	candidat textual ASR; revisió auditiva pendent
