id_persona	forma	clip	sha256	greedy_txt	text_greedy	forma_en_greedy
pa-001	evidentment	clips/pa-001__evidentment__1067.69.wav	ad54c14d5dc00ab16f689e248f37749b4112bf0047d872729259001fa74b6986	qa-equilibrada-greedy/pa-001__evidentment__1067_69.txt	i que no es pot fer una altra cosa.	no
pa-002	reformeta	clips/pa-002__reformeta__12.25.wav	6aa060c5245db509abfb70f46cd39abe070648e52010c2146d0e3f65b9f9adf2	qa-equilibrada-greedy/pa-002__reformeta__12_25.txt	per molt que s'hagués fet, el que se'n va dir reformeta,	sí
pa-002	evidentment	clips/pa-002__evidentment__205.25.wav	e4e97c121a809d5972929da11e022022281e79bf427f53b087fd9ba50dbdca9f	qa-equilibrada-greedy/pa-002__evidentment__205_25.txt	Providament no hi havia d'altra fórmula.	no
pa-003	ensenyança	clips/pa-003__ensenyan-a__279.69.wav	e3eda433ac0c897ef09df433bce38d62ce0bfd4fd1321cb14f3c94577b7ccab7	qa-equilibrada-greedy/pa-003__ensenyan-a__279_69.txt	que s'integre amb una primera ensenyança de sistemes educatius estrangers,  com?	sí
pa-003	tirar endavant	clips/pa-003__tirar-endavant__361.93.wav	3c9e5d455711d2d75cb1417b65ef934c50b4b07120d8ec51ac1e2f7923e892f6	qa-equilibrada-greedy/pa-003__tirar-endavant__361_93.txt	per crear i tirar endavant un sistema educatiu propi.	sí
pa-004	evidentment	clips/pa-004__evidentment__522.93.wav	f55e29919d590c73fed4a0a8d149750111fc97e3c65a84379c0b6f017a42626a	qa-equilibrada-greedy/pa-004__evidentment__522_93.txt	i doncs provaria aigua suficient, evidentment, i el...	sí
pa-005	o sigui	clips/pa-005__o-sigui__373.33.wav	e012a0a257dc06ff00777d412bdd6a5e595872f15519fd8daf177f55d9e63550	qa-equilibrada-greedy/pa-005__o-sigui__373_33.txt	Un formatxar i dues fogaces de pa.  O sigui que hi ha poques bromes.	sí
pa-006	de fet	clips/pa-006__de-fet__285.25.wav	1bf772774bb8043b9f1f91446680ac19da3b91704a57ad5bee82b37b0b9ac226	qa-equilibrada-greedy/pa-006__de-fet__285_25.txt	i el que és un molit de blat és que, de fet,  només hi ha una sola peça al moviment.	sí
pa-006	aleshores	clips/pa-006__aleshores__513.25.wav	cac256c27dcd20d9a0f265adeaf6a2fdb6e5da095f09436154680c700b58f2d5	qa-equilibrada-greedy/pa-006__aleshores__513_25.txt	Aleshores era molt fàcil agafar i aprofitar la força de l'aigua laixant per l'entrada.	sí
pa-007	a veure	clips/pa-007__a-veure__89.25.wav	2e33ec4258f16610796effef83c0b15f586de483c9feea9356e66c28bcb48f98	qa-equilibrada-greedy/pa-007__a-veure__89_25.txt	que he tingut a veure amb la història del nostre país  i que vaig publicar a un dels meus llibres que tinc per aquí.	sí
