ordre	categoria	score_evidencia	id_persona	forma	interval_escolta	clip	transcripcio_qa	json_qa	token_coincidencia	token_intervals_absolute	token_prob_min	token_prob_mean	token_text	text_qa	consens_dos_asr	coincidencia_temporal_asr	forma_en_qa	conf_min_segment	conf_min_base_segment	veu_proporcio	rms_p50_db	f0_median_hz	f0_iqr_hz	centroid_median_hz	pausa_mediana_s	estat_audicio	forma_confirmada_auditivament	variant_transcrita	trets_fonetics_observats	observacions_prosodiques	nota_audicio	categoria_tres_models	text_small	text_base	text_greedy	prioritat_manual	token_interval_absolute	token_duration_s	f0_token_hz	f1_token_hz	f2_token_hz	f3_token_hz	intensity_token_db	f0_persona_median_hz	delta_f0_clip_persona_hz	centroid_clip_hz	veu_clip	pausa_clip_s
3	A-triple-consens	9	pa-010	crec	1033.25-1036.75	clips/pa-010__crec__1033.25.wav	qa-clips/pa-010__crec__1033_25_1036_75.txt	qa-clips-json/pa-010__crec__1033_25.json	sí	1033.640-1034.010	0.8283	0.8283	crec	i que crec que és prou encertada.	sí	sí	sí	0.695	0.070	0.4138	-37.84	189.30	180.68	777.86	0.100	pendent						B-dos-models	i que crec que és prou encertada.	i jo, en gruminis, i que queda que és pròlent segona.	és Joan Grumines i que crec que és prou encertada.	1	1033.640-1034.010	0.370	96.12	301.65	931.41	3176.72	62.27	147.94	41.37	777.86	0.4138	0.100
12	A-triple-consens	9	pa-005	o sigui	373.33-379.95	clips/pa-005__o-sigui__373.33.wav	qa-clips/pa-005__o-sigui__373_33_379_95.txt	qa-clips-json/pa-005__o-sigui__373_33.json	sí	376.930-377.390	0.8872	0.9370	O sigui	d'una canada de vi, un format xà i dues fogaces de pa.  O sigui que hi ha poques bromes.	sí	sí	sí	0.057	0.073	0.0182	-46.93	229.95	10.02	1530.35	1.880	pendent						B-dos-models	d'una canada de vi, un format xà i dues fogaces de pa.  O sigui que hi ha poques bromes.	n'ha de dir un format xar i dues fogaixes de pas, així que hi ha poques bromes.	Un formatxar i dues fogaces de pa.  O sigui que hi ha poques bromes.	2	376.930-377.390	0.460		367.21	2303.18	3409.75	45.28	225.40	4.55	1530.35	0.0182	1.880
14	A-triple-consens	9	pa-006	bé	151.25-159.75	clips/pa-006__b__151.25.wav	qa-clips/pa-006__be__151_25_159_75.txt	qa-clips-json/pa-006__b__151_25.json	sí	154.600-154.850	0.8041	0.8041	bé	on feien o instal·lacions al costat del riu  o bé ponts o mitjos ponts que entraven dintre del cor de l'aigua amb una de...	sí	sí	sí	0.193	0.238	0.6108	-32.68	184.28	145.18	726.69	0.080	pendent						B-dos-models	on feien o instal·lacions al costat del riu  o bé ponts o mitjos ponts que entraven dintre del cor de l'aigua amb una de...	que entraven dintre d'acord de l'aigua amb unes d'acord de l'aigua.	on feien o instal·lacions al costat del riu  o bé ponts o mitjos ponts que entraven dintre del cor de l'aigua amb una de les...	3	154.600-154.850	0.250		934.29	2515.11	3134.60	38.43	141.72	42.56	726.69	0.6108	0.080
32	A-triple-consens	9	pa-009	clar	99.25-105.75	clips/pa-009__clar__99.25.wav	qa-clips/pa-009__clar__99_25_105_75.txt	qa-clips-json/pa-009__clar__99_25.json	sí	102.480-102.770	0.9195	0.9195	clar	els habitants del poble, i de pobles veïns, és clar, que hi havia el mestre campaner al poble.	sí	sí	sí	0.411	0.134	0.5154	-34.53	209.19	58.10	1370.37	0.090	pendent						B-dos-models	els habitants del poble, i de pobles veïns, és clar, que hi havia el mestre campaner al poble.	dels habitants del poble i de pobles vens, és clar, que hi havia el mestre campaneu al poble.	que hi havia el mestre campaner al poble.	4	102.480-102.770	0.290		1076.84	1736.28	2729.34	41.53	190.72	18.47	1370.37	0.5154	0.090
50	A-triple-consens	9	pa-013	perquè	433.89-442.03	clips/pa-013__perqu__433.89.wav	qa-clips/pa-013__perque__433_89_442_03.txt	qa-clips-json/pa-013__perqu__433_89.json	sí	436.160-436.530	0.9497	0.9497	perquè	Per què us sabem? Doncs perquè es conserven múltiples testimonis fotogràfics.  Gràcies a Josep Elzina.	sí	sí	sí	0.144	0.059	0.7094	-25.95	230.90	124.51	1313.89	0.040	pendent						B-dos-models	Per què us sabem? Doncs perquè es conserven múltiples testimonis fotogràfics.  Gràcies a Josep Elzina.	Per què us sabem? Per què es conservat molt multiple testimonis fotogràfics?  Gràcies a Josep Elzina.	perquè us sabem, doncs perquè es conserven múltiples testimonis fotogràfics  gràcies a Josep Elzina.	5	436.160-436.530	0.370	193.22	633.14	1877.14	2552.27	75.48	301.34	-70.44	1313.89	0.7094	0.040
54	A-triple-consens	9	pa-014	evidentment	28.65-37.55	clips/pa-014__evidentment__28.65.wav	qa-clips/pa-014__evidentment__28_65_37_55.txt	qa-clips-json/pa-014__evidentment__28_65.json	sí	31.830-31.980	0.8709	0.9327	evidentment	que és el nostre país, patrimoni cultural, evidentment.  Quan em demanen per anar amb alguna escola  per explicar quines són les tradicions i quines són...	sí	sí	sí	0.042	0.050	0.6577	-27.67	131.66	25.92	1092.14	0.080	pendent						B-dos-models	que és el nostre país, patrimoni cultural, evidentment.  Quan em demanen per anar amb alguna escola  per explicar quines són les tradicions i quines són...	a tremoni cultural, evidentment. Quan em demanem parlant amb alguna escola per explicar  qui no són les tradicions i qui no són les eleccions.	per a l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de	6	31.830-31.980	0.150		1082.29	1610.28	2651.07	31.07	140.62	-8.96	1092.14	0.6577	0.080
61	A-triple-consens	9	pa-016	bé	170.05-177.19	clips/pa-016__b__170.05.wav	qa-clips/pa-016__be__170_05_177_19.txt	qa-clips-json/pa-016__b__170_05.json	sí	175.990-176.330	0.9990	0.9990	bé	És una disolució, entres, encara, amb molta més responsabilitat de diòstres,  és que ho hem de fer bé.	sí	sí	sí	0.040	0.038	0.6545	-30.29	299.64	44.79	1085.13	0.060	pendent						B-dos-models	És una disolució, entres, encara, amb molta més responsabilitat de diòstres,  és que ho hem de fer bé.	És una disolució, mentre ens encarà amb molta responsabilitat de diòstres,  és que bon de febre, amb de...	"És una disolució, entres encara amb molta més responsabilitat de dir  ""estàs bé, hem de fer bé""."	7	175.990-176.330	0.340		767.66	1918.85	2839.31	43.75	291.45	8.19	1085.13	0.6545	0.060
87	A-triple-consens	9	pa-019	llavors	422.25-427.75	clips/pa-019__llavors__422.25.wav	qa-clips/pa-019__llavors__422_25_427_75.txt	qa-clips-json/pa-019__llavors__422_25.json	sí	426.010-426.400	0.9040	0.9465	llavors	perquè ens donava eines per poder fer més coses  de les que podíem fer fins al llavors.  Aquest era el missatge.	sí	sí	sí	0.302	0.107	0.7007	-28.32	293.90	153.07	956.73	0.060	pendent						B-dos-models	perquè ens donava eines per poder fer més coses  de les que podíem fer fins al llavors.  Aquest era el missatge.	perquè ens donava eines per fer més coses als que podíem fer fins allà.	perquè ens donava eines per poder fer més coses  que podíem fer fins al llavors.	8	426.010-426.400	0.390	95.58	351.12	1804.64	3335.20	64.18	193.89	100.01	956.73	0.7007	0.060
96	A-triple-consens	9	pa-021	perquè	15.45-19.67	clips/pa-021__perqu__15.45.wav	qa-clips/pa-021__perque__15_45_19_67.txt	qa-clips-json/pa-021__perqu__15_45.json	sí	17.120-17.450	0.8815	0.8815	perquè	em van convèncer, doncs, perquè fos candidat.	sí	sí	sí	0.035	0.156	0.5667	-31.95	251.72	148.80	1146.97	0.060	pendent						B-dos-models	em van convèncer, doncs, perquè fos candidat.	en van convencer, doncs per què fos candidat.	perquè em van convèncer perquè fos candidat.	9	17.120-17.450	0.330	180.15	346.00	1487.94	2855.49	67.12	232.22	19.50	1146.97	0.5667	0.060
107	A-triple-consens	9	pa-023	a nivell	418.57-422.99	clips/pa-023__a-nivell__418.57.wav	qa-clips/pa-023__a-nivell__418_57_422_99.txt	qa-clips-json/pa-023__a-nivell__418_57.json	sí	419.870-420.370	0.8081	0.9214	a nivell	i després també a nivell d'agricultura.	sí	sí	sí	0.043	0.111	0.6500	-27.69	139.59	26.68	1079.11	0.080	pendent						B-dos-models	i després també a nivell d'agricultura.	i després també aniré de agricultura.	i després també a nivell d'agricultura.	10	419.870-420.370	0.500	140.15	566.70	1786.47	2561.78	74.39	141.18	-1.59	1079.11	0.6500	0.080
119	A-triple-consens	9	pa-026	a nivell	38.25-41.75	clips/pa-026__a-nivell__38.25.wav	qa-clips/pa-026__a-nivell__38_25_41_75.txt	qa-clips-json/pa-026__a-nivell__38_25.json	sí	39.670-40.270	0.8241	0.9114	a nivell	A.  Però a nivell nacional volia dir...	sí	sí	sí	0.071	0.074	0.4368	-44.97	273.89	48.77	1526.38	0.540	pendent						C-un-model	A.  Però a nivell nacional volia dir...	Ah, però l'hivern nacional búria de l'estat.	i que ha de ser un llibre de la Generalitat.	11	39.670-40.270	0.600	129.53	333.78	1428.75	2451.85	71.59	267.70	6.19	1526.38	0.4368	0.540
