id_persona	nom_public	parroquia_o_ambit	rol_documentat	font_contextual	evidencia	limitacio
pa-055	Ramon Canut Bové	d'Escaldes-Engordany	conseller general 1990–1993	https://www.consellgeneral.ad/ca/arxiu/arxiu-de-lleis-i-textos-aprovats-en-legislatures-anteriors/legislatura-constituent-1993/consellers-generals-del-1993/ramon-canut-bove	Fitxa institucional del Consell General; l'índex antroponímic també el situa a Escaldes-Engordany.	No documenta llengua inicial ni lloc de socialització lingüística.
pa-056	Enric Dolsa Font	d'Ordino	conseller general en diverses legislatures entre 1990 i 1997	https://www.consellgeneral.ad/ca/arxiu/arxiu-de-lleis-i-textos-aprovats-en-legislatures-anteriors/i-legislatura-1994-1997/consellers-generals-del-1994-1997/enric-dolsa-font	Fitxa institucional i índex antroponímic del Consell General; l'índex el situa a Ordino.	No documenta llengua inicial ni lloc de socialització lingüística.
pa-057	Gabriel Dallerès Codina	d'Encamp	conseller general de la legislatura constituent	https://www.consellgeneral.ad/ca/el-consell-dandorra/el-consell-general-en-la-historia/publicacions/index-de-carrecs-institucionals-1133-2023	Índex antroponímic oficial; el situa a Encamp i registra la seva activitat com a conseller.	No documenta llengua inicial ni lloc de socialització lingüística.
pa-058	Miquel Aleix Areny	Escaldes-Engordany (circumscripció documentada)	conseller general i cònsol menor d'Escaldes-Engordany	https://www.consellgeneral.ad/ca/arxiu/arxiu-de-lleis-i-textos-aprovats-en-legislatures-anteriors/vi-legislatura-2011-2015/consellers-generals/miquel-aleix-areny	Fitxa institucional del Consell General; documenta la trajectòria política i la circumscripció d'Escaldes-Engordany.	La fitxa consultada no permet inferir llengua inicial.
pa-059	Nadia Aleix Tugas	Escaldes-Engordany	consellera general de la legislatura constituent 1993	https://www.consellgeneral.ad/ca/arxiu/diari-oficial-del-consell-general-1/any-1992/dcg-11-1992/at_download/pdf	Acta oficial que la identifica entre els consellers d'Escaldes-Engordany; la pàgina institucional sobre les dones al Consell confirma la seva participació el 1993.	No documenta llengua inicial ni lloc de socialització lingüística.
pa-060	Antoni Armengol Vila	Andorra (parròquia no fixada en aquesta fitxa)	conseller general de la legislatura constituent	https://www.consellgeneral.ad/ca/arxiu/diari-oficial-del-consell-general-1/any-1993/dcg-6-1993/at_download/pdf	Acta oficial que l'identifica com a conseller general i recull una intervenció seva.	La font no documenta llengua inicial ni lloc de socialització lingüística.
pa-061	Patrick Pérez	Andorra (activitat empresarial documentada)	director general de Pyrénées	https://www.rtva.ad/noticies/economia/carrefour-substituira-andorra-2000-partir-setembre	RTVA el presenta com a director general de Pyrénées i vincula la seva activitat al comerç local.	No documenta llengua inicial ni socialització lingüística.
pa-062	Jordi Marquet	Canillo	empresari i divulgador de memòria local	https://www.rtva.ad/programes/la-companyia-tv-25-02-2026	RTVA el descriu com a fill de cal Ton de Borró de Canillo, nascut el 1942, i com a figura de la memòria íntima d'Andorra.	La font no documenta llengua inicial; la mostra també té veu de presentador.
pa-063	Roser Jordana	Andorra / Ordino	entrevistada en el programa Identitats; responsable del Sindicat d'Iniciativa	https://www.govern.ad/documents/d/guest/ex-libris-22; https://www.bondia.ad/societat/roser-jordana-reclama-un-ministre-de-turisme-en-l-acte-d-homenatge-a-la-seva-persona	La Biblioteca Nacional identifica Roser Jordana Mallol i la premsa andorrana documenta el seu retorn al Principat i la seva trajectòria al Sindicat d'Iniciativa.	La font contextual no documenta llengua inicial ni permet atribuir per si sola la veu del vídeo.
pa-064	Daniel Armengol	Andorra; vinculació documentada amb la policia	un dels primers caps de la policia d'Andorra (Daniel Armengol Millat)	https://www.rtva.ad/noticies/societat/mor-daniel-armengol-millat-primers-caps	RTVA documenta Daniel Armengol Millat com un dels primers directors de la policia i com a persona vinculada a la Massana; cal confirmar que coincideix amb la persona del vídeo.	La correspondència nominal i la llengua inicial encara requereixen comprovació.
