id_persona	forma	clip	json	segments	estat
pa-007	bé	clips/pa-007__b__59.25.wav	qa-clips-json/pa-007__b__59_25.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:07,400""},""offsets"":{""from"":0,""to"":7400},""text"":"" Doncs si bé no és una paraula que estigui o apareixi molt a la nostra llengua nacional, prové del grec!""}]"	pendent-audicio
pa-007	llavors	clips/pa-007__llavors__657.25.wav	qa-clips-json/pa-007__llavors__657_25.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:06,160""},""offsets"":{""from"":0,""to"":6160},""text"":"" llavors això lògicament li va mereixer un nom al carrer nacional i es caldes""}]"	pendent-audicio
pa-010	crec	clips/pa-010__crec__1033.25.wav	qa-clips-json/pa-010__crec__1033_25.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:02,920""},""offsets"":{""from"":0,""to"":2920},""text"":"" i que crec que és prou encertada.""}]"	pendent-audicio
pa-041	vull dir	clips/pa-041__vull-dir__264.25.wav	qa-clips-json/pa-041__vull-dir__264_25.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:07,440""},""offsets"":{""from"":0,""to"":7440},""text"":"" un element no vull dir potser de discussió però potser no s'acaba d'entendre bé, molt poc s'endurà.""}]"	pendent-audicio
pa-004	bé	clips/pa-004__b__319.61.wav	qa-clips-json/pa-004__b__319_61.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:02,960""},""offsets"":{""from"":0,""to"":2960},""text"":"" més o menys està bé allà i després...""}]"	pendent-audicio
pa-004	de fet	clips/pa-004__de-fet__601.17.wav	qa-clips-json/pa-004__de-fet__601_17.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:05,360""},""offsets"":{""from"":0,""to"":5360},""text"":"" molt complicat i comportàvem la gent, de fet, comportàvem molta complexitat i precisió.""}]"	pendent-audicio
pa-004	evidentment	clips/pa-004__evidentment__522.93.wav	qa-clips-json/pa-004__evidentment__522_93.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:04,000""},""offsets"":{""from"":0,""to"":4000},""text"":"" i provaria aigua suficient, evidentment, i el...""}]"	pendent-audicio
pa-004	perquè	clips/pa-004__perqu__464.09.wav	qa-clips-json/pa-004__perqu__464_09.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:07,240""},""offsets"":{""from"":0,""to"":7240},""text"":"" I calia estar-hi molt a sobre perquè per no quedar-se sense molt l'incarre que algú n'és més.""}]"	pendent-audicio
pa-004	vull dir	clips/pa-004__vull-dir__143.45.wav	qa-clips-json/pa-004__vull-dir__143_45.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:06,360""},""offsets"":{""from"":0,""to"":6360},""text"":"" d'en Valirà, vull dir que eren llocs molt elevats, i també es podia conregar.""}]"	pendent-audicio
pa-005	bé	clips/pa-005__b__51.09.wav	qa-clips-json/pa-005__b__51_09.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:05,000""},""offsets"":{""from"":0,""to"":5000},""text"":"" Si us sembla bé, farem un viatge en el temps, més precisament.""}]"	pendent-audicio
pa-005	doncs	clips/pa-005__doncs__71.13.wav	qa-clips-json/pa-005__doncs__71_13.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:04,760""},""offsets"":{""from"":0,""to"":4760},""text"":"" Doncs bé, doncs deveu demanar què és això dels hostals comunals.""}]"	pendent-audicio
pa-005	o sigui	clips/pa-005__o-sigui__373.33.wav	qa-clips-json/pa-005__o-sigui__373_33.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:03,600""},""offsets"":{""from"":0,""to"":3600},""text"":"" d'una canada de vi, un format xà i dues fogaces de pa.""},{""timestamps"":{""from"":""00:00:03,600"",""to"":""00:00:05,600""},""offsets"":{""from"":3600,""to"":5600},""text"":"" O sigui que hi ha poques bromes.""}]"	pendent-audicio
pa-006	aleshores	clips/pa-006__aleshores__513.25.wav	qa-clips-json/pa-006__aleshores__513_25.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:05,480""},""offsets"":{""from"":0,""to"":5480},""text"":"" Aleshores era molt fàcil agafar i aprofitar la força d'aigua baixant per l'entrada.""}]"	pendent-audicio
pa-006	bé	clips/pa-006__b__151.25.wav	qa-clips-json/pa-006__b__151_25.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:03,240""},""offsets"":{""from"":0,""to"":3240},""text"":"" on feien o instal·lacions al costat del riu""},{""timestamps"":{""from"":""00:00:03,240"",""to"":""00:00:08,480""},""offsets"":{""from"":3240,""to"":8480},""text"":"" o bé ponts o mitjos ponts que entraven dintre del cor de l'aigua amb una de...""}]"	pendent-audicio
pa-006	de fet	clips/pa-006__de-fet__285.25.wav	qa-clips-json/pa-006__de-fet__285_25.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:05,000""},""offsets"":{""from"":0,""to"":5000},""text"":"" és que, de fet, només hi ha una sola peça al muiment.""}]"	pendent-audicio
pa-006	doncs	clips/pa-006__doncs__180.25.wav	qa-clips-json/pa-006__doncs__180_25.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:06,720""},""offsets"":{""from"":0,""to"":6720},""text"":"" i la rota, doncs, passava per sobreborda i era accionada per l'aigua que circulava.""}]"	pendent-audicio
pa-006	o sigui	clips/pa-006__o-sigui__136.25.wav	qa-clips-json/pa-006__o-sigui__136_25.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:02,040""},""offsets"":{""from"":0,""to"":2040},""text"":"" o sigui, rius de la plana.""},{""timestamps"":{""from"":""00:00:02,040"",""to"":""00:00:04,640""},""offsets"":{""from"":2040,""to"":4640},""text"":"" No els rius que tenim aquí en les altres.""},{""timestamps"":{""from"":""00:00:04,640"",""to"":""00:00:06,640""},""offsets"":{""from"":4640,""to"":6640},""text"":"" Surti i gata.""}]"	pendent-audicio
pa-006	perquè	clips/pa-006__perqu__110.25.wav	qa-clips-json/pa-006__perqu__110_25.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:08,000""},""offsets"":{""from"":0,""to"":8000},""text"":"" I us aprofita la velocitat de l'aigua perquè les aletes que té total voltant de la roda, que no us veu ni aquí a la imatge.""}]"	pendent-audicio
pa-007	a veure	clips/pa-007__a-veure__89.25.wav	qa-clips-json/pa-007__a-veure__89_25.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:03,880""},""offsets"":{""from"":0,""to"":3880},""text"":"" que he tingut a veure amb la història del nostre país""},{""timestamps"":{""from"":""00:00:03,880"",""to"":""00:00:07,480""},""offsets"":{""from"":3880,""to"":7480},""text"":"" i que vaig publicar a un dels meus llibres que tinc per aquí.""}]"	pendent-audicio
pa-007	clar	clips/pa-007__clar__344.25.wav	qa-clips-json/pa-007__clar__344_25.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:04,640""},""offsets"":{""from"":0,""to"":4640},""text"":"" és clar que els polítics, pel nombre de carrers dedicats,""}]"	pendent-audicio
pa-007	diguem	clips/pa-007__diguem__585.25.wav	qa-clips-json/pa-007__diguem__585_25.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:05,240""},""offsets"":{""from"":0,""to"":5240},""text"":"" per la frontera, diguem que es va generar un debat força encès a les courses espanyoles.""}]"	pendent-audicio
pa-007	doncs	clips/pa-007__doncs__59.25.wav	qa-clips-json/pa-007__doncs__59_25.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:07,400""},""offsets"":{""from"":0,""to"":7400},""text"":"" Doncs si bé no és una paraula que estigui o apareixi molt a la nostra llengua nacional, prové del grec!""}]"	pendent-audicio
pa-007	evidentment	clips/pa-007__evidentment__778.25.wav	qa-clips-json/pa-007__evidentment__778_25.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:05,000""},""offsets"":{""from"":0,""to"":5000},""text"":"" Els 2010 van passar a anomenar-se per motius polítics, evidentment,""}]"	pendent-audicio
pa-007	perquè	clips/pa-007__perqu__101.25.wav	qa-clips-json/pa-007__perqu__101_25.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:03,200""},""offsets"":{""from"":0,""to"":3200},""text"":"" que res d'endorra, no sé si es veu perquè em penso que surt com si fos un mirall,""},{""timestamps"":{""from"":""00:00:03,200"",""to"":""00:00:06,200""},""offsets"":{""from"":3200,""to"":6200},""text"":"" però aquest és el llibre que parla d'això, no?""}]"	pendent-audicio
pa-007	és a dir	clips/pa-007__s-a-dir__684.25.wav	qa-clips-json/pa-007__s-a-dir__684_25.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:03,200""},""offsets"":{""from"":0,""to"":3200},""text"":"" és a dir, canviar el nom de carrers,""}]"	pendent-audicio
pa-008	a veure	clips/pa-008__a-veure__668.25.wav	qa-clips-json/pa-008__a-veure__668_25.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:04,120""},""offsets"":{""from"":0,""to"":4120},""text"":"" tot això no té res a veure amb el que tres anys abans""}]"	pendent-audicio
pa-008	bé	clips/pa-008__b__61.25.wav	qa-clips-json/pa-008__b__61_25.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:04,800""},""offsets"":{""from"":0,""to"":4800},""text"":"" En un pal ja seguirà boix o bé amb una branca del mateix vesc i elaborar el que hem de fer.""}]"	pendent-audicio
pa-008	clar	clips/pa-008__clar__841.25.wav	qa-clips-json/pa-008__clar__841_25.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:05,480""},""offsets"":{""from"":0,""to"":5480},""text"":"" Clar, hem de pensar que els fallares que 87 van començar a tornar a cremar l'espai públic""}]"	pendent-audicio
pa-008	de fet	clips/pa-008__de-fet__799.25.wav	qa-clips-json/pa-008__de-fet__799_25.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:04,920""},""offsets"":{""from"":0,""to"":4920},""text"":"" que embutava el terra, de fet va haver-hi algun incident cremant algun tendal.""}]"	pendent-audicio
pa-008	és a dir	clips/pa-008__s-a-dir__1110.25.wav	qa-clips-json/pa-008__s-a-dir__1110_25.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:02,720""},""offsets"":{""from"":0,""to"":2720},""text"":"" a la festa o fer planter, no? És a dir,""},{""timestamps"":{""from"":""00:00:02,920"",""to"":""00:00:04,440""},""offsets"":{""from"":2920,""to"":4440},""text"":"" quan els més grans s'hi implicen.""}]"	pendent-audicio
pa-009	bé	clips/pa-009__b__557.25.wav	qa-clips-json/pa-009__b__557_25.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:03,840""},""offsets"":{""from"":0,""to"":3840},""text"":"" i són campanes que sonen molt bé.""}]"	pendent-audicio
pa-009	clar	clips/pa-009__clar__99.25.wav	qa-clips-json/pa-009__clar__99_25.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:06,080""},""offsets"":{""from"":0,""to"":6080},""text"":"" els habitants del poble, i de pobles veïns, és clar, que hi havia el mestre campaner al poble.""}]"	pendent-audicio
