ordre	categoria	forma	rang	id_persona	interval_escolta	clip	text_qa	estat_audicio	forma_confirmada_auditivament	variant_transcrita	trets_fonetics_observats	observacions_prosodiques	nota_audicio
1	territorial	Massana	1	pa-002	1126.000-1134.000	clips-formes-escasses/massana__pa-002__1.wav	La Massana potser era la parròquia més vinculada al Cindi,	pendent					
1	territorial	Massana	2	pa-007	188.000-193.000	clips-formes-escasses/massana__pa-007__2.wav	Seguida de la Massana, en Camp, Escaldes, en Gordany, endora la vella Canillo	pendent					
1	territorial	Massana	3	pa-020	23.440-25.440	clips-formes-escasses/massana__pa-020__3.wav	amb un altre grup de la Massana,	pendent					
2	territorial	aiguats	1	pa-004	385.280-388.680	clips-formes-escasses/aiguats__pa-004__1.wav	que els Aiguats, que ja hem dit els forts Aiguats que van haver-hi,	pendent					
2	territorial	aiguats	2	pa-049	177.520-184.160	clips-formes-escasses/aiguats__pa-049__2.wav	l'otel Oroz i va ser posteriorment dels Aiguats, que el meu pare no tenia res més, em va tornar	pendent					
2	territorial	aiguats	3	pa-066	40.160-45.120	clips-formes-escasses/aiguats__pa-066__3.wav	L'afectació dels aiguats del banc va ser especialment en aquest edifici,	pendent					
3	territorial	andorrana	1	pa-001	62.640-66.680	clips-formes-escasses/andorrana__pa-001__1.wav	a un alt percentatge de la població d'Andorrana	pendent					
3	territorial	andorrana	2	pa-003	133.520-144.200	clips-formes-escasses/andorrana__pa-003__2.wav	és quan es planteja la continuïtat de l'escola maternal-andorrana amb l'escola andorrana	pendent					
3	territorial	andorrana	3	pa-007	498.000-502.000	clips-formes-escasses/andorrana__pa-007__3.wav	i l'Ibna a la bandera Andorrana, amb lletra de Joan Doró.	pendent					
4	discurs	aviam	1	pa-003	180.920-188.040	clips-formes-escasses/aviam__pa-003__1.wav	Aviam, pel que fa a nivell polític, la primera vegada quan es crea la maternal,	pendent					
4	discurs	aviam	2	pa-014	876.200-883.200	clips-formes-escasses/aviam__pa-014__2.wav	i vam dir, escuteu, aviam, imagineu-vos que l'esbat desapareix, què passa amb el contrapàs?	pendent					
4	discurs	aviam	3	pa-016	730.400-740.440	clips-formes-escasses/aviam__pa-016__3.wav	aviam des de venir un estat democràtic, modern, un estat de dret, i calia fer una Constitució, per mi jo tenia clar que calia fer una Constitució,	pendent					
5	territorial	comunal	1	pa-004	321.920-325.240	clips-formes-escasses/comunal__pa-004__1.wav	I després tenim també el molí comunal de Sant Julià de Lòria,	pendent					
5	territorial	comunal	2	pa-005	60.680-63.960	clips-formes-escasses/comunal__pa-005__2.wav	la primera referència a un hostal comunal.	pendent					
5	territorial	comunal	3	pa-020	410.120-413.680	clips-formes-escasses/comunal__pa-020__3.wav	I que precisament també porta que, a nivell comunal,	pendent					
6	territorial	comunals	1	pa-005	71.880-76.360	clips-formes-escasses/comunals__pa-005__1.wav	Doncs veu demanar què és això dels hostals comunals.	pendent					
6	territorial	comunals	2	pa-016	4.960-7.280	clips-formes-escasses/comunals__pa-016__2.wav	Recordo que hi havia unes eleccions comunals,	pendent					
6	territorial	comunals	3	pa-020	536.160-540.520	clips-formes-escasses/comunals__pa-020__3.wav	Però almenys a les comunals, i inclús a les nacionales em diuen,	pendent					
7	territorial	coprínceps	1	pa-017	564.000-569.000	clips-formes-escasses/coprinceps__pa-017__1.wav	Clar, evidentment. I nosaltres no estallem aquí per matar els coprínceps.	pendent					
7	territorial	coprínceps	2	pa-025	23.320-26.440	clips-formes-escasses/coprinceps__pa-025__2.wav	com el paternalisme autoritari dels coprínceps.	pendent					
7	territorial	coprínceps	3	pa-027	483.400-487.560	clips-formes-escasses/coprinceps__pa-027__3.wav	I el paper dels coprínceps també ens va costar.	pendent					
8	territorial	padrí	1	pa-009	810.000-812.000	clips-formes-escasses/padri__pa-009__1.wav	qui era el desvegat d'esquena, el seu padrí,	pendent					
8	territorial	padrí	2	pa-014	800.200-814.200	clips-formes-escasses/padri__pa-014__2.wav	Detalls que voldria dir, el Cap d'Anseire, per la Festa Major, el Padrí Major li entregava la vara del consell,	pendent					
8	territorial	padrí	3	pa-050	170.120-175.080	clips-formes-escasses/padri__pa-050__3.wav	el teu padri, tenia una biblioteca tinguantesa extraordinària.	pendent					
9	territorial	santuari	1	pa-009	322.000-327.000	clips-formes-escasses/santuari__pa-009__1.wav	Sent aquests, els més antics, les dues campanes del antic santuari de Melitxei,	pendent					
9	territorial	santuari	2	pa-045	319.640-322.240	clips-formes-escasses/santuari__pa-045__2.wav	perquè és un santuari que es va descobrir intacte.	pendent					
9	territorial	santuari	3	pa-048	848.360-852.440	clips-formes-escasses/santuari__pa-048__3.wav	que no és catedral ni santuari,	pendent					
10	territorial	veguer	1	pa-001	216.960-220.400	clips-formes-escasses/veguer__pa-001__1.wav	Hi havia una part que a mi em va manifestar el veguer francès	pendent					
10	territorial	veguer	2	pa-002	880.000-884.000	clips-formes-escasses/veguer__pa-002__2.wav	i, amb un segon ordre, a la figura del veguer.	pendent					
10	territorial	veguer	3	pa-025	1034.360-1039.080	clips-formes-escasses/veguer__pa-025__3.wav	i no li agraït prou l'últim veguer,	pendent					
