id_persona	forma	clip	small	base	greedy	categoria	text_small	text_base	text_greedy
pa-010	crec	clips/pa-010__crec__1033.25.wav	sí	no	sí	B-dos-models	i que crec que és prou encertada.	i jo, en gruminis, i que queda que és pròlent segona.	és Joan Grumines i que crec que és prou encertada.
pa-041	vull dir	clips/pa-041__vull-dir__264.25.wav	sí	sí	sí	A-tres-models	un element no vull dir potser de discussió però potser no s'acaba d'entendre bé, molt poc s'endurà.	No vull dir potser de discursió,  però potser no s'aclava d'entendre bé.	Un element, no vull dir de discussió,  però potser no s'acaba d'entendre bé.  Molt poc s'endurà.
pa-004	bé	clips/pa-004__b__319.61.wav	sí	sí	sí	A-tres-models	més o menys està bé allà i després...	Més o menys està bé allà, i després...	més o menys està bé allà i després...
pa-004	evidentment	clips/pa-004__evidentment__522.93.wav	sí	sí	sí	A-tres-models	i provaria aigua suficient, evidentment, i el...	i doncs prohibiré aigua suficient, evidentment,  i el que li va dir.	i doncs provaria aigua suficient, evidentment, i el...
pa-005	bé	clips/pa-005__b__51.09.wav	sí	sí	sí	A-tres-models	Si us sembla bé, farem un viatge en el temps, més precisament.	Si us sembla bé farem un viatge en el temps més precisament.	Si us sembla bé, farem un viatge en el temps més precisament.
pa-005	o sigui	clips/pa-005__o-sigui__373.33.wav	sí	no	sí	B-dos-models	d'una canada de vi, un format xà i dues fogaces de pa.  O sigui que hi ha poques bromes.	n'ha de dir un format xar i dues fogaixes de pas, així que hi ha poques bromes.	Un formatxar i dues fogaces de pa.  O sigui que hi ha poques bromes.
pa-006	bé	clips/pa-006__b__151.25.wav	sí	no	sí	B-dos-models	on feien o instal·lacions al costat del riu  o bé ponts o mitjos ponts que entraven dintre del cor de l'aigua amb una de...	que entraven dintre d'acord de l'aigua amb unes d'acord de l'aigua.	on feien o instal·lacions al costat del riu  o bé ponts o mitjos ponts que entraven dintre del cor de l'aigua amb una de les...
pa-006	de fet	clips/pa-006__de-fet__285.25.wav	sí	sí	sí	A-tres-models	és que, de fet, només hi ha una sola peça al muiment.	de plat és que de fet només ja que una sola peça amui men i una sola peça	i el que és un molit de blat és que, de fet,  només hi ha una sola peça al moviment.
pa-007	a veure	clips/pa-007__a-veure__89.25.wav	sí	sí	sí	A-tres-models	que he tingut a veure amb la història del nostre país  i que vaig publicar a un dels meus llibres que tinc per aquí.	que he tingut a veure amb la història del nostre país  i que vaig publicar a un dels meus llibres que tinc per aquí.	que he tingut a veure amb la història del nostre país  i que vaig publicar a un dels meus llibres que tinc per aquí.
pa-007	evidentment	clips/pa-007__evidentment__778.25.wav	sí	sí	sí	A-tres-models	Els 2010 van passar a anomenar-se per motius polítics, evidentment,	dels 10.000 van passar en humanar-se per motius polítics, evidentment, però potser també	i els 2010 van passar a nominar-se per motius polítics, evidentment,  però potser també...
pa-007	perquè	clips/pa-007__perqu__101.25.wav	sí	sí	sí	A-tres-models	que res d'endorra, no sé si es veu perquè em penso que surt com si fos un mirall,  però aquest és el llibre que parla d'això, no?	no sé si es veu perquè em penso que surt com si fosse un mirall, però aquestes al llibre que parla d'això, no?	que res d'endorra. No sé si es veu perquè em penso que surt com si fos un mirall,  però aquest és el llibre que parla d'això.
pa-008	a veure	clips/pa-008__a-veure__668.25.wav	sí	sí	sí	A-tres-models	tot això no té res a veure amb el que tres anys abans	tot això no té res a veure amb el que 3 anys abans	tot això no té res a veure amb el que tres anys abans
pa-009	bé	clips/pa-009__b__557.25.wav	sí	sí	sí	A-tres-models	i són campanes que sonen molt bé.	de corades i són campanes que sonen molt bé.	i són campanes que sonen molt bé.
pa-009	clar	clips/pa-009__clar__99.25.wav	sí	sí	no	B-dos-models	els habitants del poble, i de pobles veïns, és clar, que hi havia el mestre campaner al poble.	dels habitants del poble i de pobles vens, és clar, que hi havia el mestre campaneu al poble.	que hi havia el mestre campaner al poble.
pa-009	evidentment	clips/pa-009__evidentment__947.25.wav	sí	sí	sí	A-tres-models	L'hora de venir, evidentment, si era l'estiu o era l'hivern, tant cabell	Lora de penia, evidentment, si era l'estiu o era l'hivern, tancaven el dia.	l'hora de venir, evidentment, si era l'estiu o era l'hivern, tant que ha de
pa-010	clar	clips/pa-010__clar__334.85.wav	sí	sí	sí	A-tres-models	que ho són tant. Us acusaré un parell d'exemplos i ho veureu més clar.	que ho són tan. Us arcojaré un parell d'exemplos i ho veureu més clar.	que ho són tant. Us acusaré un parell d'exemplos i ho veureu més clar.
pa-011	bé	clips/pa-011__b__185.57.wav	sí	sí	sí	A-tres-models	a l'exterior de la casa es va molt bé, doncs, a aquesta...	de la casa es va molt bé.	a l'exterior de la casa, o molt bé, a aquesta casa.
pa-013	perquè	clips/pa-013__perqu__433.89.wav	sí	no	sí	B-dos-models	Per què us sabem? Doncs perquè es conserven múltiples testimonis fotogràfics.  Gràcies a Josep Elzina.	Per què us sabem? Per què es conservat molt multiple testimonis fotogràfics?  Gràcies a Josep Elzina.	perquè us sabem, doncs perquè es conserven múltiples testimonis fotogràfics  gràcies a Josep Elzina.
pa-014	crec	clips/pa-014__crec__153.25.wav	sí	sí	sí	A-tres-models	I jo crec que també hem hagut que li pugui l'interessar, que estigui interessat en aquesta cultura i en aquest àmbit, que és una mica...	i jo crec que també em mou que li pugui l'interessar, que estigui interessat en aquesta cultura i en aquest ámbit, que és una mica...	i jo crec que també hem hagut que li pugui l'interessar, que estigui interessat en aquesta cultura i en aquest àmbit, que és una mica...
