id_persona	forma	clip	ocurrencia	local_start_s	local_end_s	absolute_start_s	absolute_end_s	tokens	prob_min	prob_mean	tokens_count	coincidencia_token	estat
pa-007	bé	clips/pa-007__b__59.25.wav	1	0.670	0.930	59.920	60.180	bé	0.6477	0.6477	1	sí	ASR; pendent d'audicio
pa-007	llavors	clips/pa-007__llavors__657.25.wav	1	0.000	0.420	657.250	657.670	llavors	0.0183	0.4596	2	sí	ASR; pendent d'audicio
pa-010	crec	clips/pa-010__crec__1033.25.wav	1	0.390	0.760	1033.640	1034.010	crec	0.8283	0.8283	1	sí	ASR; pendent d'audicio
pa-041	vull dir	clips/pa-041__vull-dir__264.25.wav	1	1.210	2.000	265.460	266.250	vull dir	0.9947	0.9948	2	sí	ASR; pendent d'audicio
pa-004	bé	clips/pa-004__b__319.61.wav	1	1.280	1.540	320.890	321.150	bé	0.9828	0.9828	1	sí	ASR; pendent d'audicio
pa-004	de fet	clips/pa-004__de-fet__601.17.wav	1	2.750	3.000	603.920	604.170	de fet	0.6882	0.8381	2	sí	ASR; pendent d'audicio
pa-004	evidentment	clips/pa-004__evidentment__522.93.wav	1	3.920	3.970	526.850	526.900	evidentment	0.9676	0.9793	2	sí	ASR; pendent d'audicio
pa-004	perquè	clips/pa-004__perqu__464.09.wav	1	3.990	4.710	468.080	468.800	perquè	0.6217	0.6217	1	sí	ASR; pendent d'audicio
pa-004	vull dir	clips/pa-004__vull-dir__143.45.wav	1	1.710	2.230	145.160	145.680	vull dir	0.5771	0.7862	2	sí	ASR; pendent d'audicio
pa-005	bé	clips/pa-005__b__51.09.wav	1	1.520	2.000	52.610	53.090	bé	0.9921	0.9921	1	sí	ASR; pendent d'audicio
pa-005	doncs	clips/pa-005__doncs__71.13.wav	1	0.000	0.490	71.130	71.620	Doncs	0.6435	0.6435	1	sí	ASR; pendent d'audicio
pa-005	doncs	clips/pa-005__doncs__71.13.wav	2	0.960	1.450	72.090	72.580	doncs	0.3084	0.6541	2	sí	ASR; pendent d'audicio
pa-005	o sigui	clips/pa-005__o-sigui__373.33.wav	1	3.600	4.060	376.930	377.390	O sigui	0.8872	0.9370	2	sí	ASR; pendent d'audicio
pa-006	aleshores	clips/pa-006__aleshores__513.25.wav	1	0.030	0.740	513.280	513.990	Aleshores	0.5916	0.8525	3	sí	ASR; pendent d'audicio
pa-006	bé	clips/pa-006__b__151.25.wav	1	3.350	3.600	154.600	154.850	bé	0.8041	0.8041	1	sí	ASR; pendent d'audicio
pa-006	de fet	clips/pa-006__de-fet__285.25.wav	1	1.270	2.070	286.520	287.320	de fet	0.8407	0.9182	2	sí	ASR; pendent d'audicio
pa-006	doncs	clips/pa-006__doncs__180.25.wav	1	0.980	1.540	181.230	181.790	doncs	0.5306	0.7648	2	sí	ASR; pendent d'audicio
pa-006	o sigui	clips/pa-006__o-sigui__136.25.wav	1	0.000	0.490	136.250	136.740	o sigui	0.0187	0.4989	2	sí	ASR; pendent d'audicio
pa-006	perquè	clips/pa-006__perqu__110.25.wav	1	3.200	3.880	113.450	114.130	perquè	0.2439	0.2439	1	sí	ASR; pendent d'audicio
pa-007	a veure	clips/pa-007__a-veure__89.25.wav	1	1.280	1.800	90.530	91.050	a veure	0.9934	0.9961	2	sí	ASR; pendent d'audicio
pa-007	clar	clips/pa-007__clar__344.25.wav	1	0.260	0.610	344.510	344.860	clar	0.4951	0.4951	1	sí	ASR; pendent d'audicio
pa-007	diguem	clips/pa-007__diguem__585.25.wav	1	1.210	1.420	586.460	586.670	diguem	0.7294	0.8476	2	sí	ASR; pendent d'audicio
pa-007	doncs	clips/pa-007__doncs__59.25.wav	1	0.130	0.480	59.380	59.730	Doncs	0.5996	0.5996	1	sí	ASR; pendent d'audicio
pa-007	evidentment	clips/pa-007__evidentment__778.25.wav	1	4.080	4.880	782.330	783.130	evidentment	0.9315	0.9633	2	sí	ASR; pendent d'audicio
pa-007	perquè	clips/pa-007__perqu__101.25.wav	1	2.000	2.060	103.250	103.310	perquè	0.8509	0.8509	1	sí	ASR; pendent d'audicio
pa-007	és a dir	clips/pa-007__s-a-dir__684.25.wav	1	0.000	1.170	684.250	685.420	és a dir	0.0916	0.5689	3	sí	ASR; pendent d'audicio
pa-008	a veure	clips/pa-008__a-veure__668.25.wav	1	1.910	2.640	670.160	670.890	a veure	0.9915	0.9953	2	sí	ASR; pendent d'audicio
pa-008	bé	clips/pa-008__b__61.25.wav	1	1.890	2.020	63.140	63.270	bé	0.4059	0.4059	1	sí	ASR; pendent d'audicio
pa-008	clar	clips/pa-008__clar__841.25.wav	1	0.160	0.470	841.410	841.720	Clar	0.3522	0.3522	1	sí	ASR; pendent d'audicio
pa-008	de fet	clips/pa-008__de-fet__799.25.wav	1	2.440	2.690	801.690	801.940	de fet	0.7983	0.8963	2	sí	ASR; pendent d'audicio
pa-008	és a dir	clips/pa-008__s-a-dir__1110.25.wav	1	2.300	2.600	1112.550	1112.850	És a dir	0.4791	0.8156	3	sí	ASR; pendent d'audicio
pa-009	bé	clips/pa-009__b__557.25.wav	1	3.060	3.430	560.310	560.680	bé	0.9969	0.9969	1	sí	ASR; pendent d'audicio
pa-009	clar	clips/pa-009__clar__99.25.wav	1	3.230	3.520	102.480	102.770	clar	0.9195	0.9195	1	sí	ASR; pendent d'audicio
pa-009	doncs	clips/pa-009__doncs__139.25.wav	1	0.000	0.500	139.250	139.750	Doncs	0.2017	0.2017	1	sí	ASR; pendent d'audicio
pa-009	evidentment	clips/pa-009__evidentment__947.25.wav	1	1.000	1.740	948.250	948.990	evidentment	0.9520	0.9711	2	sí	ASR; pendent d'audicio
pa-009	o sigui	clips/pa-009__o-sigui__234.25.wav	1	2.110	2.460	236.360	236.710	o sigui	0.2229	0.5901	2	sí	ASR; pendent d'audicio
pa-009	perquè	clips/pa-009__perqu__349.25.wav	1	0.000	0.560	349.250	349.810	perquè	0.2138	0.2138	1	sí	ASR; pendent d'audicio
pa-010	clar	clips/pa-010__clar__334.85.wav	1	3.280	3.500	338.130	338.350	clar	0.9866	0.9866	1	sí	ASR; pendent d'audicio
pa-010	de fet	clips/pa-010__de-fet__647.25.wav	1	1.480	1.990	648.730	649.240	de fet	0.6151	0.8000	2	sí	ASR; pendent d'audicio
pa-010	doncs	clips/pa-010__doncs__24.65.wav	1	2.510	2.770	27.160	27.420	doncs	0.4795	0.7395	2	sí	ASR; pendent d'audicio
pa-010	llavors	clips/pa-010__llavors__386.25.wav	1	0.850	1.720	387.100	387.970	llavors	0.7955	0.8972	2	sí	ASR; pendent d'audicio
pa-010	perquè	clips/pa-010__perqu__196.65.wav	1	0.000	0.300	196.650	196.950	perquè	0.2814	0.2814	1	sí	ASR; pendent d'audicio
pa-010	és a dir	clips/pa-010__s-a-dir__243.25.wav	1	0.000	0.380	243.250	243.630	és a dir	0.3904	0.7847	3	sí	ASR; pendent d'audicio
pa-011	a veure	clips/pa-011__a-veure__551.81.wav	1	3.040	3.450	554.850	555.260	a veure	0.1111	0.5389	2	sí	ASR; pendent d'audicio
pa-011	bé	clips/pa-011__b__185.57.wav	1	2.920	2.940	188.490	188.510	bé	0.9983	0.9983	1	sí	ASR; pendent d'audicio
pa-011	de fet	clips/pa-011__de-fet__557.25.wav	1	0.000	0.690	557.250	557.940	de fet	0.5130	0.7524	2	sí	ASR; pendent d'audicio
pa-011	doncs	clips/pa-011__doncs__61.49.wav	1	1.480	1.940	62.970	63.430	doncs	0.4045	0.7019	2	sí	ASR; pendent d'audicio
pa-011	perquè	clips/pa-011__perqu__27.61.wav	1	1.240	1.490	28.850	29.100	perquè	0.6057	0.6057	1	sí	ASR; pendent d'audicio
pa-011	és a dir	clips/pa-011__s-a-dir__48.09.wav	1	0.000	0.850	48.090	48.940	és a dir	0.0626	0.6780	3	sí	ASR; pendent d'audicio
pa-012	perquè	clips/pa-012__perqu__369.25.wav	1	0.000	0.110	369.250	369.360	perquè	0.6158	0.6158	1	sí	ASR; pendent d'audicio
pa-013	perquè	clips/pa-013__perqu__433.89.wav	1	2.270	2.640	436.160	436.530	perquè	0.9497	0.9497	1	sí	ASR; pendent d'audicio
pa-013	és a dir	clips/pa-013__s-a-dir__579.17.wav	1	1.200	1.540	580.370	580.710	És a dir	0.6284	0.8650	3	sí	ASR; pendent d'audicio
pa-014	aviam	clips/pa-014__aviam__875.45.wav	1	2.000	2.000	877.450	877.450	aviam	0.1944	0.5657	2	sí	ASR; pendent d'audicio
pa-014	crec	clips/pa-014__crec__153.25.wav	1	0.310	0.720	153.560	153.970	crec	0.9940	0.9940	1	sí	ASR; pendent d'audicio
pa-014	evidentment	clips/pa-014__evidentment__28.65.wav	1	3.180	3.330	31.830	31.980	evidentment	0.8709	0.9327	2	sí	ASR; pendent d'audicio
pa-014	o sigui	clips/pa-014__o-sigui__658.45.wav	1	4.030	4.120	662.480	662.570	o sigui	0.6862	0.8267	2	sí	ASR; pendent d'audicio
pa-014	perquè	clips/pa-014__perqu__105.85.wav	1	2.390	2.810	108.240	108.660	perquè	0.8193	0.8193	1	sí	ASR; pendent d'audicio
pa-015	doncs	clips/pa-015__doncs__83.25.wav	1	1.130	1.530	84.380	84.780	doncs	0.8466	0.9220	2	sí	ASR; pendent d'audicio
pa-015	perquè	clips/pa-015__perqu__86.25.wav	1	2.000	2.480	88.250	88.730	perquè	0.4134	0.4134	1	sí	ASR; pendent d'audicio
pa-016	a nivell	clips/pa-016__a-nivell__333.81.wav	1	3.610	4.160	337.420	337.970	a nivell	0.7040	0.8911	3	sí	ASR; pendent d'audicio
pa-016	a veure	clips/pa-016__a-veure__369.73.wav	1	1.210	2.120	370.940	371.850	a veure	0.5117	0.7539	2	sí	ASR; pendent d'audicio
pa-016	bé	clips/pa-016__b__170.05.wav	1	5.940	6.280	175.990	176.330	bé	0.9990	0.9990	1	sí	ASR; pendent d'audicio
pa-016	clar	clips/pa-016__clar__175.69.wav	1	1.640	1.990	177.330	177.680	clar	0.9439	0.9439	1	sí	ASR; pendent d'audicio
pa-016	de fet	clips/pa-016__de-fet__318.53.wav	1	2.270	2.360	320.800	320.890	de fet	0.5592	0.7741	2	sí	ASR; pendent d'audicio
pa-016	doncs	clips/pa-016__doncs__62.33.wav	1	4.880	5.070	67.210	67.400	Doncs	0.5311	0.5311	1	sí	ASR; pendent d'audicio
pa-016	evidentment	clips/pa-016__evidentment__456.85.wav	1	0.220	1.050	457.070	457.900	evidentment	0.7723	0.8821	2	sí	ASR; pendent d'audicio
pa-016	llavors	clips/pa-016__llavors__15.05.wav	1	0.080	0.530	15.130	15.580	llavors	0.7574	0.8734	2	sí	ASR; pendent d'audicio
pa-016	perquè	clips/pa-016__perqu__79.77.wav	1	2.190	2.860	81.960	82.630	perquè	0.8479	0.8479	1	sí	ASR; pendent d'audicio
pa-016	vull dir	clips/pa-016__vull-dir__322.53.wav	1	2.990	3.120	325.520	325.650	vull dir	0.4016	0.6989	2	sí	ASR; pendent d'audicio
pa-017	a nivell	clips/pa-017__a-nivell__143.25.wav	1	3.360	3.840	146.610	147.090	a nivell	0.7278	0.8996	3	sí	ASR; pendent d'audicio
pa-017	clar	clips/pa-017__clar__34.45.wav	1	3.900	4.130	38.350	38.580	clar	0.9757	0.9757	1	sí	ASR; pendent d'audicio
pa-017	doncs	clips/pa-017__doncs__459.25.wav	1	1.340	1.630	460.590	460.880	doncs	0.9049	0.9520	2	sí	ASR; pendent d'audicio
pa-017	llavors	clips/pa-017__llavors__361.25.wav	1	1.080	1.830	362.330	363.080	Llavors	0.7556	0.8677	2	sí	ASR; pendent d'audicio
pa-017	perquè	clips/pa-017__perqu__4.25.wav	1	2.150	2.640	6.400	6.890	perquè	0.6669	0.6669	1	sí	ASR; pendent d'audicio
pa-017	tirar endavant	clips/pa-017__tirar-endavant__49.85.wav	1	2.520	2.800	52.370	52.650	tirar endavant	0.2057	0.7058	3	sí	ASR; pendent d'audicio
pa-017	vull dir	clips/pa-017__vull-dir__272.25.wav	1	0.000	0.750	272.250	273.000	Vull dir	0.6073	0.8683	3	sí	ASR; pendent d'audicio
pa-017	és a dir	clips/pa-017__s-a-dir__487.25.wav	1	1.520	1.710	488.770	488.960	és a dir	0.4956	0.8279	3	sí	ASR; pendent d'audicio
pa-018	a nivell	clips/pa-018__a-nivell__188.45.wav									0	no	ASR; pendent d'audicio
pa-018	crec	clips/pa-018__crec__7.49.wav	1	1.060	1.450	8.550	8.940	crec	0.9969	0.9969	1	sí	ASR; pendent d'audicio
pa-018	diguem	clips/pa-018__diguem__715.49.wav	1	2.430	2.720	717.920	718.210	diguem	0.4794	0.6877	2	sí	ASR; pendent d'audicio
pa-018	perquè	clips/pa-018__perqu__91.09.wav	1	1.070	1.760	92.160	92.850	perquè	0.9663	0.9663	1	sí	ASR; pendent d'audicio
pa-019	a nivell	clips/pa-019__a-nivell__122.25.wav	1	3.350	3.830	125.600	126.080	a nivell	0.9056	0.9516	3	sí	ASR; pendent d'audicio
pa-019	bueno	clips/pa-019__bueno__328.25.wav	1	0.320	0.600	328.570	328.850	bueno	0.1975	0.1975	1	sí	ASR; pendent d'audicio
pa-019	bé	clips/pa-019__b__195.25.wav	1	5.410	5.600	200.660	200.850	bé	0.9932	0.9932	1	sí	ASR; pendent d'audicio
pa-019	crec	clips/pa-019__crec__27.25.wav	1	1.270	1.570	28.520	28.820	crec	0.9925	0.9925	1	sí	ASR; pendent d'audicio
pa-019	diguem	clips/pa-019__diguem__109.25.wav	1	1.230	1.610	110.480	110.860	diguem	0.9362	0.9453	2	sí	ASR; pendent d'audicio
pa-019	evidentment	clips/pa-019__evidentment__93.25.wav	1	2.080	2.940	95.330	96.190	evidentment	0.7612	0.8792	2	sí	ASR; pendent d'audicio
pa-019	llavors	clips/pa-019__llavors__422.25.wav	1	3.760	4.150	426.010	426.400	llavors	0.9040	0.9465	2	sí	ASR; pendent d'audicio
pa-020	aviam	clips/pa-020__aviam__252.21.wav	1	3.060	3.400	255.270	255.610	aviam	0.1339	0.4173	2	sí	ASR; pendent d'audicio
pa-020	bé	clips/pa-020__b__146.37.wav	1	3.090	3.410	149.460	149.780	bé	0.9976	0.9976	1	sí	ASR; pendent d'audicio
pa-020	clar	clips/pa-020__clar__89.81.wav	1	3.480	3.620	93.290	93.430	clar	0.5345	0.5345	1	sí	ASR; pendent d'audicio
pa-020	perquè	clips/pa-020__perqu__9.41.wav	1	0.030	0.410	9.440	9.820	perquè	0.1574	0.1574	1	sí	ASR; pendent d'audicio
pa-021	bueno	clips/pa-021__bueno__12.25.wav	1	1.950	2.400	14.200	14.650	bueno	0.6500	0.6500	1	sí	ASR; pendent d'audicio
pa-021	crec	clips/pa-021__crec__115.53.wav	1	0.800	1.060	116.330	116.590	crec	0.9550	0.9550	1	sí	ASR; pendent d'audicio
