forma	id_persona	interval_escolta	clip	sha256	transcripcio_base	text_base	forma_en_base
bé	pa-001	49.17-54.35	clips/pa-001__b__49.17.wav	e30d5df251638f7c7f0edd9cc400f8c4eea5af967862abd6906dad2785fe1670	qa-clips-base/pa-001__be__49_17_54_35.txt	Bé, això van a evolucionar el que era...	sí
bé	pa-002	348.25-355.75	clips/pa-002__b__348.25.wav	4e31cb66ba3c12e600dd20dfe1255aa214a465a49eb98dce47e2b589649517b8	qa-clips-base/pa-002__be__348_25_355_75.txt	de tot canvi. Ara, el que ets llibre, el cop i a mena, era el control de cobert.	sí
bé	pa-003	0.00-7.19	clips/pa-003__b__0.00.wav	008eb3fe6d9be6fb42738890fa5177d68247f534391c20920525c41994e35dd1	qa-clips-base/pa-003__be__0_00_7_19.txt	Jo crec que de fet ens hem de situar en el context dels anys 80.	no
bé	pa-004	319.61-322.59	clips/pa-004__b__319.61.wav	df7d24cb4e6e4fad2990bb079bddcc77304bfd0271739dcac0bfd3c31fc3d9f8	qa-clips-base/pa-004__be__319_61_322_59.txt	Més o menys està bé allà, i després...	sí
bé	pa-005	51.09-56.07	clips/pa-005__b__51.09.wav	705d6cb898f2bf5527351d34b6efec68717e495cf43064cdd8b8546d677dda0f	qa-clips-base/pa-005__be__51_09_56_07.txt	Si us sembla bé farem un viatge en el temps més precisament.	sí
bé	pa-006	151.25-159.75	clips/pa-006__b__151.25.wav	8ecb14864a2cbc485956de412094aeebb300609ce9ce7058fe118bb9d3351ed9	qa-clips-base/pa-006__be__151_25_159_75.txt	que entraven dintre d'acord de l'aigua amb unes d'acord de l'aigua.	no
bé	pa-007	59.25-66.75	clips/pa-007__b__59.25.wav	7bcafbd2c7cfcd294fc5f3127d39c12303eba4ce1e54675fd5e7be02556993a9	qa-clips-base/pa-007__be__59_25_66_75.txt	Si bé no és una paraula que estigui o apareixi molt a la nostra llengua nacional, prové del grec.	sí
bé	pa-008	61.25-65.75	clips/pa-008__b__61.25.wav	2ba6447522d9e1a68ddefe23659bbbb2019f14d192b88b5d3c76ec9645fd7d72	qa-clips-base/pa-008__be__61_25_65_75.txt	En un pal, ja sigui de boix, ho vam veure amb una branca de mateix ves  i a l'avorar el que hem d'anar.	no
bé	pa-009	557.25-561.75	clips/pa-009__b__557.25.wav	b2df5a5659372b5420f121ee03d4321eb31516e78dc9f30f2d4c47056c949be1	qa-clips-base/pa-009__be__557_25_561_75.txt	de corades i són campanes que sonen molt bé.	sí
bé	pa-010	24.65-31.67	clips/pa-010__b__24.65.wav	309b173e7d6f30301d9e7648b7163fb5f2d33aa940f2eaa4129fa4ee34282ff2	qa-clips-base/pa-010__be__24_65_31_67.txt	d'una tipus mímia ruscusiólògics.  I doncs veia, vull com a coloració dins d'aquest ciclo  de cápsules d'història en termes de confinament.	no
bé	pa-011	185.57-189.31	clips/pa-011__b__185.57.wav	034b819677a59b8d383b5ddb60c9951a3331f66f42a86724202ce1b2c815ec04	qa-clips-base/pa-011__be__185_57_189_31.txt	de la casa es va molt bé.	sí
bé	pa-012	160.25-164.75	clips/pa-012__b__160.25.wav	ae20200d9709a8bf8fe19b27833a765647c898f29d383731fc285c0fbecbc187	qa-clips-base/pa-012__be__160_25_164_75.txt	o ve algunes campanets d'un campanat un poble.	no
bé	pa-013	196.65-203.47	clips/pa-013__b__196.65.wav	4be0dce49624a07cf218029bdefa30dac94a6d0f63074f1550a6c4d46f76cc72	qa-clips-base/pa-013__be__196_65_203_47.txt	que em sofre i que la ve per la pell, pel sistema digestiu, i també té altres propietats.	sí
bé	pa-014	165.65-181.55	clips/pa-014__b__165.65.wav	84e592b342e07ed19da4d3591c763ba3a1106e7f5f6a38d75ad4fe0154e52775	qa-clips-base/pa-014__be__165_65_181_55.txt	Bé, el resultat de això va ser molt bonic, perquè és a dir com viscut amb gent m'han explicat coses, m'han errat i	sí
bé	pa-015	42.25-48.75	clips/pa-015__b__42.25.wav	9d687504f670441620fcf71087d8c7ead97a5676a33cc55c5d782287307ad378	qa-clips-base/pa-015__be__42_25_48_75.txt	B, hem de pensar que és una família prou rellevant en aquesta situació.	no
bé	pa-016	170.05-177.19	clips/pa-016__b__170.05.wav	3114a077311c96bb91a613edf7f8772cf1201008f33c622cc6d733e2d72bd791	qa-clips-base/pa-016__be__170_05_177_19.txt	És una disolució, mentre ens encarà amb molta responsabilitat de diòstres,  és que bon de febre, amb de...	no
bé	pa-017	112.25-118.15	clips/pa-017__b__112.25.wav	185a7b75ebc42147af7b53be580161cf6a37b6e1386ca1e1047404849d1dcd76	qa-clips-base/pa-017__be__112_25_118_15.txt	d'acord, i a partir d'aquí va començar a veure la paraula  de missió, de missió, de missió,  i tot va ser.	no
bé	pa-018	210.65-215.47	clips/pa-018__b__210.65.wav	faa0207a3ea1c2e6fa89296a70c6705003e1991e64fef1964f8695d02b9023d8	qa-clips-base/pa-018__be__210_65_215_47.txt	dintre de l'UCPA quan es va formar,	no
bé	pa-019	195.25-201.75	clips/pa-019__b__195.25.wav	baca99f8f5fc8e98cc25c4c717d198785f470a2547be4a6579e579dbed79980a	qa-clips-base/pa-019__be__195_25_201_75.txt	i buscàvem la fórmula que ens encaixava més bé.	sí
bé	pa-020	146.37-152.31	clips/pa-020__b__146.37.wav	5038754b1feaf6561e715b580dbcb16e056fb406fda76ee42616555e4a2cdd07	qa-clips-base/pa-020__be__146_37_152_31.txt	En aquell moment potser no eren ben bé del mateix equip,  però...	sí
bé	pa-021	257.61-263.59	clips/pa-021__b__257.61.wav	1099f23456a12240f6264e7c6ccf06849e0002d5f845209d206c73d48af120a4	qa-clips-base/pa-021__be__257_61_263_59.txt	És ben veritat que, com has diu, un error.	sí
bé	pa-022	270.45-275.35	clips/pa-022__b__270.45.wav	2a0bb5a666bded8fb4b9efd227432e84cee69baabbd831c6b0c5338443159342	qa-clips-base/pa-022__be__270_45_275_35.txt	que es venien en peñen amb el canvi i també.	sí
bé	pa-023	409.37-413.47	clips/pa-023__b__409.37.wav	33c26058d9915691b86d8d6c945a3532d840afe96691661568cc1693dbff5dfc	qa-clips-base/pa-023__be__409_37_413_47.txt	i un bon bé que prenieix les mites i el debòns.	sí
bé	pa-024	175.29-180.79	clips/pa-024__b__175.29.wav	7ff0e44ad22568f52fcae0c2797499c6bc50b1e7a4a1d90736c0467b9a88ccc8	qa-clips-base/pa-024__be__175_29_180_79.txt	d'alguns de l'antigraig i d'alguns de l'antigraig.	no
bé	pa-025	1023.77-1027.67	clips/pa-025__b__1023.77.wav	9e360170ebd3186c4ce3da3fc91d1f3b1fd226a47d76b4c8d530d36695e31f4f	qa-clips-base/pa-025__be__1023_77_1027_67.txt	que se estaven fent i com m'ho estàvem fent perquè m'ho clau.	no
bé	pa-026	99.97-103.47	clips/pa-026__b__99.97.wav	3a8194a3a67fdc205826ec52089924e2899e14e33d1dc8d0f7405916efd9401e	qa-clips-base/pa-026__be__99_97_103_47.txt	Molt bé, perquè és l'omateix.	sí
bé	pa-027	30.97-36.55	clips/pa-027__b__30.97.wav	7ebff0507fbda5ef34795127464479092bbe4b9b0524f45963d6493e990f80fe	qa-clips-base/pa-027__be__30_97_36_55.txt	Com se n'està parlant de molt públic.  M'agradaria molt públic i va bé, vull dir-s'hi.	sí
bé	pa-028	182.49-187.39	clips/pa-028__b__182.49.wav	5ae58c23f4052ae6cec4c027ae68a73d8815470c74464f804e71b0333fa4c75c	qa-clips-base/pa-028__be__182_49_187_39.txt	Continuem com estàvem que m'han estat molt bé fins ara.	sí
bé	pa-029	42.97-46.79	clips/pa-029__b__42.97.wav	446ec5b2d51a02a0ef8a699502b7eb63ec5109afb9ef33a0b01ff6bb6845ab73	qa-clips-base/pa-029__be__42_97_46_79.txt	i això plenava molt sobre les seves digues.	no
bé	pa-030	436.45-441.63	clips/pa-030__b__436.45.wav	a2c22fe4e653269b64a3b7ec83b036a7c3abd3365f8c7cc42117f002eafa0952	qa-clips-base/pa-030__be__436_45_441_63.txt	No hi hagi una mena d'aquestes que podria haver-ho d'explicar.	no
bé	pa-031	329.13-333.07	clips/pa-031__b__329.13.wav	c680c63dfdd7c2d74eb0878c279ea82bb0eb55725c0691e749bf3a8bcd42792f	qa-clips-base/pa-031__be__329_13_333_07.txt	A la llarga sí, no la veia, amb la sort, però...	no
bé	pa-032	270.41-274.95	clips/pa-032__b__270.41.wav	88e847eb334de667032cb557c02e66845e7087862b7c33cae06edb1efa1b65e3	qa-clips-base/pa-032__be__270_41_274_95.txt	Aquí, aquí, aquí, els patos per duts, el cas que li va bé un...	sí
bé	pa-033	103.09-107.43	clips/pa-033__b__103.09.wav	725afb8868c8e1569d935fba4ca043d834faa1535a5b5f66a934de8f1a3ff987	qa-clips-base/pa-033__be__103_09_107_43.txt	que ja estem bé com estem i no ho trobem,  que tot es fa mal bé, i l'hi també hi va ser.	sí
bé	pa-034	18.85-23.15	clips/pa-034__b__18.85.wav	1f30c9f13a81e15ff61db047cab9d99d2e40492184c452071145911d324552e8	qa-clips-base/pa-034__be__18_85_23_15.txt	de la barriga, passava algú.  Desplem cartes, uns llanços.	no
bé	pa-035	715.81-720.31	clips/pa-035__b__715.81.wav	3bee08777cae7cfb8a9cf69ee991e50de4e3a6df2dcc6fa1c3ba08e8e03a9507	qa-clips-base/pa-035__be__715_81_720_31.txt	Això no hi va haver una comença que s'acabaria bé, perquè bueno.	sí
bé	pa-036	69.45-75.15	clips/pa-036__b__69.45.wav	92f1604a22b86f3c74aa7470883843d51e3dff1b7b7ce032f1b62aa1ee5ea6a5	qa-clips-base/pa-036__be__69_45_75_15.txt	el cop principal ens ha vingut molt bé  i pensàvem que aquestes viuen continuar  i així ens ha sigut.	sí
