id	candidate	forma	clip	audio_sha256	audio_exists	audio_bytes	transcripcio_small	small_exists	small_bytes	transcripcio_base	base_exists	base_bytes	estat
lead-cg-001-xavier-espot::per tant::26::1	lead-cg-001-xavier-espot	per tant	candidats/lead-cg-001-xavier-espot/clips/xavier-espot__per-tant__91.48.wav	356be42cadead30500e8d6d13121a7dbc9d7182bc7d58e1de37615f945c028bd	sí	216364	candidats/lead-cg-001-xavier-espot/asr/xavier-espot.txt	sí	1898	candidats/lead-cg-001-xavier-espot/asr/xavier-espot-base.txt	sí	1923	complet
lead-cg-001-xavier-espot::perquè::10::2	lead-cg-001-xavier-espot	perquè	candidats/lead-cg-001-xavier-espot/clips/xavier-espot__perqu__37.88.wav	43a6c7ae638f3039ae8cb3741bedfc05ff9379d7776d5aeb24fdbcaafd040b31	sí	165164	candidats/lead-cg-001-xavier-espot/asr/xavier-espot.txt	sí	1898	candidats/lead-cg-001-xavier-espot/asr/xavier-espot-base.txt	sí	1923	complet
lead-cg-001-xavier-espot::comú::29::3	lead-cg-001-xavier-espot	comú	candidats/lead-cg-001-xavier-espot/clips/xavier-espot__com__103.48.wav	d2c52277d3ff8739fd2c49ea6f5e01d2ea14f79dfcb7992e979714af414c546d	sí	192044	candidats/lead-cg-001-xavier-espot/asr/xavier-espot.txt	sí	1898	candidats/lead-cg-001-xavier-espot/asr/xavier-espot-base.txt	sí	1923	complet
lead-cg-001-xavier-espot::andorrana::17::4	lead-cg-001-xavier-espot	andorrana	candidats/lead-cg-001-xavier-espot/clips/xavier-espot__andorrana__58.76.wav	dc49b661ce79b96341a8777d9e93054073b711ed785e7989c192ce110073749e	sí	160044	candidats/lead-cg-001-xavier-espot/asr/xavier-espot.txt	sí	1898	candidats/lead-cg-001-xavier-espot/asr/xavier-espot-base.txt	sí	1923	complet
lead-cg-002-pere-lopez::perquè::12::1	lead-cg-002-pere-lopez	perquè	candidats/lead-cg-002-pere-lopez/clips/pere-lopez__perqu__48.40.wav	fb53388faa7e62716cdc22b1c57ab1be4b5500d4f263bb3f8fa8f1182febb07e	sí	268844	candidats/lead-cg-002-pere-lopez/asr/pere-lopez.txt	sí	1618	candidats/lead-cg-002-pere-lopez/asr/pere-lopez-base.txt	sí	1589	complet
lead-cg-002-pere-lopez::andorrana::9::2	lead-cg-002-pere-lopez	andorrana	candidats/lead-cg-002-pere-lopez/clips/pere-lopez__andorrana__32.80.wav	5478e8f06120ea5bc81f8306e10a39a3c122dadc1c2b657a841b525fd1742c49	sí	243246	candidats/lead-cg-002-pere-lopez/asr/pere-lopez.txt	sí	1618	candidats/lead-cg-002-pere-lopez/asr/pere-lopez-base.txt	sí	1589	complet
lead-cg-003-roser-sune::a nivell::64::1	lead-cg-003-roser-sune	a nivell	candidats/lead-cg-003-roser-sune/clips/roser-sune__a-nivell__229.92.wav	00a2942ffd71270059271f6c0a3cab3d625e7e80645edfa3ae5f420eacfee3d9	sí	134444	candidats/lead-cg-003-roser-sune/asr/roser-sune-full.txt	sí	16018	candidats/lead-cg-003-roser-sune/asr/roser-sune-full-base.txt	sí	1902	complet
lead-cg-003-roser-sune::doncs::137::2	lead-cg-003-roser-sune	doncs	candidats/lead-cg-003-roser-sune/clips/roser-sune__doncs__445.36.wav	b04426f9577c594a0485fd83756b9a1a0005611e241bb551cf53c8417a37dc38	sí	148524	candidats/lead-cg-003-roser-sune/asr/roser-sune-full.txt	sí	16018	candidats/lead-cg-003-roser-sune/asr/roser-sune-full-base.txt	sí	1902	complet
lead-cg-003-roser-sune::és a dir::93::3	lead-cg-003-roser-sune	és a dir	candidats/lead-cg-003-roser-sune/clips/roser-sune__s-a-dir__313.20.wav	79c68a0b05f5a93209ac9d531a74e5eea78e07d18f30dc3f630d9df24d421907	sí	137004	candidats/lead-cg-003-roser-sune/asr/roser-sune-full.txt	sí	16018	candidats/lead-cg-003-roser-sune/asr/roser-sune-full-base.txt	sí	1902	complet
lead-rtva-001::a veure::32::1	lead-rtva-001	a veure	candidats/lead-rtva-001/clips/joan__a-veure__94.36.wav	ea5ab222f2945136aa5cfb7d8aa3901774dff543ee9bed208f513bfaf28fb8c7	sí	131884	candidats/lead-rtva-001/asr/joan-verdu.txt	sí	13680	candidats/lead-rtva-001/asr/joan-verdu-base.txt	sí	13388	complet
lead-rtva-001::bueno::60::2	lead-rtva-001	bueno	candidats/lead-rtva-001/clips/joan__bueno__175.96.wav	a2226d387a1de5f364509c31183e056411a48f843a9ca890eca1230827c506a6	sí	194604	candidats/lead-rtva-001/asr/joan-verdu.txt	sí	13680	candidats/lead-rtva-001/asr/joan-verdu-base.txt	sí	13388	complet
lead-rtva-001::doncs::111::3	lead-rtva-001	doncs	candidats/lead-rtva-001/clips/joan__doncs__324.00.wav	636551be991f085a2cae4b84646fcdec8369f542d469ab112b163a78468b8707	sí	172844	candidats/lead-rtva-001/asr/joan-verdu.txt	sí	13680	candidats/lead-rtva-001/asr/joan-verdu-base.txt	sí	13388	complet
lead-rtva-001::de fet::126::4	lead-rtva-001	de fet	candidats/lead-rtva-001/clips/joan__de-fet__370.60.wav	26645a19562555b146a5318ad0cae52f4ff66b8fd65fa3e2f62af871b3235090	sí	151084	candidats/lead-rtva-001/asr/joan-verdu.txt	sí	13680	candidats/lead-rtva-001/asr/joan-verdu-base.txt	sí	13388	complet
lead-rtva-001::clar::148::5	lead-rtva-001	clar	candidats/lead-rtva-001/clips/joan__clar__440.36.wav	ba689ae0c180ce28e65ad5554d21b32dac7ec7fdc0e85b6cd9ecbf0bac96e820	sí	154924	candidats/lead-rtva-001/asr/joan-verdu.txt	sí	13680	candidats/lead-rtva-001/asr/joan-verdu-base.txt	sí	13388	complet
lead-rtva-001::llavors::163::6	lead-rtva-001	llavors	candidats/lead-rtva-001/clips/joan__llavors__484.40.wav	2754299c5bec8a86ef22f301ab84b74829092b18c43f2fbc3e3b8400b67eff38	sí	134444	candidats/lead-rtva-001/asr/joan-verdu.txt	sí	13680	candidats/lead-rtva-001/asr/joan-verdu-base.txt	sí	13388	complet
lead-rtva-001::vull dir::174::7	lead-rtva-001	vull dir	candidats/lead-rtva-001/clips/joan__vull-dir__521.16.wav	505914bf1c041e2c2088107e3962018aa3763bd0c2ce15474a9f43c8678f0743	sí	137006	candidats/lead-rtva-001/asr/joan-verdu.txt	sí	13680	candidats/lead-rtva-001/asr/joan-verdu-base.txt	sí	13388	complet
