ordre	categoria	score_evidencia	id_persona	forma	interval_escolta	clip	transcripcio_qa	json_qa	token_coincidencia	token_intervals_absolute	token_prob_min	token_prob_mean	token_text	text_qa	consens_dos_asr	coincidencia_temporal_asr	forma_en_qa	conf_min_segment	conf_min_base_segment	veu_proporcio	rms_p50_db	f0_median_hz	f0_iqr_hz	centroid_median_hz	pausa_mediana_s	estat_audicio	forma_confirmada_auditivament	variant_transcrita	trets_fonetics_observats	observacions_prosodiques	nota_audicio	segments_incerts	min_prob_incert
627	D-divergent	0	pa-024	doncs	83.01-114.51	clips/pa-024__doncs__83.01.wav	qa-clips/pa-024__doncs__83_01_114_51.txt							La representatibilitat del consell General  considerava que calia establir la separació de poders.  Consideràvem, des del punt de vista més socioeconòmic,  que calia ser capaços de programar el creixement.  Ja feien coses interessants a les institucions.  Me'n recordo que es va promoure l'informe de l'empresso.  ja feien coses interessants a les institucions.  Me'n recordo que es va promoure l'informe Bricall.	no	no	no	0.007		0.5788	-33.17	295.53	79.03	942.02	0.080	pendent						3	0.0066
630	D-divergent	0	pa-024	és a dir	78.49-84.39	clips/pa-024__s-a-dir__78.49.wav	qa-clips/pa-024__es-a-dir__78_49_84_39.txt							i democratitzar més el país, que li haig d'expandir...	no	no	no	0.017		0.6497	-31.79	286.46	60.28	922.73	0.070	pendent						3	0.0066
235	A-triple-consens	9	pa-055	evidentment	1644.01-1651.31	clips/pa-055__evidentment__1644.01.wav	qa-clips/pa-055__evidentment__1644_01_1651_31.txt	qa-clips-json/pa-055__evidentment__1644_01.json	sí	1648.950-1649.160	0.4660	0.7323	evidentment	que dintre d'això hi havia punts essencials, evidentment,	sí	sí	sí	0.010	0.062	0.4890	-36.06	290.49	118.90	1488.53	0.100	pendent						2	0.0100
52	A-triple-consens	9	pa-014	aviam	875.45-883.95	clips/pa-014__aviam__875.45.wav	qa-clips/pa-014__aviam__875_45_883_95.txt	qa-clips-json/pa-014__aviam__875_45.json	sí	877.450-877.450	0.1944	0.5657	aviam	d'escoltar una cosa, es diu, escoteu, aviam.  Imagineu-vos que les merdes apareixen.  Què passa amb el contrapàs? Es deixarà de ballar.	sí	sí	sí	0.014	0.253	0.5425	-33.81	121.39	27.71	1204.53	0.080	pendent						3	0.0142
23	A-triple-consens	9	pa-007	evidentment	778.25-783.75	clips/pa-007__evidentment__778.25.wav	qa-clips/pa-007__evidentment__778_25_783_75.txt	qa-clips-json/pa-007__evidentment__778_25.json	sí	782.330-783.130	0.9315	0.9633	evidentment	Els 2010 van passar a anomenar-se per motius polítics, evidentment,	sí	sí	sí	0.546	0.245	0.6131	-31.63	274.08	125.78	1236.03	0.060	pendent						3	0.0152
193	A-triple-consens	9	pa-040	crec	4.37-7.79	clips/pa-040__crec__4.37.wav	qa-clips/pa-040__crec__4_37_7_79.txt	qa-clips-json/pa-040__crec__4_37.json	sí	4.550-4.900	0.9886	0.9886	crec	Jo crec que he pogut entrar en càrregues.	sí	sí	sí	0.015	0.073	0.6294	-25.62	237.46	80.80	1242.13	0.100	pendent						3	0.0158
507	D-divergent	4	pa-062	vull dir	316.81-326.39	clips/pa-062__vull-dir__316.81.wav	qa-clips/pa-062__vull-dir__316_81_326_39.txt							i el que hem de fer és que no hi hagi gaire malaltia.  I això és el que ha de fer a l'Estatut.  El que és molt important és que el que ha de fer,  és que el que ha de fer és que la gent no ho ha de fer.	sí	no	no	0.003		0.5586	-33.63	285.77	124.03	907.60	0.060	pendent						3	0.0174
553	C-una-passada	2	pa-024	a nivell	1547.93-1552.91	clips/pa-024__a-nivell__1547.93.wav	qa-clips/pa-024__a-nivell__1547_93_1552_91.txt							I jo, no?  Llavors, clar, a nivell...  Ja el Jaume Bartomeu ha governat també, i soc jo...	no	no	sí	0.056		0.7581	-27.53	251.92	106.56	948.01	0.060	pendent						2	0.0196
240	A-triple-consens	9	pa-056	crec	347.05-353.03	clips/pa-056__crec__347.05.wav	qa-clips/pa-056__crec__347_05_353_03.txt	qa-clips-json/pa-056__crec__347_05.json	sí	348.320-348.830	0.9856	0.9856	crec	perquè jo crec que hi ha alguns que em donen una sensació	sí	sí	sí	0.042	0.042	0.4664	-40.15	273.02	141.35	1517.83	0.080	pendent						3	0.0272
200	A-triple-consens	9	pa-041	ensenyança	523.25-531.75	clips/pa-041__ensenyan-a__523.25.wav	qa-clips/pa-041__ensenyanca__523_25_531_75.txt	qa-clips-json/pa-041__ensenyan-a__523_25.json	sí	529.520-530.190	0.7954	0.8194	ensenyança	I aquest material pedagògic, que tingués continuïtat,  també de cara a tota la primera ensenyança.	sí	sí	sí	0.441	0.101	0.6108	-29.73	204.13	80.28	1097.69	0.080	pendent						2	0.0299
