id_persona	forma	interval_escolta	clip	small_subcadena	base_subcadena	small_limit_paraula	base_limit_paraula	consens_limit_paraula	text_small	text_base
pa-001	bé	49.17-54.35	clips/pa-001__b__49.17.wav	no	sí	no	sí	no	i això va anar evolucionant el que era...	Bé, això van a evolucionar el que era...
pa-002	bé	348.25-355.75	clips/pa-002__b__348.25.wav	sí	sí	sí	no	no	que ha signat el canvi.  Ara, el que ens dividiria bé,  òbviament, era el control de govern.	de tot canvi. Ara, el que ets llibre, el cop i a mena, era el control de cobert.
pa-003	bé	0.00-7.19	clips/pa-003__b__0.00.wav	sí	no	sí	no	no	Bé, jo crec que de fet ens hem de situar en el context dels anys 80	Jo crec que de fet ens hem de situar en el context dels anys 80.
pa-004	bé	319.61-322.59	clips/pa-004__b__319.61.wav	sí	sí	sí	sí	sí	més o menys està bé allà i després...	Més o menys està bé allà, i després...
pa-005	bé	51.09-56.07	clips/pa-005__b__51.09.wav	sí	sí	sí	sí	sí	Si us sembla bé, farem un viatge en el temps, més precisament.	Si us sembla bé farem un viatge en el temps més precisament.
pa-006	bé	151.25-159.75	clips/pa-006__b__151.25.wav	sí	no	sí	no	no	on feien o instal·lacions al costat del riu  o bé ponts o mitjos ponts que entraven dintre del cor de l'aigua amb una de...	que entraven dintre d'acord de l'aigua amb unes d'acord de l'aigua.
pa-007	bé	59.25-66.75	clips/pa-007__b__59.25.wav	sí	sí	sí	sí	sí	Doncs si bé no és una paraula que estigui o apareixi molt a la nostra llengua nacional, prové del grec!	Si bé no és una paraula que estigui o apareixi molt a la nostra llengua nacional, prové del grec.
pa-008	bé	61.25-65.75	clips/pa-008__b__61.25.wav	sí	no	sí	no	no	En un pal ja seguirà boix o bé amb una branca del mateix vesc i elaborar el que hem de fer.	En un pal, ja sigui de boix, ho vam veure amb una branca de mateix ves  i a l'avorar el que hem d'anar.
pa-009	bé	557.25-561.75	clips/pa-009__b__557.25.wav	sí	sí	sí	sí	sí	i són campanes que sonen molt bé.	de corades i són campanes que sonen molt bé.
pa-010	bé	24.65-31.67	clips/pa-010__b__24.65.wav	no	no	no	no	no	oponímia i risc geològics. I doncs vei avui com a col·laboració dins d'aquest  cicle de capsules d'història en temps de confinament.	d'una tipus mímia ruscusiólògics.  I doncs veia, vull com a coloració dins d'aquest ciclo  de cápsules d'història en termes de confinament.
pa-011	bé	185.57-189.31	clips/pa-011__b__185.57.wav	sí	sí	sí	sí	sí	a l'exterior de la casa es va molt bé, doncs, a aquesta...	de la casa es va molt bé.
pa-012	bé	160.25-164.75	clips/pa-012__b__160.25.wav	sí	no	sí	no	no	o bé algunes campanyes d'un campanar d'un poble.	o ve algunes campanets d'un campanat un poble.
pa-013	bé	196.65-203.47	clips/pa-013__b__196.65.wav	sí	sí	sí	no	no	que em sofre i que va bé per la pell, pel sistema digestiu, i també té altres propietats.	que em sofre i que la ve per la pell, pel sistema digestiu, i també té altres propietats.
pa-014	bé	165.65-181.55	clips/pa-014__b__165.65.wav	sí	sí	sí	sí	sí	Bé, el resultat d'això va ser molt, molt bonic, perquè és a dir,  he conviscut amb gent, m'han explicat coses, m'han entrat,	Bé, el resultat de això va ser molt bonic, perquè és a dir com viscut amb gent m'han explicat coses, m'han errat i
pa-015	bé	42.25-48.75	clips/pa-015__b__42.25.wav	sí	no	sí	no	no	i 15. Bé, hem de pensar que és una família prou rellevant en aquesta.	B, hem de pensar que és una família prou rellevant en aquesta situació.
pa-016	bé	170.05-177.19	clips/pa-016__b__170.05.wav	sí	no	sí	no	no	És una disolució, entres, encara, amb molta més responsabilitat de diòstres,  és que ho hem de fer bé.	És una disolució, mentre ens encarà amb molta responsabilitat de diòstres,  és que bon de febre, amb de...
pa-017	bé	112.25-118.15	clips/pa-017__b__112.25.wav	no	no	no	no	no	d'acord. A partir d'aquí va començar la paraula de missió, de missió, de missió.	d'acord, i a partir d'aquí va començar a veure la paraula  de missió, de missió, de missió,  i tot va ser.
pa-018	bé	210.65-215.47	clips/pa-018__b__210.65.wav	no	no	no	no	no	dintre de l'UCPA, quan es va formar.	dintre de l'UCPA quan es va formar,
pa-019	bé	195.25-201.75	clips/pa-019__b__195.25.wav	sí	sí	sí	sí	sí	i buscàvem qui era la fórmula que ens encaixava més bé.	i buscàvem la fórmula que ens encaixava més bé.
pa-020	bé	146.37-152.31	clips/pa-020__b__146.37.wav	sí	sí	sí	sí	sí	en aquell moment potser no eren ben bé del mateix equip.	En aquell moment potser no eren ben bé del mateix equip,  però...
pa-021	bé	257.61-263.59	clips/pa-021__b__257.61.wav	sí	sí	no	no	no	És ben veritat que, com es diu,	És ben veritat que, com has diu, un error.
pa-022	bé	270.45-275.35	clips/pa-022__b__270.45.wav	sí	sí	no	no	no	A part que ja feia anys que es venia empenyent amb el canvi i també...	que es venien en peñen amb el canvi i també.
pa-023	bé	409.37-413.47	clips/pa-023__b__409.37.wav	sí	sí	no	sí	no	i un bombé que prenia les mides.	i un bon bé que prenieix les mites i el debòns.
pa-024	bé	175.29-180.79	clips/pa-024__b__175.29.wav	no	no	no	no	no	A partir de l'anàlisi de l'antirrègim és molt greu.	d'alguns de l'antigraig i d'alguns de l'antigraig.
pa-025	bé	1023.77-1027.67	clips/pa-025__b__1023.77.wav	no	no	no	no	no	Tenia directe el que s'estava fent i com ho estàvem fent, perquè era molt clop.	que se estaven fent i com m'ho estàvem fent perquè m'ho clau.
pa-026	bé	99.97-103.47	clips/pa-026__b__99.97.wav	sí	sí	sí	sí	sí	Va bé? Doncs aquí és el mateix.	Molt bé, perquè és l'omateix.
pa-027	bé	30.97-36.55	clips/pa-027__b__30.97.wav	no	sí	no	sí	no	I ara la meva consellera està parlant molt públic.  Allà hi havia molt públic, hi va haver bullíssim.	Com se n'està parlant de molt públic.  M'agradaria molt públic i va bé, vull dir-s'hi.
pa-028	bé	182.49-187.39	clips/pa-028__b__182.49.wav	sí	sí	sí	sí	sí	i ho veiem, continuem com estàvem, que hem estat molt bé fins ara.	Continuem com estàvem que m'han estat molt bé fins ara.
pa-029	bé	42.97-46.79	clips/pa-029__b__42.97.wav	no	no	no	no	no	i això plenava molt sobre... sense que es digui...	i això plenava molt sobre les seves digues.
pa-030	bé	436.45-441.63	clips/pa-030__b__436.45.wav	sí	no	no	no	no	a la llibertat de l'Estat o a la llibertat de l'Estat o a la llibertat de l'Estat.	No hi hagi una mena d'aquestes que podria haver-ho d'explicar.
pa-031	bé	329.13-333.07	clips/pa-031__b__329.13.wav	no	no	no	no	no	A la llarga, sí, no la veia, mala sort, però...	A la llarga sí, no la veia, amb la sort, però...
pa-032	bé	270.41-274.95	clips/pa-032__b__270.41.wav	sí	sí	sí	sí	sí	Aquí, aquí, els pasos perduts, el cas que aniva bé, un...	Aquí, aquí, aquí, els patos per duts, el cas que li va bé un...
pa-033	bé	103.09-107.43	clips/pa-033__b__103.09.wav	sí	sí	sí	sí	sí	que ja estem bé com estem i no ho toquem, que tot es fa molt bé.	que ja estem bé com estem i no ho trobem,  que tot es fa mal bé, i l'hi també hi va ser.
pa-034	bé	18.85-23.15	clips/pa-034__b__18.85.wav	sí	no	sí	no	no	de la vall, passar bé a algú, un esplancar-te, uns llançors.	de la barriga, passava algú.  Desplem cartes, uns llanços.
pa-035	bé	715.81-720.31	clips/pa-035__b__715.81.wav	no	sí	no	sí	no	i això és el que ha de fer.	Això no hi va haver una comença que s'acabaria bé, perquè bueno.
pa-036	bé	69.45-75.15	clips/pa-036__b__69.45.wav	sí	sí	sí	sí	sí	el coprincipat. El coprincipat ens ha vingut molt bé i pensàvem que aquest hauria de continuar i així ens ha sigut.	el cop principal ens ha vingut molt bé  i pensàvem que aquestes viuen continuar  i així ens ha sigut.
pa-037	bé	105.29-124.79	clips/pa-037__b__105.29.wav	sí	no	sí	no	no	de la constituent, gairebé existim tothom. Jo, personalment, he passat tots els altres anys que no he pogut anar.  Però, bueno, aquesta és la mateixa RNA i torne bé, molt bé, molt bé, molt bé, torna a comentar coses,  del que ha de fer bé passat, però sobretot...	d'acompanyar-se, d'acompanyar-se.
pa-038	bé	26.77-31.71	clips/pa-038__b__26.77.wav	sí	sí	sí	sí	sí	No està bé considerada com un estat real.	No està bé considerada com un estat real.
pa-039	bé	27.77-32.03	clips/pa-039__b__27.77.wav	sí	no	sí	no	no	fins a la prostitució no ja està bé.	fins a la prostitució no hi estava.
pa-040	bé	32.81-38.63	clips/pa-040__b__32.81.wav	no	no	no	no	no	i el que ha passat és el que ha passat.  I el que ha passat és el que ha passat.	Les eleccions, les eleccions, les val, les vam ser.
pa-041	bé	130.25-137.75	clips/pa-041__b__130.25.wav	sí	sí	sí	sí	sí	Bé, jo crec que hi havia persones més receptives	Bé, jo crec que hi ha d'haver persones més receptives
