categoria	forma	id_persona	ocurrencia	start_s	end_s	interval_vtt	text_segment	font	estat
discurs	a nivell	pa-001	1	136.120	138.280	136.120-138.280	i a nivell de representació internacional	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	a nivell	pa-001	2	481.080	484.680	481.080-484.680	I aleshores, a nivell de la maçana,	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	a nivell	pa-001	3	514.920	518.440	514.920-518.440	A nivell de la maçana, pràcticament,	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	a veure	pa-001	1	342.320	344.840	342.320-344.840	A veure, jo penso que és un moment molt delicat, molt important,	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	a veure	pa-001	2	767.880	769.680	767.880-769.680	A veure, tampoc l'hi sé de dimarts de citó,	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	a veure	pa-001	3	1073.320	1076.360	1073.320-1076.360	A veure, quan has viscut el procés constituïent	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	aleshores	pa-001	1	10.880	12.880	10.880-12.880	Aleshores, el que es tractava d'adaptar-ho	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	aleshores	pa-001	2	79.240	82.560	79.240-82.560	Aleshores, el que es tractava de anar allimant	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	aleshores	pa-001	3	144.760	149.920	144.760-149.920	I, aleshores, tot això, amb la intenció de mantenir els coprínciers,	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	aleshores	pa-001	4	207.760	212.240	207.760-212.240	I aleshores, a partir d'aquí, bueno, van anar sortint els problemes del dia a dia,	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	aleshores	pa-001	5	317.560	319.840	317.560-319.840	I aleshores, després d'emorrar tot el telèfon,	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	aleshores	pa-001	6	366.080	369.600	366.080-369.600	I aleshores, aquí, en el moment, hi havia, sobretot,	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	aleshores	pa-001	7	373.760	375.760	373.760-375.760	i aleshores, la persona que, en certa manera,	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	aleshores	pa-001	8	481.080	484.680	481.080-484.680	I aleshores, a nivell de la maçana,	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	bueno	pa-001	1	207.760	212.240	207.760-212.240	I aleshores, a partir d'aquí, bueno, van anar sortint els problemes del dia a dia,	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	bueno	pa-001	2	859.120	863.880	859.120-863.880	Bueno, a mi que es publiquen, com així, tampoc...	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	bé	pa-001	1	49.920	53.600	49.920-53.600	Bé, o sigui, això va anar evolucionant	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	bé	pa-001	2	98.080	100.200	98.080-100.200	i crec que finalment va acabar força bé.	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	bé	pa-001	3	319.920	323.120	319.920-323.120	"la meva resposta és ""bé, deixa'm eu consultar amb el coixí"	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	bé	pa-001	4	389.040	393.360	389.040-393.360	bé, hi havia dos blocs completament diferenciats.	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	bé	pa-001	5	590.920	595.080	590.920-595.080	intentant convèncer que allò era el bo i, finalment, va acabar bé.	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	bé	pa-001	6	599.360	602.760	599.360-602.760	Bé, això, més o menys, se'n va parlar amb unes quantes reunions,	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	bé	pa-001	7	614.800	616.840	614.800-616.840	com el solventeu, a nosaltres ja ens va bé.	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	bé	pa-001	8	754.920	759.720	754.920-759.720	I, aleshores, bé, aquesta va ser la postura,	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	clar	pa-001	1	130.520	133.760	130.520-133.760	Perquè, clar, no és el mateix estar sobre la parada dels coprínciers,	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	clar	pa-001	2	434.800	436.800	434.800-436.800	totalment, i a mi el primer, però clar,	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	clar	pa-001	3	793.480	797.200	793.480-797.200	I clar, això, amb aquell moment, no li va agradar massa, no?	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	clar	pa-001	4	919.440	922.480	919.440-922.480	i, clar, quan Andorra arribi per fer l'ingrés a la ONU,	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
