ordre	rang	prioritat	categoria_base	id_persona	forma	clip	absolute_start_s	absolute_end_s	prob_min	text	text_base	f0_hz	f1_hz	f2_hz	f3_hz	f0_base	f1_base	f2_base	f3_base	justificacio	decisio_auditiva	variant_transcrita	trets_fonetica	observacions_prosodia	nota_audicio
1	1	A-doble-i-confiança-alta	A-doble-coincidencia	pa-065	bé	clips/pa-065__b__138.57.wav	140.040	140.340	0.9995	bé	M'agrada molt bé, el Serre Benopardis va marxar el paradis.	125.83	440.27	1885.92	2382.21	125.51	408.57	1651.04	2378.66	small i base coincideixen; probabilitat small >= 0,80					
2	1	A-doble-i-confiança-alta	A-doble-coincidencia	pa-011	bé	clips/pa-011__b__185.57.wav	188.490	188.510	0.9983	bé	de la casa es va molt bé.		798.21	1751.95	3114.63	179.20	387.07	1534.03	1729.77	small i base coincideixen; probabilitat small >= 0,80					
3	1	A-doble-i-confiança-alta	A-doble-coincidencia	pa-009	bé	clips/pa-009__b__557.25.wav	560.310	560.680	0.9969	bé	de corades i són campanes que sonen molt bé.		358.21	1745.11	2534.70	217.49	340.48	1174.53	2388.64	small i base coincideixen; probabilitat small >= 0,80					
4	1	A-doble-i-confiança-alta	A-doble-coincidencia	pa-018	crec	clips/pa-018__crec__7.49.wav	8.550	8.940	0.9969	crec	I després, jo crec que el problema que hi ha dels 78 és de què...	132.11	280.86	1944.35	2432.62	122.54	321.36	2331.46	2816.40	small i base coincideixen; probabilitat small >= 0,80					
5	1	A-doble-i-confiança-alta	A-doble-coincidencia	pa-049	a veure	clips/pa-049__a-veure__244.85.wav	250.750	251.080	0.9962	a veure	"I ja no ens ho pot dir.
 Ja no ens ho pot dir.
 Però va anar a tablar a visitar-te amb el meu pare,
 amb el meu pare, els van a veure després o aixec."		693.24	1743.93	2706.32					small i base coincideixen; probabilitat small >= 0,80					
6	1	A-doble-i-confiança-alta	A-doble-coincidencia	pa-022	clar	clips/pa-022__clar__107.73.wav	109.110	109.310	0.9951	clar	"L'objectiu tenia molt clar que t'he jugat molt.
 Perquè si no se'n volia."	125.72	657.85	1267.06	2548.47		673.76	1296.41	2579.60	small i base coincideixen; probabilitat small >= 0,80					
7	1	A-doble-i-confiança-alta	A-doble-coincidencia	pa-041	vull dir	clips/pa-041__vull-dir__264.25.wav	265.460	266.250	0.9947	vull dir	"No vull dir potser de discursió,
 però potser no s'aclava d'entendre bé."		320.02	1654.50	2599.84	205.19	448.91	1802.64	2686.73	small i base coincideixen; probabilitat small >= 0,80					
8	1	A-doble-i-confiança-alta	A-doble-coincidencia	pa-024	crec	clips/pa-024__crec__368.01.wav	370.720	370.750	0.9944	crec	Jo crec que los carribes, però no...		713.59	1973.17	2469.58		704.92	1752.34	2749.11	small i base coincideixen; probabilitat small >= 0,80					
9	1	A-doble-i-confiança-alta	A-doble-coincidencia	pa-043	crec	clips/pa-043__crec__102.25.wav	107.350	107.440	0.9942	crec	"que està a dir.
 Per mi l'escola Endor Rana és que es veu una identitat, no, jo crec.
 És a dir, tots els albertats."	113.88	756.89	1764.73	2507.09	173.25	700.69	1837.18	2600.09	small i base coincideixen; probabilitat small >= 0,80					
10	1	A-doble-i-confiança-alta	A-doble-coincidencia	pa-063	crec	clips/pa-063__crec__758.81.wav	761.550	761.810	0.9939	crec	"Això és el que hem d'intentar.
 Jo crec que s'està fent naturalment."		559.72	1633.81	2732.64		1021.28	2226.64	3434.73	small i base coincideixen; probabilitat small >= 0,80					
11	1	A-doble-i-confiança-alta	A-doble-coincidencia	pa-007	a veure	clips/pa-007__a-veure__89.25.wav	90.530	91.050	0.9934	a veure	"que he tingut a veure amb la història del nostre país
 i que vaig publicar a un dels meus llibres que tinc per aquí."	145.45	374.23	898.89	2345.39	156.76	343.25	1318.30	2746.37	small i base coincideixen; probabilitat small >= 0,80					
12	1	A-doble-i-confiança-alta	A-doble-coincidencia	pa-051	crec	clips/pa-051__crec__208.57.wav	208.710	208.990	0.9924	crec	No crec que arribi amb totes les húuelles de canilla, seny.	109.97	498.20	1680.84	2647.95	109.38	479.98	1603.08	2520.11	small i base coincideixen; probabilitat small >= 0,80					
13	1	A-doble-i-confiança-alta	A-doble-coincidencia	pa-008	a veure	clips/pa-008__a-veure__668.25.wav	670.160	670.890	0.9915	a veure	tot això no té res a veure amb el que 3 anys abans	180.44	533.13	1520.53	2422.28	160.21	492.62	1769.45	3053.54	small i base coincideixen; probabilitat small >= 0,80					
14	1	A-doble-i-confiança-alta	A-doble-coincidencia	pa-002	evidentment	clips/pa-002__evidentment__205.25.wav	205.860	206.830	0.9889	evidentment	Però evidentment no hi havia d'altra forma.	80.49	781.83	1072.49	2189.95	74.13	426.97	1462.09	2411.67	small i base coincideixen; probabilitat small >= 0,80					
15	1	A-doble-i-confiança-alta	A-doble-coincidencia	pa-010	clar	clips/pa-010__clar__334.85.wav	338.130	338.350	0.9866	clar	que ho són tan. Us arcojaré un parell d'exemplos i ho veureu més clar.		499.53	1825.84	3431.68		1743.47	3386.13	3488.35	small i base coincideixen; probabilitat small >= 0,80					
16	1	A-doble-i-confiança-alta	A-doble-coincidencia	pa-048	crec	clips/pa-048__crec__110.97.wav	113.550	114.090	0.9866	crec	Si hi ha cel, jo no crec ni el meu infern, ni el purgatori, ni el cel.	174.16	498.93	1479.69	2856.93	139.53	651.98	1617.43	3157.88	small i base coincideixen; probabilitat small >= 0,80					
17	1	A-doble-i-confiança-alta	A-doble-coincidencia	pa-038	vull dir	clips/pa-038__vull-dir__1576.57.wav	1580.750	1581.210	0.9837	vull dir	Ja et dic els agents exteriors, sigui ja no vull dir quins, però...	178.78	434.84	1598.88	2343.74		863.48	1894.22	2868.83	small i base coincideixen; probabilitat small >= 0,80					
18	1	A-doble-i-confiança-alta	A-doble-coincidencia	pa-045	evidentment	clips/pa-045__evidentment__290.13.wav	291.320	292.090	0.9812	evidentment	"que tenen senyar-ho, evidentment, amb una sèrie de condicions molt clares,
 perquè hi ha nombre de persones."	73.00	539.26	1404.56	2075.75	76.71	370.18	1429.43	2213.07	small i base coincideixen; probabilitat small >= 0,80					
19	1	A-doble-i-confiança-alta	A-doble-coincidencia	pa-059	clar	clips/pa-059__clar__36.61.wav	38.460	38.660	0.9810	clar	Els altres teníem clar que havíem de fer el pas.		681.47	2162.30	2995.95	186.88	850.76	1640.31	3046.10	small i base coincideixen; probabilitat small >= 0,80					
20	1	A-doble-i-confiança-alta	A-doble-coincidencia	pa-017	clar	clips/pa-017__clar__34.45.wav	38.350	38.580	0.9757	clar	Nosaltres teníem clar que havíem de fer el pas,		877.05	1934.95	3178.95	184.16	483.82	1429.77	3116.28	small i base coincideixen; probabilitat small >= 0,80					
21	1	A-doble-i-confiança-alta	A-doble-coincidencia	pa-038	reformeta	clips/pa-038__reformeta__1821.69.wav	1824.530	1825.400	0.9688	reformeta	que ho vulguis, s'agressen a contentar-te amb una reformeta.	193.86	520.45	1443.84	3004.74		581.68	1764.63	3012.67	small i base coincideixen; probabilitat small >= 0,80					
22	1	A-doble-i-confiança-alta	A-doble-coincidencia	pa-004	evidentment	clips/pa-004__evidentment__522.93.wav	526.850	526.900	0.9676	evidentment	"i doncs prohibiré aigua suficient, evidentment,
 i el que li va dir."	74.80	434.36	2049.83	2923.89	155.00	340.73	2299.18	2867.39	small i base coincideixen; probabilitat small >= 0,80					
23	1	A-doble-i-confiança-alta	A-doble-coincidencia	pa-058	perquè	clips/pa-058__perqu__91.09.wav	92.100	92.720	0.9674	perquè	i risòria, perquè no podíem acabar mai de decidir que una cosa...		797.36	1961.25	3076.75	144.46	422.72	756.12	2439.10	small i base coincideixen; probabilitat small >= 0,80					
24	1	A-doble-i-confiança-alta	A-doble-coincidencia	pa-018	perquè	clips/pa-018__perqu__91.09.wav	92.160	92.850	0.9663	perquè	i resoria perquè no podíem acabar mai de decidir que una mica.		657.39	1698.80	2850.42	119.13	453.61	1690.91	2254.42	small i base coincideixen; probabilitat small >= 0,80					
25	1	A-doble-i-confiança-alta	A-doble-coincidencia	pa-033	de fet	clips/pa-033__de-fet__249.69.wav	250.870	251.150	0.9628	de fet	Ucabzi de tot de fet, eh?	168.84	491.82	1276.30	2504.00	116.74	459.86	1750.71	2425.34	small i base coincideixen; probabilitat small >= 0,80					
26	1	A-doble-i-confiança-alta	A-doble-coincidencia	pa-034	a veure	clips/pa-034__a-veure__94.05.wav	95.230	96.040	0.9578	a veure	"que la vaig fer a la vació.
 Podíem venir a veure, perquè clar, ja s'havia de començar a preparar,
 avui dels candidats."	152.68	766.15	1450.75	3113.69	134.20	533.51	2156.77	2815.35	small i base coincideixen; probabilitat small >= 0,80					
27	1	A-doble-i-confiança-alta	A-doble-coincidencia	pa-040	de fet	clips/pa-040__de-fet__70.17.wav	71.250	71.550	0.9576	de fet	que ho trobava, i de fet el meu pare el portarés sempre sobre què hi pensem per el portar.	95.61	486.38	1338.61	2631.94	83.35	346.24	1717.57	2526.09	small i base coincideixen; probabilitat small >= 0,80					
28	1	A-doble-i-confiança-alta	A-doble-coincidencia	pa-055	reformeta	clips/pa-055__reformeta__139.05.wav	141.900	142.850	0.9557	reformeta	La diferència és que la reformeta tracta ben missatge.		368.71	1818.78	2634.03		368.71	1818.78	2634.03	small i base coincideixen; probabilitat small >= 0,80					
29	1	A-doble-i-confiança-alta	A-doble-coincidencia	pa-021	crec	clips/pa-021__crec__115.53.wav	116.330	116.590	0.9550	crec	"Jo crec que el fet de què m'alconseguin anterior
 va ser el que va passar."	124.35	527.62	2056.23	3683.17		391.09	1340.21	2593.66	small i base coincideixen; probabilitat small >= 0,80					
30	1	A-doble-i-confiança-alta	A-doble-coincidencia	pa-026	reformeta	clips/pa-026__reformeta__138.61.wav	141.660	142.350	0.9543	reformeta	ho vam aconseguir. La diferència és que la reformeta tractàvem missatge.		1614.53	2453.52	3662.27	135.98	486.74	1009.57	2090.96	small i base coincideixen; probabilitat small >= 0,80					
