id_persona	forma	interval_escolta	clip	json_base	n_matches	token_match	token_matches
pa-002	bé	348.25-355.75	clips/pa-002__b__348.25.wav	qa-consens-base-json/pa-002__b__348_25.json	0	no	[]
pa-004	bé	319.61-322.59	clips/pa-004__b__319.61.wav	qa-consens-base-json/pa-004__b__319_61.json	1	sí	"[{""start"":320.89,""end"":321.15000000000003,""p_min"":0.977812,""text"":""bé""}]"
pa-005	bé	51.09-56.07	clips/pa-005__b__51.09.wav	qa-consens-base-json/pa-005__b__51_09.json	1	sí	"[{""start"":52.38,""end"":52.550000000000004,""p_min"":0.992218,""text"":""bé""}]"
pa-007	bé	59.25-66.75	clips/pa-007__b__59.25.wav	qa-consens-base-json/pa-007__b__59_25.json	1	sí	"[{""start"":59.61,""end"":59.73,""p_min"":0.915853,""text"":""bé""}]"
pa-009	bé	557.25-561.75	clips/pa-009__b__557.25.wav	qa-consens-base-json/pa-009__b__557_25.json	1	sí	"[{""start"":560.68,""end"":560.93,""p_min"":0.988552,""text"":""bé""}]"
pa-011	bé	185.57-189.31	clips/pa-011__b__185.57.wav	qa-consens-base-json/pa-011__b__185_57.json	1	sí	"[{""start"":187.94,""end"":188.04,""p_min"":0.998057,""text"":""bé""}]"
pa-013	bé	196.65-203.47	clips/pa-013__b__196.65.wav	qa-consens-base-json/pa-013__b__196_65.json	0	no	[]
pa-014	bé	165.65-181.55	clips/pa-014__b__165.65.wav	qa-consens-base-json/pa-014__b__165_65.json	1	sí	"[{""start"":165.65,""end"":166.04,""p_min"":0.0358198,""text"":""Bé""}]"
pa-019	bé	195.25-201.75	clips/pa-019__b__195.25.wav	qa-consens-base-json/pa-019__b__195_25.json	1	sí	"[{""start"":200.3,""end"":200.4,""p_min"":0.990351,""text"":""bé""}]"
pa-020	bé	146.37-152.31	clips/pa-020__b__146.37.wav	qa-consens-base-json/pa-020__b__146_37.json	1	sí	"[{""start"":149.55,""end"":149.93,""p_min"":0.833773,""text"":""bé""}]"
pa-021	bé	257.61-263.59	clips/pa-021__b__257.61.wav	qa-consens-base-json/pa-021__b__257_61.json	0	no	[]
pa-022	bé	270.45-275.35	clips/pa-022__b__270.45.wav	qa-consens-base-json/pa-022__b__270_45.json	0	no	[]
pa-023	bé	409.37-413.47	clips/pa-023__b__409.37.wav	qa-consens-base-json/pa-023__b__409_37.json	1	sí	"[{""start"":410.25,""end"":410.32,""p_min"":0.413905,""text"":""bé""}]"
pa-026	bé	99.97-103.47	clips/pa-026__b__99.97.wav	qa-consens-base-json/pa-026__b__99_97.json	1	sí	"[{""start"":100.28999999999999,""end"":100.53,""p_min"":0.965465,""text"":""bé""}]"
pa-028	bé	182.49-187.39	clips/pa-028__b__182.49.wav	qa-consens-base-json/pa-028__b__182_49.json	1	sí	"[{""start"":185.33,""end"":185.57000000000002,""p_min"":0.621006,""text"":""bé""}]"
pa-032	bé	270.41-274.95	clips/pa-032__b__270.41.wav	qa-consens-base-json/pa-032__b__270_41.json	1	sí	"[{""start"":273.79,""end"":273.92,""p_min"":0.642863,""text"":""bé""}]"
