forma	categoria	n_persones_canoniques	n_registres_font	n_ocurrencies_asr	persones	estat
Canillo	territorial	20	23	56	spk-005,spk-008,spk-015,spk-016,spk-025,spk-026,spk-027,spk-028,spk-030,spk-031,spk-033,spk-036,spk-037,spk-039,spk-041,spk-042,spk-044,spk-048,spk-050,spk-051	matriu ASR completa; semblança textual; pendent d'audició
Escaldes	territorial	24	27	99	spk-001,spk-003,spk-005,spk-007,spk-009,spk-011,spk-016,spk-018,spk-019,spk-024,spk-026,spk-028,spk-034,spk-035,spk-036,spk-037,spk-039,spk-043,spk-047,spk-048,spk-055,spk-057,spk-058,spk-059	matriu ASR completa; semblança textual; pendent d'audició
Massana	territorial	9	11	21	spk-005,spk-014,spk-016,spk-022,spk-024,spk-026,spk-033,spk-048,spk-051	matriu ASR completa; semblança textual; pendent d'audició
Ordino	territorial	20	23	49	spk-001,spk-003,spk-005,spk-006,spk-015,spk-016,spk-017,spk-019,spk-020,spk-022,spk-024,spk-025,spk-026,spk-028,spk-036,spk-044,spk-048,spk-050,spk-057,spk-059	matriu ASR completa; semblança textual; pendent d'audició
Sant Julià	territorial	21	25	50	spk-001,spk-003,spk-005,spk-008,spk-011,spk-013,spk-016,spk-019,spk-022,spk-024,spk-025,spk-026,spk-028,spk-035,spk-036,spk-039,spk-043,spk-048,spk-050,spk-057,spk-058	matriu ASR completa; semblança textual; pendent d'audició
a nivell	discurs	25	30	110	spk-002,spk-007,spk-008,spk-009,spk-010,spk-011,spk-012,spk-018,spk-020,spk-021,spk-022,spk-026,spk-028,spk-035,spk-037,spk-039,spk-042,spk-043,spk-044,spk-045,spk-046,spk-048,spk-051,spk-053,spk-054	matriu ASR completa; semblança textual; pendent d'audició
a veure	discurs	34	39	113	spk-002,spk-003,spk-005,spk-006,spk-007,spk-008,spk-010,spk-012,spk-014,spk-016,spk-017,spk-018,spk-020,spk-021,spk-024,spk-026,spk-028,spk-031,spk-033,spk-034,spk-035,spk-037,spk-038,spk-039,spk-040,spk-042,spk-044,spk-045,spk-048,spk-051,spk-054,spk-057,spk-058,spk-060	matriu ASR completa; semblança textual; pendent d'audició
aiguats	territorial	3	3	9	spk-007,spk-011,spk-019	matriu ASR completa; semblança textual; pendent d'audició
aleshores	discurs	21	22	91	spk-001,spk-002,spk-003,spk-004,spk-006,spk-007,spk-008,spk-010,spk-016,spk-017,spk-018,spk-021,spk-024,spk-030,spk-031,spk-033,spk-042,spk-053,spk-054,spk-057,spk-060	matriu ASR completa; semblança textual; pendent d'audició
andorrana	territorial	7	7	11	spk-002,spk-005,spk-007,spk-010,spk-020,spk-039,spk-053	matriu ASR completa; semblança textual; pendent d'audició
aviam	discurs	5	5	9	spk-007,spk-022,spk-044,spk-053,spk-057	matriu ASR completa; semblança textual; pendent d'audició
bueno	discurs	44	50	407	spk-002,spk-003,spk-005,spk-006,spk-007,spk-008,spk-010,spk-011,spk-012,spk-015,spk-016,spk-018,spk-020,spk-021,spk-022,spk-023,spk-024,spk-025,spk-026,spk-027,spk-028,spk-030,spk-031,spk-032,spk-033,spk-034,spk-035,spk-037,spk-038,spk-039,spk-040,spk-041,spk-042,spk-043,spk-044,spk-045,spk-046,spk-048,spk-049,spk-051,spk-052,spk-053,spk-054,spk-058	matriu ASR completa; semblança textual; pendent d'audició
