id_a	id_b	n_formes_compartides	formes	estat
pa-001	pa-002	5	crec;de fet;evidentment;llavors;perquè	semblança tokenitzada small; pendent d'audició
pa-001	pa-003	4	crec;de fet;evidentment;perquè	semblança tokenitzada small; pendent d'audició
pa-001	pa-004	3	de fet;evidentment;perquè	semblança tokenitzada small; pendent d'audició
pa-001	pa-007	3	evidentment;llavors;perquè	semblança tokenitzada small; pendent d'audició
pa-001	pa-010	4	crec;de fet;llavors;perquè	semblança tokenitzada small; pendent d'audició
pa-001	pa-011	3	de fet;evidentment;perquè	semblança tokenitzada small; pendent d'audició
pa-001	pa-014	3	crec;evidentment;perquè	semblança tokenitzada small; pendent d'audició
pa-001	pa-016	5	crec;de fet;evidentment;llavors;perquè	semblança tokenitzada small; pendent d'audició
pa-001	pa-017	3	evidentment;llavors;perquè	semblança tokenitzada small; pendent d'audició
pa-001	pa-018	3	crec;llavors;perquè	semblança tokenitzada small; pendent d'audició
pa-001	pa-019	4	crec;evidentment;llavors;perquè	semblança tokenitzada small; pendent d'audició
pa-001	pa-021	3	crec;evidentment;perquè	semblança tokenitzada small; pendent d'audició
pa-001	pa-022	3	crec;evidentment;perquè	semblança tokenitzada small; pendent d'audició
pa-001	pa-023	3	de fet;llavors;perquè	semblança tokenitzada small; pendent d'audició
pa-001	pa-024	4	crec;de fet;evidentment;perquè	semblança tokenitzada small; pendent d'audició
pa-001	pa-025	4	crec;de fet;evidentment;perquè	semblança tokenitzada small; pendent d'audició
pa-001	pa-027	4	crec;de fet;evidentment;perquè	semblança tokenitzada small; pendent d'audició
pa-001	pa-030	3	crec;evidentment;llavors	semblança tokenitzada small; pendent d'audició
pa-001	pa-031	3	crec;de fet;perquè	semblança tokenitzada small; pendent d'audició
pa-001	pa-033	3	de fet;llavors;perquè	semblança tokenitzada small; pendent d'audició
pa-001	pa-037	3	crec;llavors;perquè	semblança tokenitzada small; pendent d'audició
pa-001	pa-038	3	crec;llavors;perquè	semblança tokenitzada small; pendent d'audició
pa-001	pa-039	3	crec;evidentment;perquè	semblança tokenitzada small; pendent d'audició
pa-001	pa-040	4	crec;de fet;evidentment;perquè	semblança tokenitzada small; pendent d'audició
pa-001	pa-041	3	crec;evidentment;perquè	semblança tokenitzada small; pendent d'audició
pa-001	pa-045	3	evidentment;llavors;perquè	semblança tokenitzada small; pendent d'audició
