id_a	id_b	n_formes_compartides	formes	estat
spk-003	spk-016	3	a veure,aleshores,clar	triple ASR; semblança textual provisional; pendent d’audició
spk-005	spk-014	3	a veure,bé,perquè	triple ASR; semblança textual provisional; pendent d’audició
spk-005	spk-016	4	a veure,clar,evidentment,perquè	triple ASR; semblança textual provisional; pendent d’audició
spk-005	spk-019	3	bé,evidentment,perquè	triple ASR; semblança textual provisional; pendent d’audició
spk-005	spk-024	3	a veure,diguem,perquè	triple ASR; semblança textual provisional; pendent d’audició
spk-005	spk-028	4	a veure,bé,evidentment,perquè	triple ASR; semblança textual provisional; pendent d’audició
spk-005	spk-038	4	bé,clar,evidentment,perquè	triple ASR; semblança textual provisional; pendent d’audició
spk-005	spk-040	3	a veure,clar,evidentment	triple ASR; semblança textual provisional; pendent d’audició
spk-005	spk-041	3	diguem,llavors,perquè	triple ASR; semblança textual provisional; pendent d’audició
spk-005	spk-044	3	clar,evidentment,perquè	triple ASR; semblança textual provisional; pendent d’audició
spk-005	spk-050	3	bé,evidentment,perquè	triple ASR; semblança textual provisional; pendent d’audició
spk-007	spk-057	3	crec,o sigui,perquè	triple ASR; semblança textual provisional; pendent d’audició
spk-009	spk-017	3	bé,de fet,és a dir	triple ASR; semblança textual provisional; pendent d’audició
spk-010	spk-014	3	a veure,bé,crec	triple ASR; semblança textual provisional; pendent d’audició
spk-010	spk-016	4	a veure,crec,doncs,vull dir	triple ASR; semblança textual provisional; pendent d’audició
spk-010	spk-026	3	a nivell,bé,crec	triple ASR; semblança textual provisional; pendent d’audició
spk-010	spk-028	3	a nivell,a veure,bé	triple ASR; semblança textual provisional; pendent d’audició
spk-010	spk-037	4	a nivell,bé,crec,vull dir	triple ASR; semblança textual provisional; pendent d’audició
spk-010	spk-038	3	bé,crec,vull dir	triple ASR; semblança textual provisional; pendent d’audició
spk-010	spk-040	3	a veure,crec,o sigui	triple ASR; semblança textual provisional; pendent d’audició
spk-010	spk-043	3	a nivell,doncs,vull dir	triple ASR; semblança textual provisional; pendent d’audició
spk-010	spk-046	3	a nivell,bé,crec	triple ASR; semblança textual provisional; pendent d’audició
spk-010	spk-050	3	bé,doncs,o sigui	triple ASR; semblança textual provisional; pendent d’audició
spk-010	spk-054	3	a nivell,bé,crec	triple ASR; semblança textual provisional; pendent d’audició
spk-010	spk-057	4	bé,crec,o sigui,vull dir	triple ASR; semblança textual provisional; pendent d’audició
spk-011	spk-026	3	a nivell,crec,perquè	triple ASR; semblança textual provisional; pendent d’audició
spk-011	spk-037	4	a nivell,bueno,crec,perquè	triple ASR; semblança textual provisional; pendent d’audició
spk-011	spk-053	3	a nivell,crec,perquè	triple ASR; semblança textual provisional; pendent d’audició
spk-014	spk-016	3	a veure,crec,perquè	triple ASR; semblança textual provisional; pendent d’audició
spk-014	spk-024	3	a veure,crec,perquè	triple ASR; semblança textual provisional; pendent d’audició
spk-014	spk-026	3	bé,crec,perquè	triple ASR; semblança textual provisional; pendent d’audició
spk-014	spk-028	3	a veure,bé,perquè	triple ASR; semblança textual provisional; pendent d’audició
spk-014	spk-037	3	bé,crec,perquè	triple ASR; semblança textual provisional; pendent d’audició
spk-014	spk-038	3	bé,crec,perquè	triple ASR; semblança textual provisional; pendent d’audició
spk-014	spk-057	3	bé,crec,perquè	triple ASR; semblança textual provisional; pendent d’audició
spk-015	spk-016	3	crec,evidentment,perquè	triple ASR; semblança textual provisional; pendent d’audició
spk-015	spk-019	3	de fet,evidentment,perquè	triple ASR; semblança textual provisional; pendent d’audició
spk-015	spk-027	3	crec,perquè,és a dir	triple ASR; semblança textual provisional; pendent d’audició
spk-015	spk-029	3	crec,de fet,perquè	triple ASR; semblança textual provisional; pendent d’audició
spk-015	spk-038	3	crec,evidentment,perquè	triple ASR; semblança textual provisional; pendent d’audició
spk-015	spk-053	5	crec,de fet,evidentment,perquè,és a dir	triple ASR; semblança textual provisional; pendent d’audició
spk-016	spk-024	3	a veure,crec,perquè	triple ASR; semblança textual provisional; pendent d’audició
spk-016	spk-028	3	a veure,evidentment,perquè	triple ASR; semblança textual provisional; pendent d’audició
spk-016	spk-037	3	crec,perquè,vull dir	triple ASR; semblança textual provisional; pendent d’audició
spk-016	spk-038	5	clar,crec,evidentment,perquè,vull dir	triple ASR; semblança textual provisional; pendent d’audició
spk-016	spk-039	3	crec,perquè,vull dir	triple ASR; semblança textual provisional; pendent d’audició
spk-016	spk-040	4	a veure,clar,crec,evidentment	triple ASR; semblança textual provisional; pendent d’audició
spk-016	spk-042	3	clar,doncs,perquè	triple ASR; semblança textual provisional; pendent d’audició
spk-016	spk-043	5	clar,doncs,perquè,tirar endavant,vull dir	triple ASR; semblança textual provisional; pendent d’audició
spk-016	spk-044	4	clar,doncs,evidentment,perquè	triple ASR; semblança textual provisional; pendent d’audició
spk-016	spk-050	3	doncs,evidentment,perquè	triple ASR; semblança textual provisional; pendent d’audició
spk-016	spk-053	4	crec,evidentment,perquè,tirar endavant	triple ASR; semblança textual provisional; pendent d’audició
spk-016	spk-057	3	crec,perquè,vull dir	triple ASR; semblança textual provisional; pendent d’audició
spk-018	spk-028	3	a nivell,evidentment,perquè	triple ASR; semblança textual provisional; pendent d’audició
spk-018	spk-044	3	a nivell,evidentment,perquè	triple ASR; semblança textual provisional; pendent d’audició
spk-018	spk-050	3	evidentment,o sigui,perquè	triple ASR; semblança textual provisional; pendent d’audició
spk-018	spk-053	3	a nivell,evidentment,perquè	triple ASR; semblança textual provisional; pendent d’audició
spk-019	spk-028	3	bé,evidentment,perquè	triple ASR; semblança textual provisional; pendent d’audició
spk-019	spk-038	3	bé,evidentment,perquè	triple ASR; semblança textual provisional; pendent d’audició
spk-019	spk-050	3	bé,evidentment,perquè	triple ASR; semblança textual provisional; pendent d’audició
spk-019	spk-053	3	de fet,evidentment,perquè	triple ASR; semblança textual provisional; pendent d’audició
