id_persona	categoria	candidat	referencia	indicador_automatic	estat_indicador	observacio_auditiva
pa-001	vocalisme	distinció a/e àtones	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-001	vocalisme	neutralització a/e en vocal neutra	ALDC; variació generacional	no inferible de la grafia ASR	requereix escolta	
pa-001	vocalisme	manteniment de o àtona	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-001	vocalisme	alternança o/u àtona	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-001	vocalisme	obertura de e tònica	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-001	morfologia	incoatius en -ix-	ALDC; Veny	pendent de revisió manual	requereix escolta	
pa-001	morfologia	morfologia nominal i adjectival	Rabassa	pendent de revisió manual	requereix escolta	
pa-001	fonosintaxi	contacte entre mots	Rabassa	no inferible de la grafia ASR	requereix escolta	
pa-001	fonètica	palatalització i velarització	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-001	fonètica	realització de r i consonants finals	Rabassa; ALDC	no inferible de la grafia ASR	requereix escolta	
pa-001	lèxic	variants occidentals	ALDC; Veny	formes_territorials=andorrana=1;comuns=3;copríncep=1;veguer=1 (ASR)	candidat lèxic; validar àudio	
pa-001	lèxic	andorranismes administratius	Govern d'Andorra; DIEC2	formes_territorials=andorrana=1;comuns=3;copríncep=1;veguer=1 (ASR)	candidat lèxic; validar àudio	
pa-001	lèxic	terminologia d'esports d'hivern	Govern d'Andorra	formes_territorials=andorrana=1;comuns=3;copríncep=1;veguer=1 (ASR)	candidat lèxic; validar àudio	
pa-001	sintaxi	perífrasis i règim verbal	Rull	perifrasi_past_aparent=64 (ASR)	indicador textual; validar àudio	
pa-001	pragmàtica	marcadors i reformulacions	corpus actual; revisió pròpia	bé=10;bueno=2;clar=5;llavors=1;aleshores=23;de fet=1;és a dir=1;o sigui=10;vull dir=2;a veure=3;evidentment=1;perquè=20;per tant=6;a nivell=3;no?=4	indicador textual; validar àudio	
pa-001	prosòdia	entonació, ritme i pauses	Rabassa; revisió pròpia	f0_iqr_hz=90.78; f0_sd_hz=72.22; pausa_mediana_s=0.06	descriptor acústic; no és tret confirmat	
pa-001	variació	localitat i generació	Rabassa; ALDC	context no documentat	contextual; no prova varietat	
pa-001	variació	contacte amb castellà i francès	Govern d'Andorra; sociolingüística	no inferible sense biografia i àudio	requereix escolta i context	
pa-003	vocalisme	distinció a/e àtones	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-003	vocalisme	neutralització a/e en vocal neutra	ALDC; variació generacional	no inferible de la grafia ASR	requereix escolta	
pa-003	vocalisme	manteniment de o àtona	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-003	vocalisme	alternança o/u àtona	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-003	vocalisme	obertura de e tònica	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-003	morfologia	incoatius en -ix-	ALDC; Veny	pendent de revisió manual	requereix escolta	
pa-003	morfologia	morfologia nominal i adjectival	Rabassa	pendent de revisió manual	requereix escolta	
pa-003	fonosintaxi	contacte entre mots	Rabassa	no inferible de la grafia ASR	requereix escolta	
pa-003	fonètica	palatalització i velarització	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-003	fonètica	realització de r i consonants finals	Rabassa; ALDC	no inferible de la grafia ASR	requereix escolta	
pa-003	lèxic	variants occidentals	ALDC; Veny	formes_territorials=andorrana=4 (ASR)	candidat lèxic; validar àudio	
pa-003	lèxic	andorranismes administratius	Govern d'Andorra; DIEC2	formes_territorials=andorrana=4 (ASR)	candidat lèxic; validar àudio	
pa-003	lèxic	terminologia d'esports d'hivern	Govern d'Andorra	formes_territorials=andorrana=4 (ASR)	candidat lèxic; validar àudio	
pa-003	sintaxi	perífrasis i règim verbal	Rull	perifrasi_past_aparent=9 (ASR)	indicador textual; validar àudio	
pa-003	pragmàtica	marcadors i reformulacions	corpus actual; revisió pròpia	bé=3;bueno=1;clar=1;aleshores=2;de fet=1;és a dir=11;aviam=1;diguem=1;evidentment=4;perquè=9;a nivell=1	indicador textual; validar àudio	
pa-003	prosòdia	entonació, ritme i pauses	Rabassa; revisió pròpia	f0_iqr_hz=126.05; f0_sd_hz=1076.05; pausa_mediana_s=0.08	descriptor acústic; no és tret confirmat	
pa-003	variació	localitat i generació	Rabassa; ALDC	context no documentat	contextual; no prova varietat	
pa-003	variació	contacte amb castellà i francès	Govern d'Andorra; sociolingüística	no inferible sense biografia i àudio	requereix escolta i context	
pa-002	vocalisme	distinció a/e àtones	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-002	vocalisme	neutralització a/e en vocal neutra	ALDC; variació generacional	no inferible de la grafia ASR	requereix escolta	
pa-002	vocalisme	manteniment de o àtona	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
