id_parlant	nom_public	n_formes_triple	formes	estat
spk-001	Alan Ward	2	aleshores,de fet	perfil triple ASR; pendent d’audició
spk-002	Albert Gelabert Grau	2	crec,perquè	perfil triple ASR; pendent d’audició
spk-003	Albert Roig	4	a veure,aleshores,clar,és a dir	perfil triple ASR; pendent d’audició
spk-004	Albert Rossa Naudí	0		perfil triple ASR; pendent d’audició
spk-005	Alfred Llahí	7	a veure,bé,clar,diguem,evidentment,llavors,perquè	perfil triple ASR; pendent d’audició
spk-006	Andreu Gaspà Picart	3	aleshores,bueno,perquè	perfil triple ASR; pendent d’audició
spk-007	Angelina Mas	3	crec,o sigui,perquè	perfil triple ASR; pendent d’audició
spk-008	Antoni Armengol Vila	2	a veure,de fet	perfil triple ASR; pendent d’audició
spk-009	Antoni Jordi Areny	3	bé,de fet,és a dir	perfil triple ASR; pendent d’audició
spk-010	Antoni Morell	7	a nivell,a veure,bé,crec,doncs,o sigui,vull dir	perfil triple ASR; pendent d’audició
spk-011	Carles Sasplugas	4	a nivell,bueno,crec,perquè	perfil triple ASR; pendent d’audició
spk-012	Casimir Arajol	0		perfil triple ASR; pendent d’audició
spk-013	Cielo	0		perfil triple ASR; pendent d’audició
spk-014	Daniel Armengol	4	a veure,bé,crec,perquè	perfil triple ASR; pendent d’audició
spk-015	Enric Casadevall Medrano	5	crec,de fet,evidentment,perquè,és a dir	perfil triple ASR; pendent d’audició
spk-016	Enric Dolsa Font	9	a veure,aleshores,clar,crec,doncs,evidentment,perquè,tirar endavant,vull dir	perfil triple ASR; pendent d’audició
spk-017	Esther Jover	3	bé,de fet,és a dir	perfil triple ASR; pendent d’audició
spk-018	Eudald Guillamet	4	a nivell,evidentment,o sigui,perquè	perfil triple ASR; pendent d’audició
spk-019	Francina Pons	4	bé,de fet,evidentment,perquè	perfil triple ASR; pendent d’audició
spk-020	Gabriel Dallerès Codina	1	tirar endavant	perfil triple ASR; pendent d’audició
spk-021	Gualbert Osorio	0		perfil triple ASR; pendent d’audició
spk-022	Guillem Areny Argelich	2	bé,perquè	perfil triple ASR; pendent d’audició
spk-023	Irene Clua	1	crec	perfil triple ASR; pendent d’audició
spk-024	Jaume Bartumeu Cassany	5	a veure,crec,diguem,perquè,reformeta	perfil triple ASR; pendent d’audició
spk-025	Joan Santamaria Terré	1	crec	perfil triple ASR; pendent d’audició
spk-026	Jordi Farràs Forné	4	a nivell,bé,crec,perquè	perfil triple ASR; pendent d’audició
spk-027	Jordi Marquet	4	crec,diguem,perquè,és a dir	perfil triple ASR; pendent d’audició
spk-028	Jordi Mas Torres	5	a nivell,a veure,bé,evidentment,perquè	perfil triple ASR; pendent d’audició
spk-029	Jordi Torres Alís	3	crec,de fet,perquè	perfil triple ASR; pendent d’audició
spk-030	Josep Areny	1	diguem	perfil triple ASR; pendent d’audició
spk-031	Josep Areny Fité	2	crec,vull dir	perfil triple ASR; pendent d’audició
spk-032	Josep Casal	2	crec,perquè	perfil triple ASR; pendent d’audició
spk-033	Josep Garrallà Rossell	2	crec,de fet	perfil triple ASR; pendent d’audició
spk-034	Josep Marsal Riba	2	crec,perquè	perfil triple ASR; pendent d’audició
spk-035	Ladislau Baró Solà	3	clar,crec,de fet	perfil triple ASR; pendent d’audició
spk-036	Ludmilla Lacueva	2	bé,doncs	perfil triple ASR; pendent d’audició
spk-037	Maria Reig Moles	7	a nivell,bueno,bé,crec,perquè,reformeta,vull dir	perfil triple ASR; pendent d’audició
spk-038	Mercè Segura	7	bé,clar,crec,ensenyança,evidentment,perquè,vull dir	perfil triple ASR; pendent d’audició
spk-039	Miquel Aleix Areny	4	crec,diguem,perquè,vull dir	perfil triple ASR; pendent d’audició
spk-040	Miquel Armengol Pons	6	a veure,clar,crec,evidentment,o sigui,reformeta	perfil triple ASR; pendent d’audició
spk-041	Miquel Naudi Casal	4	diguem,llavors,perquè,vull dir	perfil triple ASR; pendent d’audició
spk-042	Mossèn Ramon de Canillo	4	clar,doncs,o sigui,perquè	perfil triple ASR; pendent d’audició
spk-043	Nadia Aleix Tugas	7	a nivell,clar,doncs,perquè,tirar endavant,vull dir,és a dir	perfil triple ASR; pendent d’audició
spk-044	Olga Adellach Coma	5	a nivell,clar,doncs,evidentment,perquè	perfil triple ASR; pendent d’audició
spk-045	Patrick Pérez	1	evidentment	perfil triple ASR; pendent d’audició
spk-046	Pere Altimir Pintat	4	a nivell,bé,crec,diguem	perfil triple ASR; pendent d’audició
spk-047	Pere Torres	0		perfil triple ASR; pendent d’audició
spk-048	Ramon Canut Bové	3	evidentment,perquè,reformeta	perfil triple ASR; pendent d’audició
spk-049	Robert Cassany Vila	1	doncs	perfil triple ASR; pendent d’audició
spk-050	Robert Lizarte	5	bé,doncs,evidentment,o sigui,perquè	perfil triple ASR; pendent d’audició
spk-051	Rosa Maria Mandicó Alcobé	3	a veure,diguem,tirar endavant	perfil triple ASR; pendent d’audició
spk-052	Rosa Vidal	1	clar	perfil triple ASR; pendent d’audició
spk-053	Roser Bastida	7	a nivell,crec,de fet,evidentment,perquè,tirar endavant,és a dir	perfil triple ASR; pendent d’audició
spk-054	Roser Jordana	4	a nivell,bé,crec,llavors	perfil triple ASR; pendent d’audició
spk-055	Ruth Casabella	1	bé	perfil triple ASR; pendent d’audició
spk-056	Sara Ubach	2	doncs,perquè	perfil triple ASR; pendent d’audició
spk-057	Teo Armengol	5	bé,crec,o sigui,perquè,vull dir	perfil triple ASR; pendent d’audició
spk-058	Trini Mandicó Baró	2	bueno,perquè	perfil triple ASR; pendent d’audició
spk-059	Xavier Planas	5	clar,de fet,doncs,llavors,és a dir	perfil triple ASR; pendent d’audició
spk-060	Àngels Mach	0		perfil triple ASR; pendent d’audició
