id	candidat	categoria	forma	small	base	estat
lead-cg-001-xavier-espot::comú	lead-cg-001-xavier-espot	territorial	comú	1	1	consens textual; pendent d'audició
lead-cg-001-xavier-espot::per tant	lead-cg-001-xavier-espot	discurs	per tant	1	1	consens textual; pendent d'audició
lead-cg-001-xavier-espot::perquè	lead-cg-001-xavier-espot	discurs	perquè	1	1	consens textual; pendent d'audició
lead-cg-002-pere-lopez::perquè	lead-cg-002-pere-lopez	discurs	perquè	1	1	consens textual; pendent d'audició
lead-rtva-002-ian-moya::Escaldes	lead-rtva-002-ian-moya	territorial	Escaldes	3	1	consens textual; pendent d'audició
lead-rtva-002-ian-moya::a nivell	lead-rtva-002-ian-moya	discurs	a nivell	3	2	consens textual; pendent d'audició
lead-rtva-002-ian-moya::a veure	lead-rtva-002-ian-moya	discurs	a veure	5	4	consens textual; pendent d'audició
lead-rtva-002-ian-moya::bé	lead-rtva-002-ian-moya	discurs	bé	10	11	consens textual; pendent d'audició
lead-rtva-002-ian-moya::clar	lead-rtva-002-ian-moya	discurs	clar	15	14	consens textual; pendent d'audició
lead-rtva-002-ian-moya::de fet	lead-rtva-002-ian-moya	discurs	de fet	6	6	consens textual; pendent d'audició
lead-rtva-002-ian-moya::doncs	lead-rtva-002-ian-moya	discurs	doncs	21	20	consens textual; pendent d'audició
lead-rtva-002-ian-moya::evidentment	lead-rtva-002-ian-moya	discurs	evidentment	1	1	consens textual; pendent d'audició
lead-rtva-002-ian-moya::llavors	lead-rtva-002-ian-moya	discurs	llavors	25	14	consens textual; pendent d'audició
lead-rtva-002-ian-moya::no?	lead-rtva-002-ian-moya	discurs	no?	12	13	consens textual; pendent d'audició
lead-rtva-002-ian-moya::o sigui	lead-rtva-002-ian-moya	discurs	o sigui	20	10	consens textual; pendent d'audició
lead-rtva-002-ian-moya::per tant	lead-rtva-002-ian-moya	discurs	per tant	1	1	consens textual; pendent d'audició
lead-rtva-002-ian-moya::perquè	lead-rtva-002-ian-moya	discurs	perquè	36	35	consens textual; pendent d'audició
lead-rtva-002-ian-moya::és a dir	lead-rtva-002-ian-moya	discurs	és a dir	3	3	consens textual; pendent d'audició
lead-rtva-003-dj-neura::a veure	lead-rtva-003-dj-neura	discurs	a veure	1	2	consens textual; pendent d'audició
lead-rtva-003-dj-neura::aleshores	lead-rtva-003-dj-neura	discurs	aleshores	4	3	consens textual; pendent d'audició
lead-rtva-003-dj-neura::bueno	lead-rtva-003-dj-neura	discurs	bueno	4	4	consens textual; pendent d'audició
lead-rtva-003-dj-neura::bé	lead-rtva-003-dj-neura	discurs	bé	7	7	consens textual; pendent d'audició
lead-rtva-003-dj-neura::clar	lead-rtva-003-dj-neura	discurs	clar	3	3	consens textual; pendent d'audició
lead-rtva-003-dj-neura::doncs	lead-rtva-003-dj-neura	discurs	doncs	15	13	consens textual; pendent d'audició
lead-rtva-003-dj-neura::no?	lead-rtva-003-dj-neura	discurs	no?	3	4	consens textual; pendent d'audició
lead-rtva-003-dj-neura::perquè	lead-rtva-003-dj-neura	discurs	perquè	2	2	consens textual; pendent d'audició
lead-rtva-004-joan-mico::bueno	lead-rtva-004-joan-mico	discurs	bueno	12	16	consens textual; pendent d'audició
lead-rtva-004-joan-mico::bé	lead-rtva-004-joan-mico	discurs	bé	12	10	consens textual; pendent d'audició
lead-rtva-004-joan-mico::clar	lead-rtva-004-joan-mico	discurs	clar	19	23	consens textual; pendent d'audició
lead-rtva-004-joan-mico::comuns	lead-rtva-004-joan-mico	territorial	comuns	1	1	consens textual; pendent d'audició
lead-rtva-004-joan-mico::de fet	lead-rtva-004-joan-mico	discurs	de fet	3	2	consens textual; pendent d'audició
lead-rtva-004-joan-mico::doncs	lead-rtva-004-joan-mico	discurs	doncs	17	3	consens textual; pendent d'audició
lead-rtva-004-joan-mico::llavors	lead-rtva-004-joan-mico	discurs	llavors	7	4	consens textual; pendent d'audició
lead-rtva-004-joan-mico::no?	lead-rtva-004-joan-mico	discurs	no?	36	40	consens textual; pendent d'audició
lead-rtva-004-joan-mico::o sigui	lead-rtva-004-joan-mico	discurs	o sigui	5	6	consens textual; pendent d'audició
lead-rtva-004-joan-mico::per tant	lead-rtva-004-joan-mico	discurs	per tant	2	1	consens textual; pendent d'audició
lead-rtva-004-joan-mico::perquè	lead-rtva-004-joan-mico	discurs	perquè	30	27	consens textual; pendent d'audició
lead-rtva-004-joan-mico::vull dir	lead-rtva-004-joan-mico	discurs	vull dir	32	16	consens textual; pendent d'audició
lead-rtva-005-carine-montaner::Sant Julià	lead-rtva-005-carine-montaner	territorial	Sant Julià	1	1	consens textual; pendent d'audició
lead-rtva-005-carine-montaner::a nivell	lead-rtva-005-carine-montaner	discurs	a nivell	19	19	consens textual; pendent d'audició
lead-rtva-005-carine-montaner::a veure	lead-rtva-005-carine-montaner	discurs	a veure	5	4	consens textual; pendent d'audició
lead-rtva-005-carine-montaner::bueno	lead-rtva-005-carine-montaner	discurs	bueno	11	19	consens textual; pendent d'audició
lead-rtva-005-carine-montaner::bé	lead-rtva-005-carine-montaner	discurs	bé	20	22	consens textual; pendent d'audició
lead-rtva-005-carine-montaner::clar	lead-rtva-005-carine-montaner	discurs	clar	62	75	consens textual; pendent d'audició
lead-rtva-005-carine-montaner::comunal	lead-rtva-005-carine-montaner	territorial	comunal	2	2	consens textual; pendent d'audició
lead-rtva-005-carine-montaner::comunals	lead-rtva-005-carine-montaner	territorial	comunals	4	4	consens textual; pendent d'audició
lead-rtva-005-carine-montaner::comú	lead-rtva-005-carine-montaner	territorial	comú	4	4	consens textual; pendent d'audició
lead-rtva-005-carine-montaner::de fet	lead-rtva-005-carine-montaner	discurs	de fet	3	2	consens textual; pendent d'audició
lead-rtva-005-carine-montaner::diguem	lead-rtva-005-carine-montaner	discurs	diguem	2	1	consens textual; pendent d'audició
lead-rtva-005-carine-montaner::doncs	lead-rtva-005-carine-montaner	discurs	doncs	36	38	consens textual; pendent d'audició
lead-rtva-005-carine-montaner::evidentment	lead-rtva-005-carine-montaner	discurs	evidentment	3	3	consens textual; pendent d'audició
lead-rtva-005-carine-montaner::llavors	lead-rtva-005-carine-montaner	discurs	llavors	10	2	consens textual; pendent d'audició
lead-rtva-005-carine-montaner::no?	lead-rtva-005-carine-montaner	discurs	no?	14	21	consens textual; pendent d'audició
lead-rtva-005-carine-montaner::o sigui	lead-rtva-005-carine-montaner	discurs	o sigui	3	1	consens textual; pendent d'audició
lead-rtva-005-carine-montaner::parròquia	lead-rtva-005-carine-montaner	territorial	parròquia	1	1	consens textual; pendent d'audició
lead-rtva-005-carine-montaner::per tant	lead-rtva-005-carine-montaner	discurs	per tant	27	41	consens textual; pendent d'audició
lead-rtva-005-carine-montaner::perquè	lead-rtva-005-carine-montaner	discurs	perquè	90	97	consens textual; pendent d'audició
lead-rtva-005-carine-montaner::vull dir	lead-rtva-005-carine-montaner	discurs	vull dir	1	2	consens textual; pendent d'audició
lead-rtva-005-carine-montaner::és a dir	lead-rtva-005-carine-montaner	discurs	és a dir	30	28	consens textual; pendent d'audició
lead-rtva-006-jaume-tomas::a nivell	lead-rtva-006-jaume-tomas	discurs	a nivell	10	9	consens textual; pendent d'audició
lead-rtva-006-jaume-tomas::bueno	lead-rtva-006-jaume-tomas	discurs	bueno	17	20	consens textual; pendent d'audició
lead-rtva-006-jaume-tomas::bé	lead-rtva-006-jaume-tomas	discurs	bé	12	13	consens textual; pendent d'audició
lead-rtva-006-jaume-tomas::clar	lead-rtva-006-jaume-tomas	discurs	clar	19	13	consens textual; pendent d'audició
lead-rtva-006-jaume-tomas::de fet	lead-rtva-006-jaume-tomas	discurs	de fet	1	2	consens textual; pendent d'audició
lead-rtva-006-jaume-tomas::doncs	lead-rtva-006-jaume-tomas	discurs	doncs	11	4	consens textual; pendent d'audició
lead-rtva-006-jaume-tomas::evidentment	lead-rtva-006-jaume-tomas	discurs	evidentment	5	5	consens textual; pendent d'audició
lead-rtva-006-jaume-tomas::llavors	lead-rtva-006-jaume-tomas	discurs	llavors	10	7	consens textual; pendent d'audició
lead-rtva-006-jaume-tomas::no?	lead-rtva-006-jaume-tomas	discurs	no?	56	76	consens textual; pendent d'audició
lead-rtva-006-jaume-tomas::per tant	lead-rtva-006-jaume-tomas	discurs	per tant	1	1	consens textual; pendent d'audició
lead-rtva-006-jaume-tomas::perquè	lead-rtva-006-jaume-tomas	discurs	perquè	32	32	consens textual; pendent d'audició
lead-rtva-006-jaume-tomas::vull dir	lead-rtva-006-jaume-tomas	discurs	vull dir	1	1	consens textual; pendent d'audició
lead-rtva-006-jaume-tomas::és a dir	lead-rtva-006-jaume-tomas	discurs	és a dir	13	12	consens textual; pendent d'audició
lead-rtva-007-robert-guirao::a nivell	lead-rtva-007-robert-guirao	discurs	a nivell	1	2	consens textual; pendent d'audició
lead-rtva-007-robert-guirao::a veure	lead-rtva-007-robert-guirao	discurs	a veure	4	6	consens textual; pendent d'audició
lead-rtva-007-robert-guirao::bueno	lead-rtva-007-robert-guirao	discurs	bueno	2	1	consens textual; pendent d'audició
lead-rtva-007-robert-guirao::bé	lead-rtva-007-robert-guirao	discurs	bé	4	4	consens textual; pendent d'audició
lead-rtva-007-robert-guirao::comú	lead-rtva-007-robert-guirao	territorial	comú	1	1	consens textual; pendent d'audició
lead-rtva-007-robert-guirao::de fet	lead-rtva-007-robert-guirao	discurs	de fet	1	1	consens textual; pendent d'audició
lead-rtva-007-robert-guirao::doncs	lead-rtva-007-robert-guirao	discurs	doncs	5	16	consens textual; pendent d'audició
lead-rtva-007-robert-guirao::evidentment	lead-rtva-007-robert-guirao	discurs	evidentment	3	7	consens textual; pendent d'audició
lead-rtva-007-robert-guirao::no?	lead-rtva-007-robert-guirao	discurs	no?	2	5	consens textual; pendent d'audició
lead-rtva-007-robert-guirao::o sigui	lead-rtva-007-robert-guirao	discurs	o sigui	1	1	consens textual; pendent d'audició
lead-rtva-007-robert-guirao::perquè	lead-rtva-007-robert-guirao	discurs	perquè	8	20	consens textual; pendent d'audició
lead-rtva-007-robert-guirao::és a dir	lead-rtva-007-robert-guirao	discurs	és a dir	3	5	consens textual; pendent d'audició
lead-rtva-008-mireia-pedescoll::Escaldes	lead-rtva-008-mireia-pedescoll	territorial	Escaldes	3	2	consens textual; pendent d'audició
lead-rtva-008-mireia-pedescoll::a veure	lead-rtva-008-mireia-pedescoll	discurs	a veure	14	14	consens textual; pendent d'audició
lead-rtva-008-mireia-pedescoll::aleshores	lead-rtva-008-mireia-pedescoll	discurs	aleshores	13	5	consens textual; pendent d'audició
lead-rtva-008-mireia-pedescoll::bueno	lead-rtva-008-mireia-pedescoll	discurs	bueno	9	13	consens textual; pendent d'audició
lead-rtva-008-mireia-pedescoll::bé	lead-rtva-008-mireia-pedescoll	discurs	bé	21	23	consens textual; pendent d'audició
lead-rtva-008-mireia-pedescoll::clar	lead-rtva-008-mireia-pedescoll	discurs	clar	15	12	consens textual; pendent d'audició
lead-rtva-008-mireia-pedescoll::comú	lead-rtva-008-mireia-pedescoll	territorial	comú	1	2	consens textual; pendent d'audició
lead-rtva-008-mireia-pedescoll::doncs	lead-rtva-008-mireia-pedescoll	discurs	doncs	32	35	consens textual; pendent d'audició
lead-rtva-008-mireia-pedescoll::evidentment	lead-rtva-008-mireia-pedescoll	discurs	evidentment	7	7	consens textual; pendent d'audició
lead-rtva-008-mireia-pedescoll::llavors	lead-rtva-008-mireia-pedescoll	discurs	llavors	1	1	consens textual; pendent d'audició
lead-rtva-008-mireia-pedescoll::no?	lead-rtva-008-mireia-pedescoll	discurs	no?	16	19	consens textual; pendent d'audició
lead-rtva-008-mireia-pedescoll::parròquia	lead-rtva-008-mireia-pedescoll	territorial	parròquia	2	4	consens textual; pendent d'audició
lead-rtva-008-mireia-pedescoll::per tant	lead-rtva-008-mireia-pedescoll	discurs	per tant	8	8	consens textual; pendent d'audició
lead-rtva-008-mireia-pedescoll::perquè	lead-rtva-008-mireia-pedescoll	discurs	perquè	26	27	consens textual; pendent d'audició
lead-rtva-008-mireia-pedescoll::vull dir	lead-rtva-008-mireia-pedescoll	discurs	vull dir	7	8	consens textual; pendent d'audició
lead-rtva-008-mireia-pedescoll::és a dir	lead-rtva-008-mireia-pedescoll	discurs	és a dir	2	4	consens textual; pendent d'audició
