id_persona	categoria	forma	recompte_asr	clip_qa	forma_en_qa	estat
pa-001	discurs	a nivell	3	clips/pa-001__a-nivell__135.37.wav	no	ASR; pendent d'audicio
pa-001	discurs	a veure	3	clips/pa-001__a-veure__341.57.wav	no	ASR; pendent d'audicio
pa-001	discurs	aleshores	23	clips/pa-001__aleshores__10.13.wav	no	ASR; pendent d'audicio
pa-001	discurs	aviam	0		no-clip	ASR; pendent d'audicio
pa-001	discurs	bueno	2	clips/pa-001__bueno__207.01.wav	no	ASR; pendent d'audicio
pa-001	discurs	bé	10	clips/pa-001__b__49.17.wav	no	ASR; pendent d'audicio
pa-001	discurs	clar	5	clips/pa-001__clar__129.77.wav	no	ASR; pendent d'audicio
pa-001	discurs	de fet	1	clips/pa-001__de-fet__68.49.wav	sí	ASR; pendent d'audicio
pa-001	discurs	diguem	0		no-clip	ASR; pendent d'audicio
pa-001	discurs	doncs	0		no-clip	ASR; pendent d'audicio
pa-001	discurs	evidentment	1	clips/pa-001__evidentment__1067.69.wav	sí	ASR; pendent d'audicio
pa-001	discurs	llavors	1	clips/pa-001__llavors__837.17.wav	sí	ASR; pendent d'audicio
pa-001	discurs	no?	4		no-clip	ASR; pendent d'audicio
pa-001	discurs	o sigui	10	clips/pa-001__o-sigui__49.17.wav	no	ASR; pendent d'audicio
pa-001	discurs	per tant	6		no-clip	ASR; pendent d'audicio
pa-001	discurs	perquè	20	clips/pa-001__perqu__59.57.wav	sí	ASR; pendent d'audicio
pa-001	discurs	vull dir	2	clips/pa-001__vull-dir__621.37.wav	no	ASR; pendent d'audicio
pa-001	discurs	és a dir	1	clips/pa-001__s-a-dir__890.97.wav	no	ASR; pendent d'audicio
pa-001	gramatica	contacte_castella_candidat=bueno	2		no-clip	ASR; pendent d'audicio
pa-001	gramatica	contacte_castella_candidat=pues	0		no-clip	ASR; pendent d'audicio
pa-001	gramatica	contacte_castella_candidat=vale	0		no-clip	ASR; pendent d'audicio
pa-001	gramatica	incoatiu_eix_candidat=coneix	0		no-clip	ASR; pendent d'audicio
pa-001	gramatica	incoatiu_eix_candidat=coneixen	0		no-clip	ASR; pendent d'audicio
pa-001	gramatica	incoatiu_eix_candidat=coneixeu	0		no-clip	ASR; pendent d'audicio
pa-001	gramatica	incoatiu_eix_candidat=converteix	0		no-clip	ASR; pendent d'audicio
pa-001	gramatica	incoatiu_eix_candidat=desapareix	0		no-clip	ASR; pendent d'audicio
pa-001	gramatica	incoatiu_eix_candidat=existeix	0		no-clip	ASR; pendent d'audicio
pa-001	gramatica	incoatiu_eix_candidat=llegeix	0		no-clip	ASR; pendent d'audicio
pa-001	gramatica	incoatiu_eix_candidat=produeix	0		no-clip	ASR; pendent d'audicio
pa-001	gramatica	incoatiu_eix_candidat=segueix	0		no-clip	ASR; pendent d'audicio
pa-001	gramatica	incoatiu_eix_candidat=segueixen	0		no-clip	ASR; pendent d'audicio
pa-001	gramatica	incoatiu_eix_candidat=serveixen	0		no-clip	ASR; pendent d'audicio
pa-001	gramatica	negacio_lexical_candidat=mai	2		no-clip	ASR; pendent d'audicio
pa-001	gramatica	negacio_lexical_candidat=tampoc	11		no-clip	ASR; pendent d'audicio
pa-001	gramatica	negacio_no_pas_candidat=no ... pas	0		no-clip	ASR; pendent d'audicio
pa-001	gramatica	perifrasi_past_candidata=va acabar	2		no-clip	ASR; pendent d'audicio
pa-001	gramatica	perifrasi_past_candidata=va acollir	0		no-clip	ASR; pendent d'audicio
pa-001	gramatica	perifrasi_past_candidata=va aconseguir	0		no-clip	ASR; pendent d'audicio
pa-001	gramatica	perifrasi_past_candidata=va agafar	0		no-clip	ASR; pendent d'audicio
pa-001	gramatica	perifrasi_past_candidata=va aixecar	0		no-clip	ASR; pendent d'audicio
pa-001	gramatica	perifrasi_past_candidata=va ajudar	0		no-clip	ASR; pendent d'audicio
pa-001	gramatica	perifrasi_past_candidata=va al	0		no-clip	ASR; pendent d'audicio
pa-001	gramatica	perifrasi_past_candidata=va anar	3		no-clip	ASR; pendent d'audicio
pa-001	gramatica	perifrasi_past_candidata=va aportar	0		no-clip	ASR; pendent d'audicio
pa-001	gramatica	perifrasi_past_candidata=va arribar	0		no-clip	ASR; pendent d'audicio
pa-001	gramatica	perifrasi_past_candidata=va avançar	0		no-clip	ASR; pendent d'audicio
pa-001	gramatica	perifrasi_past_candidata=va buscar	0		no-clip	ASR; pendent d'audicio
pa-001	gramatica	perifrasi_past_candidata=va bé	1		no-clip	ASR; pendent d'audicio
pa-001	gramatica	perifrasi_past_candidata=va canviar	0		no-clip	ASR; pendent d'audicio
pa-001	gramatica	perifrasi_past_candidata=va caure	0		no-clip	ASR; pendent d'audicio
pa-001	gramatica	perifrasi_past_candidata=va començar	0		no-clip	ASR; pendent d'audicio
pa-001	gramatica	perifrasi_past_candidata=va comprar	0		no-clip	ASR; pendent d'audicio
pa-001	gramatica	perifrasi_past_candidata=va considerar	0		no-clip	ASR; pendent d'audicio
pa-001	gramatica	perifrasi_past_candidata=va construir	0		no-clip	ASR; pendent d'audicio
pa-001	gramatica	perifrasi_past_candidata=va contestar	0		no-clip	ASR; pendent d'audicio
