id_a	id_b	n_formes_compartides	formes	estat
spk-001	spk-002	8	aleshores,bé,clar,de fet,evidentment,llavors,o sigui,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-003	10	Escaldes,Ordino,Sant Julià,aleshores,bé,clar,de fet,diguem,doncs,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-004	4	aleshores,bé,doncs,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-005	10	Escaldes,Ordino,Sant Julià,bé,clar,diguem,doncs,evidentment,llavors,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-006	7	Ordino,aleshores,bé,clar,doncs,llavors,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-007	10	Escaldes,aleshores,bé,clar,diguem,doncs,evidentment,llavors,o sigui,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-008	8	Sant Julià,aleshores,bé,de fet,diguem,doncs,llavors,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-009	8	Escaldes,bé,clar,de fet,diguem,doncs,llavors,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-010	7	aleshores,bé,clar,doncs,llavors,o sigui,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-011	7	Escaldes,Sant Julià,bé,de fet,evidentment,llavors,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-012	6	bé,clar,doncs,llavors,o sigui,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-013	3	Sant Julià,clar,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-014	7	bé,clar,doncs,evidentment,llavors,o sigui,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-015	10	Ordino,bé,clar,de fet,diguem,doncs,evidentment,llavors,o sigui,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-016	11	Escaldes,Ordino,Sant Julià,aleshores,bé,clar,doncs,evidentment,llavors,o sigui,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-017	7	Ordino,aleshores,bé,de fet,doncs,evidentment,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-018	9	Escaldes,aleshores,bé,clar,doncs,evidentment,llavors,o sigui,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-019	8	Escaldes,Ordino,Sant Julià,bé,de fet,doncs,evidentment,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-020	9	Ordino,bé,clar,de fet,diguem,doncs,llavors,o sigui,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-021	6	aleshores,bé,doncs,llavors,o sigui,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-022	8	Ordino,Sant Julià,bé,clar,diguem,doncs,evidentment,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-024	12	Escaldes,Ordino,Sant Julià,aleshores,bé,clar,de fet,diguem,doncs,evidentment,o sigui,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
