id_persona	forma	recompte_token_small	estat
pa-001	a nivell	0	tokenització small; pendent d'audició
pa-001	a veure	0	tokenització small; pendent d'audició
pa-001	aleshores	0	tokenització small; pendent d'audició
pa-001	aviam	0	tokenització small; pendent d'audició
pa-001	bueno	0	tokenització small; pendent d'audició
pa-001	bé	0	tokenització small; pendent d'audició
pa-001	clar	0	tokenització small; pendent d'audició
pa-001	crec	1	tokenització small; pendent d'audició
pa-001	de fet	1	tokenització small; pendent d'audició
pa-001	diguem	0	tokenització small; pendent d'audició
pa-001	doncs	0	tokenització small; pendent d'audició
pa-001	ensenyança	0	tokenització small; pendent d'audició
pa-001	evidentment	1	tokenització small; pendent d'audició
pa-001	llavors	1	tokenització small; pendent d'audició
pa-001	o sigui	0	tokenització small; pendent d'audició
pa-001	perquè	1	tokenització small; pendent d'audició
pa-001	reformeta	0	tokenització small; pendent d'audició
pa-001	tirar endavant	0	tokenització small; pendent d'audició
pa-001	vull dir	0	tokenització small; pendent d'audició
pa-001	és a dir	0	tokenització small; pendent d'audició
pa-003	a nivell	1	tokenització small; pendent d'audició
pa-003	a veure	0	tokenització small; pendent d'audició
pa-003	aleshores	0	tokenització small; pendent d'audició
pa-003	aviam	0	tokenització small; pendent d'audició
pa-003	bueno	1	tokenització small; pendent d'audició
pa-003	bé	1	tokenització small; pendent d'audició
pa-003	clar	1	tokenització small; pendent d'audició
pa-003	crec	1	tokenització small; pendent d'audició
pa-003	de fet	1	tokenització small; pendent d'audició
pa-003	diguem	0	tokenització small; pendent d'audició
pa-003	doncs	0	tokenització small; pendent d'audició
pa-003	ensenyança	1	tokenització small; pendent d'audició
pa-003	evidentment	1	tokenització small; pendent d'audició
pa-003	llavors	0	tokenització small; pendent d'audició
pa-003	o sigui	0	tokenització small; pendent d'audició
pa-003	perquè	1	tokenització small; pendent d'audició
pa-003	reformeta	0	tokenització small; pendent d'audició
pa-003	tirar endavant	1	tokenització small; pendent d'audició
pa-003	vull dir	0	tokenització small; pendent d'audició
pa-003	és a dir	1	tokenització small; pendent d'audició
pa-002	a nivell	1	tokenització small; pendent d'audició
pa-002	a veure	1	tokenització small; pendent d'audició
pa-002	aleshores	0	tokenització small; pendent d'audició
pa-002	aviam	0	tokenització small; pendent d'audició
pa-002	bueno	0	tokenització small; pendent d'audició
pa-002	bé	1	tokenització small; pendent d'audició
pa-002	clar	1	tokenització small; pendent d'audició
pa-002	crec	1	tokenització small; pendent d'audició
pa-002	de fet	1	tokenització small; pendent d'audició
pa-002	diguem	0	tokenització small; pendent d'audició
pa-002	doncs	0	tokenització small; pendent d'audició
pa-002	ensenyança	0	tokenització small; pendent d'audició
pa-002	evidentment	1	tokenització small; pendent d'audició
pa-002	llavors	1	tokenització small; pendent d'audició
pa-002	o sigui	0	tokenització small; pendent d'audició
pa-002	perquè	1	tokenització small; pendent d'audició
pa-002	reformeta	1	tokenització small; pendent d'audició
pa-002	tirar endavant	0	tokenització small; pendent d'audició
pa-002	vull dir	0	tokenització small; pendent d'audició
pa-002	és a dir	0	tokenització small; pendent d'audició
pa-004	a nivell	0	tokenització small; pendent d'audició
pa-004	a veure	0	tokenització small; pendent d'audició
pa-004	aleshores	0	tokenització small; pendent d'audició
pa-004	aviam	0	tokenització small; pendent d'audició
pa-004	bueno	0	tokenització small; pendent d'audició
pa-004	bé	1	tokenització small; pendent d'audició
pa-004	clar	0	tokenització small; pendent d'audició
pa-004	crec	0	tokenització small; pendent d'audició
pa-004	de fet	1	tokenització small; pendent d'audició
pa-004	diguem	0	tokenització small; pendent d'audició
pa-004	doncs	0	tokenització small; pendent d'audició
pa-004	ensenyança	0	tokenització small; pendent d'audició
pa-004	evidentment	1	tokenització small; pendent d'audició
pa-004	llavors	0	tokenització small; pendent d'audició
pa-004	o sigui	0	tokenització small; pendent d'audició
pa-004	perquè	1	tokenització small; pendent d'audició
pa-004	reformeta	0	tokenització small; pendent d'audició
pa-004	tirar endavant	0	tokenització small; pendent d'audició
pa-004	vull dir	1	tokenització small; pendent d'audició
pa-004	és a dir	0	tokenització small; pendent d'audició
pa-005	a nivell	0	tokenització small; pendent d'audició
pa-005	a veure	0	tokenització small; pendent d'audició
pa-005	aleshores	0	tokenització small; pendent d'audició
pa-005	aviam	0	tokenització small; pendent d'audició
pa-005	bueno	0	tokenització small; pendent d'audició
pa-005	bé	1	tokenització small; pendent d'audició
pa-005	clar	0	tokenització small; pendent d'audició
pa-005	crec	0	tokenització small; pendent d'audició
pa-005	de fet	0	tokenització small; pendent d'audició
pa-005	diguem	0	tokenització small; pendent d'audició
pa-005	doncs	2	tokenització small; pendent d'audició
pa-005	ensenyança	0	tokenització small; pendent d'audició
pa-005	evidentment	0	tokenització small; pendent d'audició
pa-005	llavors	1	tokenització small; pendent d'audició
pa-005	o sigui	1	tokenització small; pendent d'audició
pa-005	perquè	0	tokenització small; pendent d'audició
pa-005	reformeta	0	tokenització small; pendent d'audició
pa-005	tirar endavant	0	tokenització small; pendent d'audició
pa-005	vull dir	0	tokenització small; pendent d'audició
pa-005	és a dir	0	tokenització small; pendent d'audició
pa-006	a nivell	0	tokenització small; pendent d'audició
pa-006	a veure	0	tokenització small; pendent d'audició
pa-006	aleshores	1	tokenització small; pendent d'audició
pa-006	aviam	0	tokenització small; pendent d'audició
pa-006	bueno	0	tokenització small; pendent d'audició
pa-006	bé	1	tokenització small; pendent d'audició
pa-006	clar	1	tokenització small; pendent d'audició
pa-006	crec	0	tokenització small; pendent d'audició
pa-006	de fet	1	tokenització small; pendent d'audició
pa-006	diguem	1	tokenització small; pendent d'audició
pa-006	doncs	1	tokenització small; pendent d'audició
pa-006	ensenyança	0	tokenització small; pendent d'audició
pa-006	evidentment	0	tokenització small; pendent d'audició
pa-006	llavors	0	tokenització small; pendent d'audició
pa-006	o sigui	1	tokenització small; pendent d'audició
pa-006	perquè	1	tokenització small; pendent d'audició
pa-006	reformeta	0	tokenització small; pendent d'audició
pa-006	tirar endavant	0	tokenització small; pendent d'audició
pa-006	vull dir	0	tokenització small; pendent d'audició
pa-006	és a dir	0	tokenització small; pendent d'audició
pa-007	a nivell	0	tokenització small; pendent d'audició
pa-007	a veure	1	tokenització small; pendent d'audició
pa-007	aleshores	0	tokenització small; pendent d'audició
pa-007	aviam	0	tokenització small; pendent d'audició
pa-007	bueno	0	tokenització small; pendent d'audició
pa-007	bé	1	tokenització small; pendent d'audició
pa-007	clar	1	tokenització small; pendent d'audició
pa-007	crec	0	tokenització small; pendent d'audició
pa-007	de fet	0	tokenització small; pendent d'audició
pa-007	diguem	1	tokenització small; pendent d'audició
pa-007	doncs	1	tokenització small; pendent d'audició
pa-007	ensenyança	0	tokenització small; pendent d'audició
pa-007	evidentment	1	tokenització small; pendent d'audició
pa-007	llavors	1	tokenització small; pendent d'audició
pa-007	o sigui	0	tokenització small; pendent d'audició
pa-007	perquè	1	tokenització small; pendent d'audició
pa-007	reformeta	0	tokenització small; pendent d'audició
pa-007	tirar endavant	0	tokenització small; pendent d'audició
pa-007	vull dir	0	tokenització small; pendent d'audició
pa-007	és a dir	1	tokenització small; pendent d'audició
pa-008	a nivell	0	tokenització small; pendent d'audició
pa-008	a veure	1	tokenització small; pendent d'audició
pa-008	aleshores	1	tokenització small; pendent d'audició
pa-008	aviam	0	tokenització small; pendent d'audició
pa-008	bueno	0	tokenització small; pendent d'audició
pa-008	bé	1	tokenització small; pendent d'audició
pa-008	clar	1	tokenització small; pendent d'audició
pa-008	crec	0	tokenització small; pendent d'audició
pa-008	de fet	1	tokenització small; pendent d'audició
pa-008	diguem	0	tokenització small; pendent d'audició
pa-008	doncs	0	tokenització small; pendent d'audició
pa-008	ensenyança	0	tokenització small; pendent d'audició
pa-008	evidentment	0	tokenització small; pendent d'audició
pa-008	llavors	0	tokenització small; pendent d'audició
pa-008	o sigui	0	tokenització small; pendent d'audició
pa-008	perquè	1	tokenització small; pendent d'audició
pa-008	reformeta	0	tokenització small; pendent d'audició
pa-008	tirar endavant	0	tokenització small; pendent d'audició
pa-008	vull dir	0	tokenització small; pendent d'audició
pa-008	és a dir	1	tokenització small; pendent d'audició
pa-009	a nivell	0	tokenització small; pendent d'audició
pa-009	a veure	0	tokenització small; pendent d'audició
pa-009	aleshores	0	tokenització small; pendent d'audició
pa-009	aviam	0	tokenització small; pendent d'audició
pa-009	bueno	0	tokenització small; pendent d'audició
pa-009	bé	1	tokenització small; pendent d'audició
pa-009	clar	1	tokenització small; pendent d'audició
pa-009	crec	0	tokenització small; pendent d'audició
pa-009	de fet	0	tokenització small; pendent d'audició
pa-009	diguem	0	tokenització small; pendent d'audició
pa-009	doncs	1	tokenització small; pendent d'audició
pa-009	ensenyança	0	tokenització small; pendent d'audició
pa-009	evidentment	1	tokenització small; pendent d'audició
pa-009	llavors	0	tokenització small; pendent d'audició
pa-009	o sigui	1	tokenització small; pendent d'audició
pa-009	perquè	1	tokenització small; pendent d'audició
pa-009	reformeta	0	tokenització small; pendent d'audició
pa-009	tirar endavant	0	tokenització small; pendent d'audició
pa-009	vull dir	0	tokenització small; pendent d'audició
pa-009	és a dir	0	tokenització small; pendent d'audició
pa-010	a nivell	0	tokenització small; pendent d'audició
pa-010	a veure	0	tokenització small; pendent d'audició
pa-010	aleshores	0	tokenització small; pendent d'audició
pa-010	aviam	0	tokenització small; pendent d'audició
pa-010	bueno	0	tokenització small; pendent d'audició
pa-010	bé	0	tokenització small; pendent d'audició
pa-010	clar	1	tokenització small; pendent d'audició
pa-010	crec	1	tokenització small; pendent d'audició
pa-010	de fet	1	tokenització small; pendent d'audició
pa-010	diguem	0	tokenització small; pendent d'audició
pa-010	doncs	1	tokenització small; pendent d'audició
pa-010	ensenyança	0	tokenització small; pendent d'audició
pa-010	evidentment	0	tokenització small; pendent d'audició
pa-010	llavors	1	tokenització small; pendent d'audició
pa-010	o sigui	0	tokenització small; pendent d'audició
pa-010	perquè	1	tokenització small; pendent d'audició
pa-010	reformeta	0	tokenització small; pendent d'audició
pa-010	tirar endavant	0	tokenització small; pendent d'audició
pa-010	vull dir	0	tokenització small; pendent d'audició
pa-010	és a dir	1	tokenització small; pendent d'audició
pa-011	a nivell	0	tokenització small; pendent d'audició
pa-011	a veure	1	tokenització small; pendent d'audició
pa-011	aleshores	0	tokenització small; pendent d'audició
pa-011	aviam	0	tokenització small; pendent d'audició
pa-011	bueno	0	tokenització small; pendent d'audició
pa-011	bé	1	tokenització small; pendent d'audició
pa-011	clar	0	tokenització small; pendent d'audició
pa-011	crec	0	tokenització small; pendent d'audició
pa-011	de fet	1	tokenització small; pendent d'audició
pa-011	diguem	0	tokenització small; pendent d'audició
