id_parlant	forma	categoria	recompte_asr	present	estat
spk-001	Massana	territorial	0	no	ASR agrupat per persona canònica; pendent d'audició
spk-001	aiguats	territorial	0	no	ASR agrupat per persona canònica; pendent d'audició
spk-001	andorrana	territorial	0	no	ASR agrupat per persona canònica; pendent d'audició
spk-001	aviam	discurs	0	no	ASR agrupat per persona canònica; pendent d'audició
spk-001	comunal	territorial	0	no	ASR agrupat per persona canònica; pendent d'audició
spk-001	comunals	territorial	0	no	ASR agrupat per persona canònica; pendent d'audició
spk-001	coprínceps	territorial	0	no	ASR agrupat per persona canònica; pendent d'audició
spk-001	padrí	territorial	0	no	ASR agrupat per persona canònica; pendent d'audició
spk-001	santuari	territorial	0	no	ASR agrupat per persona canònica; pendent d'audició
spk-001	veguer	territorial	0	no	ASR agrupat per persona canònica; pendent d'audició
spk-002	Massana	territorial	0	no	ASR agrupat per persona canònica; pendent d'audició
spk-002	aiguats	territorial	0	no	ASR agrupat per persona canònica; pendent d'audició
spk-002	andorrana	territorial	1	sí	ASR agrupat per persona canònica; pendent d'audició
spk-002	aviam	discurs	0	no	ASR agrupat per persona canònica; pendent d'audició
spk-002	comunal	territorial	0	no	ASR agrupat per persona canònica; pendent d'audició
spk-002	comunals	territorial	0	no	ASR agrupat per persona canònica; pendent d'audició
spk-002	coprínceps	territorial	0	no	ASR agrupat per persona canònica; pendent d'audició
spk-002	padrí	territorial	0	no	ASR agrupat per persona canònica; pendent d'audició
spk-002	santuari	territorial	0	no	ASR agrupat per persona canònica; pendent d'audició
spk-002	veguer	territorial	1	sí	ASR agrupat per persona canònica; pendent d'audició
spk-003	Massana	territorial	0	no	ASR agrupat per persona canònica; pendent d'audició
spk-003	aiguats	territorial	0	no	ASR agrupat per persona canònica; pendent d'audició
spk-003	andorrana	territorial	0	no	ASR agrupat per persona canònica; pendent d'audició
spk-003	aviam	discurs	0	no	ASR agrupat per persona canònica; pendent d'audició
spk-003	comunal	territorial	0	no	ASR agrupat per persona canònica; pendent d'audició
spk-003	comunals	territorial	0	no	ASR agrupat per persona canònica; pendent d'audició
spk-003	coprínceps	territorial	0	no	ASR agrupat per persona canònica; pendent d'audició
