id_parlant	forma	n_ocurrencies	present	estat
spk-001	a nivell	0	no	small; pendent d’audició
spk-001	a veure	0	no	small; pendent d’audició
spk-001	aleshores	1	sí	small; pendent d’audició
spk-001	aviam	0	no	small; pendent d’audició
spk-001	bueno	0	no	small; pendent d’audició
spk-001	bé	1	sí	small; pendent d’audició
spk-001	clar	1	sí	small; pendent d’audició
spk-001	crec	0	no	small; pendent d’audició
spk-001	de fet	1	sí	small; pendent d’audició
spk-001	diguem	1	sí	small; pendent d’audició
spk-001	doncs	1	sí	small; pendent d’audició
spk-001	ensenyança	0	no	small; pendent d’audició
spk-001	evidentment	0	no	small; pendent d’audició
spk-001	llavors	0	no	small; pendent d’audició
spk-001	o sigui	1	sí	small; pendent d’audició
spk-001	perquè	1	sí	small; pendent d’audició
spk-001	reformeta	0	no	small; pendent d’audició
spk-001	tirar endavant	0	no	small; pendent d’audició
spk-001	vull dir	0	no	small; pendent d’audició
spk-001	és a dir	0	no	small; pendent d’audició
spk-002	a nivell	0	no	small; pendent d’audició
spk-002	a veure	0	no	small; pendent d’audició
spk-002	aleshores	0	no	small; pendent d’audició
spk-002	aviam	0	no	small; pendent d’audició
spk-002	bueno	0	no	small; pendent d’audició
spk-002	bé	0	no	small; pendent d’audició
spk-002	clar	0	no	small; pendent d’audició
spk-002	crec	1	sí	small; pendent d’audició
spk-002	de fet	1	sí	small; pendent d’audició
spk-002	diguem	0	no	small; pendent d’audició
spk-002	doncs	0	no	small; pendent d’audició
spk-002	ensenyança	0	no	small; pendent d’audició
spk-002	evidentment	1	sí	small; pendent d’audició
spk-002	llavors	1	sí	small; pendent d’audició
spk-002	o sigui	0	no	small; pendent d’audició
spk-002	perquè	1	sí	small; pendent d’audició
spk-002	reformeta	0	no	small; pendent d’audició
spk-002	tirar endavant	0	no	small; pendent d’audició
spk-002	vull dir	0	no	small; pendent d’audició
spk-002	és a dir	0	no	small; pendent d’audició
spk-003	a nivell	0	no	small; pendent d’audició
spk-003	a veure	1	sí	small; pendent d’audició
spk-003	aleshores	1	sí	small; pendent d’audició
spk-003	aviam	0	no	small; pendent d’audició
