forma	n_parlants	comptatge_total	parlants	estat
a nivell	23	24	pa-002,pa-003,pa-016,pa-017,pa-019,pa-020,pa-023,pa-024,pa-026,pa-029,pa-034,pa-036,pa-038,pa-045,pa-048,pa-055,pa-057,pa-059,pa-060,pa-061,pa-063,pa-065,pa-066	tokenització small; pendent d'audició
a veure	25	26	pa-002,pa-007,pa-008,pa-011,pa-014,pa-016,pa-021,pa-022,pa-023,pa-025,pa-026,pa-030,pa-031,pa-034,pa-036,pa-041,pa-045,pa-048,pa-049,pa-055,pa-056,pa-060,pa-061,pa-063,pa-064	tokenització small; pendent d'audició
aleshores	11	11	pa-006,pa-008,pa-012,pa-025,pa-030,pa-031,pa-032,pa-046,pa-049,pa-056,pa-065	tokenització small; pendent d'audició
aviam	2	2	pa-014,pa-020	tokenització small; pendent d'audició
bueno	18	19	pa-003,pa-019,pa-021,pa-023,pa-030,pa-032,pa-037,pa-038,pa-041,pa-043,pa-049,pa-052,pa-054,pa-059,pa-061,pa-062,pa-065,pa-066	tokenització small; pendent d'audició
bé	36	41	pa-002,pa-003,pa-004,pa-005,pa-006,pa-007,pa-008,pa-009,pa-011,pa-012,pa-013,pa-014,pa-015,pa-016,pa-019,pa-020,pa-026,pa-028,pa-032,pa-033,pa-034,pa-036,pa-037,pa-038,pa-039,pa-041,pa-045,pa-046,pa-048,pa-049,pa-057,pa-061,pa-063,pa-064,pa-065,pa-066	tokenització small; pendent d'audició
clar	32	33	pa-002,pa-003,pa-006,pa-007,pa-008,pa-009,pa-010,pa-014,pa-016,pa-017,pa-019,pa-020,pa-022,pa-024,pa-025,pa-027,pa-028,pa-031,pa-032,pa-033,pa-036,pa-037,pa-038,pa-041,pa-045,pa-049,pa-052,pa-056,pa-059,pa-063,pa-064,pa-065	tokenització small; pendent d'audició
crec	34	34	pa-001,pa-002,pa-003,pa-010,pa-014,pa-016,pa-018,pa-019,pa-021,pa-022,pa-024,pa-025,pa-027,pa-030,pa-031,pa-034,pa-035,pa-037,pa-038,pa-039,pa-040,pa-041,pa-043,pa-048,pa-049,pa-051,pa-056,pa-060,pa-061,pa-062,pa-063,pa-064,pa-065,pa-066	tokenització small; pendent d'audició
de fet	19	19	pa-001,pa-002,pa-003,pa-004,pa-006,pa-008,pa-010,pa-011,pa-016,pa-023,pa-024,pa-025,pa-027,pa-028,pa-031,pa-033,pa-040,pa-060,pa-066	tokenització small; pendent d'audició
diguem	12	12	pa-006,pa-007,pa-018,pa-020,pa-025,pa-027,pa-033,pa-034,pa-046,pa-049,pa-058,pa-062	tokenització small; pendent d'audició
doncs	27	28	pa-005,pa-006,pa-007,pa-009,pa-010,pa-011,pa-013,pa-015,pa-016,pa-017,pa-020,pa-021,pa-028,pa-030,pa-031,pa-032,pa-035,pa-036,pa-037,pa-038,pa-045,pa-046,pa-048,pa-056,pa-060,pa-063,pa-065	tokenització small; pendent d'audició
ensenyança	2	2	pa-003,pa-041	tokenització small; pendent d'audició
evidentment	28	28	pa-001,pa-002,pa-003,pa-004,pa-007,pa-009,pa-011,pa-014,pa-016,pa-017,pa-019,pa-021,pa-022,pa-024,pa-025,pa-027,pa-030,pa-036,pa-039,pa-040,pa-041,pa-045,pa-049,pa-055,pa-056,pa-059,pa-061,pa-066	tokenització small; pendent d'audició
llavors	28	28	pa-001,pa-002,pa-005,pa-007,pa-010,pa-015,pa-016,pa-017,pa-018,pa-019,pa-023,pa-028,pa-030,pa-033,pa-037,pa-038,pa-045,pa-046,pa-048,pa-049,pa-053,pa-054,pa-056,pa-057,pa-060,pa-061,pa-063,pa-066	tokenització small; pendent d'audició
o sigui	21	21	pa-005,pa-006,pa-009,pa-014,pa-016,pa-022,pa-025,pa-026,pa-029,pa-030,pa-038,pa-045,pa-048,pa-049,pa-055,pa-057,pa-061,pa-062,pa-063,pa-064,pa-065	tokenització small; pendent d'audició
perquè	54	54	pa-001,pa-002,pa-003,pa-004,pa-006,pa-007,pa-008,pa-009,pa-010,pa-011,pa-012,pa-013,pa-014,pa-015,pa-016,pa-017,pa-018,pa-019,pa-020,pa-021,pa-022,pa-023,pa-024,pa-025,pa-026,pa-027,pa-031,pa-032,pa-033,pa-035,pa-036,pa-037,pa-038,pa-039,pa-040,pa-041,pa-042,pa-045,pa-049,pa-051,pa-052,pa-053,pa-054,pa-055,pa-056,pa-057,pa-058,pa-059,pa-060,pa-062,pa-063,pa-064,pa-065,pa-066	tokenització small; pendent d'audició
reformeta	7	7	pa-002,pa-022,pa-025,pa-026,pa-034,pa-038,pa-055	tokenització small; pendent d'audició
tirar endavant	11	11	pa-003,pa-017,pa-029,pa-030,pa-031,pa-033,pa-034,pa-041,pa-056,pa-057,pa-059	tokenització small; pendent d'audició
vull dir	24	25	pa-004,pa-014,pa-016,pa-017,pa-021,pa-022,pa-023,pa-026,pa-030,pa-032,pa-033,pa-036,pa-037,pa-038,pa-041,pa-048,pa-049,pa-055,pa-056,pa-058,pa-059,pa-060,pa-061,pa-063	tokenització small; pendent d'audició
és a dir	25	26	pa-003,pa-007,pa-008,pa-010,pa-011,pa-013,pa-016,pa-017,pa-021,pa-022,pa-023,pa-027,pa-030,pa-033,pa-034,pa-035,pa-043,pa-046,pa-048,pa-058,pa-059,pa-060,pa-062,pa-064,pa-065	tokenització small; pendent d'audició
