segment	inici_s	final_s	rol_provisional	confiança	motiu	text_asr	estat
2	26.680	30.600	indeterminat	baixa	no hi ha senyal textual suficient	Tenim amb nosaltres, tal com hem anunciat, el coordinador de Sociologia d'Andorra	heurística textual; pendent d'audició
3	30.600	33.400	indeterminat	baixa	no hi ha senyal textual suficient	"""Racerca innovació"" en Joan Micó."	heurística textual; pendent d'audició
4	33.400	42.280	indeterminat	baixa	no hi ha senyal textual suficient	Ell s'ha preparat una ponència pel proper 19 d'agost, 17 de vinent,	heurística textual; pendent d'audició
5	42.280	48.640	indeterminat	baixa	no hi ha senyal textual suficient	per tant, no demà, sinó el següent, a la Universitat Catalana d'Estiu.	heurística textual; pendent d'audició
6	48.640	51.640	indeterminat	baixa	no hi ha senyal textual suficient	Joan, bon dia, benvingut. Bon dia.	heurística textual; pendent d'audició
7	51.640	57.240	indeterminat	baixa	no hi ha senyal textual suficient	Ens parlaràs dels factors estructurals de les desigualtats endorren aquesta potència.	heurística textual; pendent d'audició
8	57.240	60.840	indeterminat	baixa	no hi ha senyal textual suficient	Sí, intentaré, sí, intentaré parlar sobre aquests factors.	heurística textual; pendent d'audició
9	60.840	64.240	indeterminat	baixa	no hi ha senyal textual suficient	Tenim un quart d'hora, vull dir que no és molt temps, però intentem una mica...	heurística textual; pendent d'audició
10	64.240	70.240	mixt-indeterminat	baixa	pregunta i resposta possible dins el mateix segment	Després hi ha moltes potències, jo crec que al final la gent tindrà una idea molt clara de com som, no?	heurística textual; pendent d'audició
11	70.240	75.240	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Escolta, per situar-nos, de què parlem, quan parlem de desigualtat?	heurística textual; pendent d'audició
12	75.240	81.120	joan-mico-probable	baixa	primera persona i resposta desenvolupada	Sí. Bueno, jo crec que i precisament quan la sociologia,	heurística textual; pendent d'audició
13	81.200	83.800	joan-mico-probable	baixa	primera persona i resposta desenvolupada	les incidències socials en general, jo crec que la desigualtat,	heurística textual; pendent d'audició
14	83.880	86.920	indeterminat	baixa	no hi ha senyal textual suficient	segurament, és el tema més important.	heurística textual; pendent d'audició
15	87.000	92.200	indeterminat	baixa	no hi ha senyal textual suficient	Vull dir, són els factors per quals, perquè sí, hi ha persones que tenen...	heurística textual; pendent d'audició
16	92.280	97.240	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Doncs està en una situació diferent dins de la estructura social, no?	heurística textual; pendent d'audició
17	97.320	103.040	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Ja poden ser factors que són endogàmics per com som, no?	heurística textual; pendent d'audició
18	103.120	105.560	indeterminat	baixa	no hi ha senyal textual suficient	que casco un altre salt, altres baix i tal,	heurística textual; pendent d'audició
19	105.640	110.480	indeterminat	baixa	no hi ha senyal textual suficient	però després hi ha uns altres factors que venen determinats per la part social.	heurística textual; pendent d'audició
20	111.280	114.960	indeterminat	baixa	no hi ha senyal textual suficient	Estàvem parlant de que, per dir-ho d'una manera,	heurística textual; pendent d'audició
21	115.040	121.360	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	un dels eixos seria la desigualtat social i que l'origen és socioeconòmic?	heurística textual; pendent d'audició
22	121.760	126.440	indeterminat	baixa	no hi ha senyal textual suficient	Bueno, hi ha una de les més importants seria aquest, la part socioeconòmica.	heurística textual; pendent d'audició
23	126.520	128.040	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	I després es barreja, no?	heurística textual; pendent d'audició
24	128.120	132.280	joan-mico-probable	baixa	primera persona i resposta desenvolupada	Endorra, jo crec que hi ha una barreja entre el socioeconòmic	heurística textual; pendent d'audició
25	132.840	137.680	indeterminat	baixa	no hi ha senyal textual suficient	i després hi ha un factor molt important que també és la desigualtat	heurística textual; pendent d'audició
26	137.760	141.360	indeterminat	baixa	no hi ha senyal textual suficient	a l'accés del sistema polític, que és com una barreja.	heurística textual; pendent d'audició
27	141.440	146.280	indeterminat	baixa	no hi ha senyal textual suficient	I també la desigualtat en relació que, al final,	heurística textual; pendent d'audició
28	146.360	151.040	indeterminat	baixa	no hi ha senyal textual suficient	hi ha una piràmida de pastís social en funció de l'origen.	heurística textual; pendent d'audició
29	151.120	154.440	indeterminat	baixa	no hi ha senyal textual suficient	Tot això també és veritat que Mola ha tenut per...	heurística textual; pendent d'audició
30	154.520	160.200	indeterminat	baixa	no hi ha senyal textual suficient	Endorra ha tingut un model que en aquest sentit realment ha funcionat bé,	heurística textual; pendent d'audició
31	160.280	165.920	joan-mico-probable	baixa	segment llarg compatible amb resposta	és que les persones sobretot que han nascut aquí, tant fills des que han vingut de fora com els d'aquí,	heurística textual; pendent d'audició
32	165.920	172.040	indeterminat	baixa	no hi ha senyal textual suficient	doncs la censor social ha funcionat relativament bé i això ha atenuat, són petits,	heurística textual; pendent d'audició
33	172.040	177.920	indeterminat	baixa	no hi ha senyal textual suficient	hi ha molta barreja, els estirotifs existeixen, però no com altres llocs,	heurística textual; pendent d'audició
34	177.920	182.480	joan-mico-probable	baixa	segment llarg compatible amb resposta	no hi ha la por que hi ha a la migració que hi ha altres llocs que aquí no hi és,	heurística textual; pendent d'audició
35	182.480	186.560	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	perquè al final és el contrari, que ara per exemple necessita gent,	heurística textual; pendent d'audició
36	186.560	190.680	indeterminat	baixa	no hi ha senyal textual suficient	És com que relaciona la imigració amb el benestar.	heurística textual; pendent d'audició
37	190.760	194.520	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Vull dir que hi ha uns factors que relativitzen, però existeixen, no?	heurística textual; pendent d'audició
38	195.960	197.840	indeterminat	baixa	no hi ha senyal textual suficient	Tant als nacionals com als residents,	heurística textual; pendent d'audició
39	199.280	202.840	indeterminat	baixa	no hi ha senyal textual suficient	hem d'estendre la mà als nou vinguts perquè s'integrin	heurística textual; pendent d'audició
40	202.920	205.800	indeterminat	baixa	no hi ha senyal textual suficient	i als nou vinguts fer-ho possible per integrar-se.	heurística textual; pendent d'audició
41	205.880	208.520	indeterminat	baixa	no hi ha senyal textual suficient	Sí, clar, aquí és el...	heurística textual; pendent d'audició
42	208.600	211.720	indeterminat	baixa	no hi ha senyal textual suficient	A part, la situació és que això és irreversible.	heurística textual; pendent d'audició
43	211.800	215.400	indeterminat	baixa	no hi ha senyal textual suficient	Vull dir que en Dorre ja és un país diferent,	heurística textual; pendent d'audició
44	215.480	219.480	indeterminat	baixa	no hi ha senyal textual suficient	en una societat diferent que fa 50 anys i fa 100, i això no es canviarà.	heurística textual; pendent d'audició
45	219.480	223.480	indeterminat	baixa	no hi ha senyal textual suficient	I amb aquesta barreja ha portat coses molt positives.	heurística textual; pendent d'audició
46	223.480	227.480	indeterminat	baixa	no hi ha senyal textual suficient	Vull dir, som una societat cosmopolita, hem de ser oberts,	heurística textual; pendent d'audició
47	227.480	230.480	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	perquè a part ens venen 8 o 9 milions de turistes.	heurística textual; pendent d'audició
48	230.480	234.480	indeterminat	baixa	no hi ha senyal textual suficient	Vull dir que és una societat que, a més, tenim un estil de vida molt...	heurística textual; pendent d'audició
