forma	clip	small	base	greedy	text_greedy	estat
bueno	clips/joan-mico__bueno__75.24.wav	12	16	no	i la qualitat. Sí, jo crec que i precisament quan la sociologia, la ciència social,	tercera ASR greedy; pendent d'audició
bé	clips/joan-mico__b__154.52.wav	12	10	sí	però, bueno, Andorrat ha tingut un model que en aquest sentit realment ha funcionat bé, que és que les persones...	tercera ASR greedy; pendent d'audició
clar	clips/joan-mico__clar__205.88.wav	19	23	sí	i ple per integrar-se. Sí, clar, aquí és el... aquí, sí, sí, a part...	tercera ASR greedy; pendent d'audició
de fet	clips/joan-mico__de-fet__766.48.wav	3	2	sí	el seu donat. Al final, això no ha de ser tan important. De fet, el que dius tu abans, a vegades, el discurs...	tercera ASR greedy; pendent d'audició
doncs	clips/joan-mico__doncs__92.28.wav	17	3	no	que tenen una situació diferent d'intre de la estructura social.	tercera ASR greedy; pendent d'audició
llavors	clips/joan-mico__llavors__239.48.wav	7	4	sí	Vull dir que llavors amb la pia meia edat que tenim,	tercera ASR greedy; pendent d'audició
no?	clips/joan-mico__no__64.24.wav	36	40	no	i intentar una mica com després hi ha moltes potències, jo crec que al final la gent tindrà una idea molt clara de com som. Sí, sí.	tercera ASR greedy; pendent d'audició
o sigui	clips/joan-mico__o-sigui__379.88.wav	5	6	no	per no tenir la feina, doncs no tenen... Sí, és clar, els homes es poden dedicar a tenir... Bueno, a fer mesura, el que sigui.	tercera ASR greedy; pendent d'audició
per tant	clips/joan-mico__per-tant__42.28.wav	2	1	sí	i ha dit que ha vingut per tant, no demà, sinó el següent, a la Universitat Catalana d'Estiu,	tercera ASR greedy; pendent d'audició
perquè	clips/joan-mico__perqu__87.00.wav	30	27	sí	són els factors per què, per què, perquè si hi ha persones que tenen, doncs, està una mica més...	tercera ASR greedy; pendent d'audició
vull dir	clips/joan-mico__vull-dir__60.84.wav	32	16	sí	sobre aquests factors. Tenim un quart d'hora, vull dir que no és molt temps, però, bueno, intentem una mica com després hi ha moltes...	tercera ASR greedy; pendent d'audició
comuns	clips/joan-mico__comuns__995.92.wav	1	1	sí	al posació, al ben comuns o a les diferències que pot crear moltes desigualtats. Plàndor és un pa expetit.	tercera ASR greedy; pendent d'audició
