model	categoria	forma	segment	inici_s	final_s	prob_min_segment	text_asr	estat
small	discurs	bé	26	82.120	86.080	0.0000	i crec que vostè no l'han considerat molt bé.	candidat ASR; pendent d'audició
small	discurs	doncs	33	105.160	107.080	0.0000	doncs que vostè té interactuar amb govern.	candidat ASR; pendent d'audició
small	discurs	a nivell	37	113.720	117.720	0.0000	La prova és que a nivell de la moratòria de la inversió estrangera	candidat ASR; pendent d'audició
small	discurs	perquè	39	120.560	125.640	0.0000	perquè hi havia una insiguritat jurídica en el text inicial,	candidat ASR; pendent d'audició
small	discurs	perquè	40	125.720	128.720	0.0000	perquè no havien previst de protegir les promeses de vendes	candidat ASR; pendent d'audició
small	discurs	és a dir	44	136.400	140.200	0.0000	Sí, és a dir, el mandat anterior amb els posicionaments	candidat ASR; pendent d'audició
small	discurs	perquè	46	142.840	145.560	0.0000	perquè qualsevol medicament té efectes secundaris	candidat ASR; pendent d'audició
small	discurs	per tant	47	145.640	148.840	0.0000	i, per tant, quan comprem un, per exemple,	candidat ASR; pendent d'audició
small	discurs	per tant	50	153.560	157.400	0.0000	I, per tant, jo el que reclamava és transparència,	candidat ASR; pendent d'audició
small	discurs	doncs	52	161.440	164.240	0.0000	per dir, doncs, el risc són aquestes.	candidat ASR; pendent d'audició
small	discurs	perquè	55	168.480	173.560	0.0000	Dicap, perquè ara mateix veiem, malauradament,	candidat ASR; pendent d'audició
small	discurs	és a dir	58	181.720	185.480	0.0000	És a dir, que si trombossis, em volia pulmonar, marcapasos...	candidat ASR; pendent d'audició
small	discurs	és a dir	60	187.640	190.040	0.0000	És a dir, qualsevol medicament té efectes secundaris.	candidat ASR; pendent d'audició
small	discurs	per tant	61	190.120	195.360	0.0000	I, per tant, el meu pare no es podia obligar la gent a vacunar-se,	candidat ASR; pendent d'audició
small	discurs	perquè	62	195.440	197.640	0.0000	perquè després, quan tenim efectes secundaris,	candidat ASR; pendent d'audició
small	discurs	perquè	66	205.080	208.560	0.0000	perquè la vacuna no impedia la transmissió del virus,	candidat ASR; pendent d'audició
small	discurs	per tant	67	208.640	210.640	0.0000	i, per tant, penso que cadascú...	candidat ASR; pendent d'audició
small	discurs	clar	69	215.040	218.920	0.0000	He de triar la meva salut, perquè, clar,	candidat ASR; pendent d'audició
small	discurs	perquè	69	215.040	218.920	0.0000	He de triar la meva salut, perquè, clar,	candidat ASR; pendent d'audició
small	discurs	per tant	70	219.000	223.120	0.0000	el fet de vacunar-me hauria pogut estar malalta i contagiar els demés, per tant.	candidat ASR; pendent d'audició
small	discurs	perquè	72	225.280	229.040	0.0000	Perquè... Viam, no tots els que ens hem vacunat	candidat ASR; pendent d'audició
small	discurs	perquè	74	232.440	235.600	0.0000	Al final fem cas a les autoritats, perquè pensem que és la val	candidat ASR; pendent d'audició
small	discurs	no?	78	245.120	248.200	0.0000	Carim, ens consideràvem tots molt fràgils, no?	candidat ASR; pendent d'audició
small	discurs	bé	79	248.280	251.120	0.0000	I bé, si les autoritats hi vam vacunar, posa't vacunes.	candidat ASR; pendent d'audició
small	discurs	és a dir	81	253.280	257.360	0.0000	Teniu-me un president en la història, és a dir, amb la grip aviar.	candidat ASR; pendent d'audició
small	discurs	és a dir	86	274.120	277.120	0.0000	És a dir, no tenen responsabilitat a les firmes farmacèutiques, en aquest cas.	candidat ASR; pendent d'audició
small	discurs	és a dir	87	277.200	280.200	0.0000	És a dir, que si hi ha efectes secundaris, normalment són dels estats que paguen.	candidat ASR; pendent d'audició
small	discurs	a nivell	88	280.280	283.680	0.0000	A nivell de la grip aviar va haver molts problemes de narcolèpsia.	candidat ASR; pendent d'audició
small	discurs	per tant	89	283.760	285.760	0.0000	I, per tant, els estats...	candidat ASR; pendent d'audició
small	discurs	perquè	92	290.000	292.000	0.0000	Sí, sí, perquè també era experimental.	candidat ASR; pendent d'audició
small	discurs	per tant	93	292.080	294.880	0.0000	I, per tant, vam vacunar gent, però no tanta gent com ara.	candidat ASR; pendent d'audició
small	discurs	per tant	94	294.960	298.240	0.0000	I, per tant, jo vaig dir, ojo, tenim precedents.	candidat ASR; pendent d'audició
small	discurs	doncs	97	304.440	309.000	0.0000	També vam contactar, doncs, eminences internacionals,	candidat ASR; pendent d'audició
small	discurs	perquè	98	309.080	311.600	0.0000	que no tenen conflicte d'interès, perquè el gran problema,	candidat ASR; pendent d'audició
small	discurs	doncs	102	320.960	326.600	0.0000	que integren, doncs, centres o entitats estatals.	candidat ASR; pendent d'audició
small	discurs	clar	107	342.280	344.720	0.0000	Clar, aquesta persona és neutral.	candidat ASR; pendent d'audició
small	discurs	clar	109	347.680	349.680	0.0000	Andorra, clar. I quan jo vaig demanar...	candidat ASR; pendent d'audició
small	discurs	doncs	113	355.640	358.600	0.0000	doncs, per l'estratègia de vacunació,	candidat ASR; pendent d'audició
small	discurs	doncs	119	375.560	379.040	0.0000	doncs sí, sí, aquest senyor havia arribat del Big Pharma 2,8 milions d'euros.	candidat ASR; pendent d'audició
small	discurs	perquè	125	396.160	399.400	0.0000	perquè tothom feia una cosa i vostè recomanava una altra.	candidat ASR; pendent d'audició
small	discurs	doncs	137	434.760	436.840	0.0000	"Doncs ""popolista"" quan anem a comprar..."	candidat ASR; pendent d'audició
small	discurs	no?	138	436.920	438.560	0.0000	"És ""popolista"" vostè o no?"	candidat ASR; pendent d'audició
small	discurs	clar	139	438.640	442.560	0.0000	"Popolista, primer, clar, el significat de ""popolista"","	candidat ASR; pendent d'audició
small	discurs	és a dir	140	442.640	444.840	0.0000	"""pople"", és a dir, ""pople""."	candidat ASR; pendent d'audició
small	discurs	clar	142	447.600	450.840	0.0000	La connotació pejorativa, perquè clar, s'ha desformat molt,	candidat ASR; pendent d'audició
small	discurs	perquè	142	447.600	450.840	0.0000	La connotació pejorativa, perquè clar, s'ha desformat molt,	candidat ASR; pendent d'audició
small	discurs	clar	144	453.440	456.880	0.0000	"Clar, per mi, ""popolista"", quan tu vas a contracorrent"	candidat ASR; pendent d'audició
small	discurs	perquè	151	472.760	476.240	0.0000	"""No te rías que es peor, 5 anys seguits"", perquè és així?"	candidat ASR; pendent d'audició
small	discurs	doncs	154	481.080	483.360	0.0000	Doncs jo vaig a aprendre molt del senyor Pintat...	candidat ASR; pendent d'audició
small	discurs	perquè	159	493.080	495.760	0.0000	perquè jo defensava la llibertat de vacunar-nos o no,	candidat ASR; pendent d'audició
small	discurs	perquè	160	495.840	497.960	0.0000	perquè havia treballat amb científics,	candidat ASR; pendent d'audició
small	discurs	perquè	162	500.120	506.520	0.0000	perquè per justament l'incorporació de la inversió privada,	candidat ASR; pendent d'audició
small	discurs	diguem	163	506.600	508.680	0.0000	diguem-ho així, perquè ara l'OMS	candidat ASR; pendent d'audició
small	discurs	perquè	163	506.600	508.680	0.0000	diguem-ho així, perquè ara l'OMS	candidat ASR; pendent d'audició
small	discurs	per tant	165	511.720	514.560	0.0000	i per tant hi ha molta gent que va plegant en aquell moment.	candidat ASR; pendent d'audició
small	discurs	clar	168	521.640	525.680	0.0000	i va ser molt enriquidor per mi, perquè clar, jo sóc economista,	candidat ASR; pendent d'audició
small	discurs	perquè	168	521.640	525.680	0.0000	i va ser molt enriquidor per mi, perquè clar, jo sóc economista,	candidat ASR; pendent d'audició
small	discurs	perquè	171	530.880	534.120	0.0000	i llibertat de vacunar-se perquè era experimentat, no és això.	candidat ASR; pendent d'audició
small	discurs	perquè	173	536.560	540.200	0.0000	i va hi marxar perquè jo el veia patir,	candidat ASR; pendent d'audició
small	discurs	perquè	174	540.280	542.840	0.0000	perquè jo no tenia el mateix posicionament,	candidat ASR; pendent d'audició
small	discurs	per tant	175	542.920	547.240	0.0000	jo patia també i per tant és de saber de separar-nos a temps.	candidat ASR; pendent d'audició
small	discurs	no?	184	569.480	571.480	0.0000	No s'esperava a començar a ser per aquí, no?	candidat ASR; pendent d'audició
small	discurs	bé	189	582.560	584.800	0.0000	Bé, com estan les comunals, en 2 Randavant?	candidat ASR; pendent d'audició
small	territorial	comunals	189	582.560	584.800	0.0000	Bé, com estan les comunals, en 2 Randavant?	candidat ASR; pendent d'audició
small	discurs	perquè	192	591.160	593.880	0.0000	perquè no volem anar cap a Europa,	candidat ASR; pendent d'audició
small	discurs	per tant	195	602.200	606.240	0.0000	I, per tant, nosaltres vam crear el partit per justament ajudar,	candidat ASR; pendent d'audició
small	discurs	a nivell	197	610.920	613.320	0.0000	I després, a nivell comunal,	candidat ASR; pendent d'audició
small	territorial	comunal	197	610.920	613.320	0.0000	I després, a nivell comunal,	candidat ASR; pendent d'audició
small	territorial	comunal	198	613.400	615.920	0.0000	pensem que la política comunal és molt diferent.	candidat ASR; pendent d'audició
small	discurs	per tant	199	616.000	618.720	0.0000	I, per tant, deixem els nostres afiliats,	candidat ASR; pendent d'audició
small	territorial	comú	201	622.640	626.040	0.0000	però amb un programa comú que no vagi en contra	candidat ASR; pendent d'audició
small	discurs	a nivell	202	626.120	628.960	0.0000	del que deiem a nivell nacional, doncs endavant.	candidat ASR; pendent d'audició
small	discurs	doncs	202	626.120	628.960	0.0000	del que deiem a nivell nacional, doncs endavant.	candidat ASR; pendent d'audició
small	discurs	a nivell	204	631.120	635.400	0.0000	Bé, nosaltres pensem que, a nivell territorial,	candidat ASR; pendent d'audició
small	discurs	bé	204	631.120	635.400	0.0000	Bé, nosaltres pensem que, a nivell territorial,	candidat ASR; pendent d'audició
small	discurs	a nivell	206	638.240	640.760	0.0000	a nivell del comú, perquè s'ha deixat construir massa.	candidat ASR; pendent d'audició
small	discurs	perquè	206	638.240	640.760	0.0000	a nivell del comú, perquè s'ha deixat construir massa.	candidat ASR; pendent d'audició
small	territorial	comú	206	638.240	640.760	0.0000	a nivell del comú, perquè s'ha deixat construir massa.	candidat ASR; pendent d'audició
small	territorial	comú	207	640.840	644.720	0.0000	Ara, efectivament, hi ha una llei que el comú no pot fer el que vol.	candidat ASR; pendent d'audició
small	discurs	doncs	215	664.040	666.400	0.0000	doncs estem treballant les comunals en aquest sentit.	candidat ASR; pendent d'audició
small	territorial	comunals	215	664.040	666.400	0.0000	doncs estem treballant les comunals en aquest sentit.	candidat ASR; pendent d'audició
small	discurs	clar	216	666.480	668.480	0.0000	Val, és que no m'ha quedat del tot clar.	candidat ASR; pendent d'audició
small	territorial	parròquia	218	671.880	673.840	0.0000	d'anar a una parròquia, dues, a tres...	candidat ASR; pendent d'audició
small	discurs	és a dir	219	673.920	676.920	0.0000	S'ententa tot. És a dir, fins al final, no saps mai...	candidat ASR; pendent d'audició
small	discurs	perquè	220	677.000	681.320	0.0000	Perquè a vegades et dinamiten l'allista i en topos, a vegades,	candidat ASR; pendent d'audició
small	discurs	a nivell	222	684.080	689.440	0.0000	A nivell de les eleccions s'ha d'anar amb molta prudència,	candidat ASR; pendent d'audició
