forma	categoria	small	base	consens	model_localitzador	context_small	context_base	prob_min_segment_small	prob_mean_segment_small	prob_min_segment_base	prob_mean_segment_base	clip	inici_ms	final_ms	estat
a nivell	discurs	6	6	sí	small	encara que sigui a nivell amateur, a nivell hobby,	encara que sigui a nivell a mater, a nivell hobby,	0.7350	0.9237	0.3023	0.8096	lead-yt-040__01__a-nivell.wav	174120	176120	ASR textual; atribució i audició pendents
a veure	discurs	3	4	sí	small	Està durant, està durant, exacte, i mira que el reggaetón en sí, quan fiques a veure...	I mira que el Reguetón, en sí, quan fiques a veure...	0.2432	0.7699	0.1041	0.7763	lead-yt-040__02__a-veure.wav	319240	325280	ASR textual; atribució i audició pendents
aleshores	discurs	0	0	no											ASR textual; atribució i audició pendents
aviam	discurs	3	4	sí	small	No, de fet, aviam, la Massana, realment no et sé dir el motiu,	No, de fet, aviam la maçana.	0.2076	0.8331	0.1949	0.7119	lead-yt-040__04__aviam.wav	564560	568120	ASR textual; atribució i audició pendents
bueno	discurs	11	18	sí	small	"Bueno, queda molt maco quan passen els anys i dius ""programa 1.215""."	Bueno, sí, sí, queda molt maco, quan passen els anys	0.2902	0.7756	0.1968	0.7016	lead-yt-040__05__bueno.wav	48200	52600	ASR textual; atribució i audició pendents
bé	discurs	24	21	sí	small	Guillem, com estàs? Molt bé. Moltes gràcies.	Guilhem, què tal com estàs? Molt bé, molt bé.	0.3163	0.7474	0.1139	0.6891	lead-yt-040__06__b.wav	25960	28520	ASR textual; atribució i audició pendents
clar	discurs	7	6	sí	small	però tu continues practicant excel·lent el teu, perquè clar, un dia...	Són molts anys, són moltes hores, clar, ja dic, si comences amb 9 anys,	0.1709	0.7252	0.1569	0.6487	lead-yt-040__07__clar.wav	135640	138800	ASR textual; atribució i audició pendents
de fet	discurs	6	6	sí	small	Sí, mira, de fet ara la tinc una mica de fònica,	Sí, mira, de fet, ara la tinc una mica de fònic,	0.2620	0.7890	0.2998	0.7034	lead-yt-040__08__de-fet.wav	88080	90360	ASR textual; atribució i audició pendents
diguem	discurs	1	1	sí	small	per dir, bueno, ja que estem dedicant aquest temps a l'Amassana, diguem-ho...	diguem-ho, ara estic pensant que igual he fet que demalament.	0.2560	0.7717	0.2083	0.6147	lead-yt-040__09__diguem.wav	1703220	1708180	ASR textual; atribució i audició pendents
doncs	discurs	2	4	sí	small	- Doncs mira, una d'elles és la meva sogra, precisament. - Què dius?	I hi ha grup de WhatsApp, vale, doncs.	0.1603	0.8431	0.2099	0.7035	lead-yt-040__10__doncs.wav	862040	864320	ASR textual; atribució i audició pendents
evidentment	discurs	0	0	no											ASR textual; atribució i audició pendents
llavors	discurs	1	0	no	small	els ensenyen a plantar, els fiquen en un potet, i llavors arribem a casa.		0.3410	0.8680			lead-yt-040__12__llavors.wav	719680	722440	ASR textual; atribució i audició pendents
no?	discurs	1	5	sí	small	no sé quantos, escolta, ara veis, programa 57, no?	Moltes gràcies, programa 57, no?	0.1024	0.6459	0.0567	0.6686	lead-yt-040__13__no.wav	41480	44640	ASR textual; atribució i audició pendents
o sigui	discurs	2	1	sí	small	És increïble, o sigui, és com una selecció de dansaires i et fan uns espectacles fantàstics.	Però aquí, bé, és increïble, o sigui, és com una selecció de dançaires	0.1192	0.8011	0.1730	0.7288	lead-yt-040__14__o-sigui.wav	1223200	1230080	ASR textual; atribució i audició pendents
per tant	discurs	0	0	no											ASR textual; atribució i audició pendents
perquè	discurs	53	51	sí	small	perquè ja coneixes aquesta persona.	perquè hi ha coneixers aquesta persona.	0.8893	0.9464	0.2795	0.6970	lead-yt-040__16__perqu.wav	32000	33520	ASR textual; atribució i audició pendents
vull dir	discurs	2	2	sí	small	No vull dir més perquè me'l deixaria la meitat, perquè realment són molts i està molt bé,	no vull dir més perquè me'n deixaria la mitat,	0.2921	0.7063	0.3303	0.7000	lead-yt-040__17__vull-dir.wav	472960	479720	ASR textual; atribució i audició pendents
és a dir	discurs	12	10	sí	small	És a dir, que està molt bé, perquè veus que hi ha una cantera	És a dir, no m'hi dedico la música, ja m'agradaria,	0.5421	0.9167	0.1654	0.7779	lead-yt-040__18__s-a-dir.wav	290640	293440	ASR textual; atribució i audició pendents
Canillo	territorial	0	0	no											ASR textual; atribució i audició pendents
Escaldes	territorial	0	0	no											ASR textual; atribució i audició pendents
Massana	territorial	20	7	sí	small	El meu costat a la meva esquerra es troba Guillem Forné, que és el conseller de Cultura de la Massana,	que és el conseller de Cultura de la Massana que torna a visitar aquest lloc,	0.2848	0.8082	0.3300	0.7850	lead-yt-040__21__massana.wav	0	4360	ASR textual; atribució i audició pendents
Ordino	territorial	1	1	sí	small	que és l'escola de música que gestionem juntament, ordino a la Massana,	que gestionem jo també en Ordino a la Masana, amb tots els alumnes,	0.1766	0.7744	0.0848	0.6605	lead-yt-040__22__ordino.wav	1128680	1131720	ASR textual; atribució i audició pendents
Sant Julià	territorial	4	1	sí	small	que val molt la pena. Aquest el vam descobrir fa uns anys, em sembla que el vam fer a Sant Julià, que el vam portar,	Vullament, tu, molt Sant Julià, no hem tingut aquesta visió	0.3656	0.8457	0.0790	0.7331	lead-yt-040__23__sant-juli.wav	990000	995920	ASR textual; atribució i audició pendents
