forma	categoria	small	base	consens	model_localitzador	context_small	context_base	prob_min_segment_small	prob_mean_segment_small	prob_min_segment_base	prob_mean_segment_base	clip	inici_ms	final_ms	estat
a nivell	discurs	1	1	sí	small	s'ha fet a nivell particular.	fins el dia d'avui s'ha fet a nivell particular.	0.8587	0.9580	0.4201	0.8653	lead-rtva-016__01__a-nivell.wav	2832920	2834920	ASR textual; atribució i audició pendents
a veure	discurs	22	15	sí	small	doncs a veure,	a veure, sol d'eure era un poble que visqui amb tots els famílies,	0.5198	0.8056	0.1789	0.6332	lead-rtva-016__02__a-veure.wav	865040	867560	ASR textual; atribució i audició pendents
aleshores	discurs	12	3	sí	small	I aleshores, què va passar?	i aleshores va venir a treballar com a cuiner,	0.7357	0.9176	0.2334	0.7910	lead-rtva-016__03__aleshores.wav	754440	756960	ASR textual; atribució i audició pendents
aviam	discurs	1	0	no	small	-Bueno... -Es connectaven, aviam.		0.0237	0.5822			lead-rtva-016__04__aviam.wav	2430960	2434160	ASR textual; atribució i audició pendents
bueno	discurs	42	42	sí	small	Bueno, a casa Calvó va venir a viure d'una manera permanent a sol 10,	Bueno, a casa Calvo, doncs va venir a viure d'una manera permanent a soldèu al 1402.	0.3483	0.7980	0.1830	0.6813	lead-rtva-016__05__bueno.wav	89200	94280	ASR textual; atribució i audició pendents
bé	discurs	35	32	sí	small	Bé, a l'època, quan els joeus fugiven,	És a dir que ve escribo un bé, però eren temps difícils,	0.1285	0.7728	0.1046	0.6599	lead-rtva-016__06__b.wav	370880	373720	ASR textual; atribució i audició pendents
clar	discurs	22	18	sí	small	Clar, de la madrigu, suposo que avui no en deu quedar res, no?	Clar, de remaderia, suposo que avui no en deu que darrers, no?	0.3113	0.7658	0.1878	0.6539	lead-rtva-016__07__clar.wav	181160	184320	ASR textual; atribució i audició pendents
de fet	discurs	1	1	sí	small	De fet, doncs va fer els Jocs Olímpics d'Insbruc,	De fet, doncs va fer els Jocs Olímpics dins-rocos,	0.2703	0.8823	0.1495	0.7307	lead-rtva-016__08__de-fet.wav	940320	943400	ASR textual; atribució i audició pendents
diguem	discurs	2	1	sí	small	Sí, ser-hi sense ser percebut que hi sigui, diguem-ne, no?	Ella esquiava i vostè estava, diguem-ne,	0.4545	0.8761	0.3277	0.7812	lead-rtva-016__09__diguem.wav	1967000	1971800	ASR textual; atribució i audició pendents
doncs	discurs	50	62	sí	small	Aquesta és la veritat, he viscut sempre doncs amb la família.	doncs segueixen bastant les persones en allarg de la seva vida.	0.3740	0.8675	0.1763	0.8176	lead-rtva-016__10__doncs.wav	123120	126240	ASR textual; atribució i audició pendents
