forma	font	estat
bueno	Joan Micó + graf canònic complet	consensual ASR; pendent d'audició
bé	Joan Micó + graf canònic complet	consensual ASR; pendent d'audició
clar	Joan Micó + graf canònic complet	consensual ASR; pendent d'audició
comuns	Joan Micó + graf canònic complet	consensual ASR; pendent d'audició
de fet	Joan Micó + graf canònic complet	consensual ASR; pendent d'audició
doncs	Joan Micó + graf canònic complet	consensual ASR; pendent d'audició
llavors	Joan Micó + graf canònic complet	consensual ASR; pendent d'audició
no?	Joan Micó + graf canònic complet	consensual ASR; pendent d'audició
o sigui	Joan Micó + graf canònic complet	consensual ASR; pendent d'audició
per tant	Joan Micó + graf canònic complet	consensual ASR; pendent d'audició
perquè	Joan Micó + graf canònic complet	consensual ASR; pendent d'audició
vull dir	Joan Micó + graf canònic complet	consensual ASR; pendent d'audició
