forma	clip	small	base	greedy	text_greedy	estat
a nivell	clips/ian__a-nivell__225.92.wav	3	2	sí	el més boig de tot. I després, a nivell d'artista, jo et diria potser un art de triomf, amb un praia de Barcelona o alguna cosa així, que són 200.000 persones.	tercera ASR greedy; pendent d'audició
a veure	clips/ian__a-veure__114.56.wav	5	4	sí	Això del programa és això, tot ser més trista, més melancòlica, però res a veure,	tercera ASR greedy; pendent d'audició
bé	clips/ian__b__80.96.wav	10	11	sí	Hola, què tal? Com estàs? Molt bé, molt agraït. Puc tornar a casa i parlar amb la mare.	tercera ASR greedy; pendent d'audició
clar	clips/ian__clar__174.80.wav	15	14	sí	que és el que vull fer. Sí, ja ho tenia molt clar, però ho havia de confirmar amb vídeos. I si se la confirma...	tercera ASR greedy; pendent d'audició
de fet	clips/ian__de-fet__92.84.wav	6	6	no	i no caldrà fer-ho a l'en d'orra? Doncs mira, defèn de dones diferents tants, perquè com ara m'he passat...	tercera ASR greedy; pendent d'audició
doncs	clips/ian__doncs__80.96.wav	21	20	no	Hola, què tal? Com estàs? Molt bé, molt agraït. Puc tornar a casa i parlar amb la mare.	tercera ASR greedy; pendent d'audició
evidentment	clips/ian__evidentment__1242.76.wav	1	1	sí	per fer-lo. I llavors, evidentment, si que no em pots anar a Amsterdam, jo diria, si no hi ha res que en el que necessitin. Clar.	tercera ASR greedy; pendent d'audició
llavors	clips/ian__llavors__123.44.wav	25	14	sí	i llavors la senyera seva és molt positiva.	tercera ASR greedy; pendent d'audició
no?	clips/ian__no__297.08.wav	12	13	no	per la porta gran. Si al final és el que vull fer com a artista, vaja, donar xoc a la...	tercera ASR greedy; pendent d'audició
o sigui	clips/ian__o-sigui__100.08.wav	20	10	no	i que no hi ha cap que torna a pujar. Tu t'has instal·lat a Barcelona, i aquest viatge ha sigut el més...	tercera ASR greedy; pendent d'audició
per tant	clips/ian__per-tant__1186.72.wav	1	1	sí	i no he guanyat, i per tant no m'he emportat cap premi ni he firmat cap discogràfica, però és que tampoc m'he emportat...	tercera ASR greedy; pendent d'audició
perquè	clips/ian__perqu__94.92.wav	36	35	sí	fent d'on estic fent tants, perquè, com ara m'he passat des del Nadal, a Barcelona fent feina.	tercera ASR greedy; pendent d'audició
és a dir	clips/ian__s-a-dir__539.76.wav	3	3	sí	i sempre amb nivell molt bo. És a dir, cada any hi havia hagut una o dues persones que quedava entre els 50 finals, que arribava el càsting presencial, però sempre...	tercera ASR greedy; pendent d'audició
Escaldes	clips/ian__escaldes__56.96.wav	3	1	sí	# En Giannis d'escaldes en Gordany canten anglès en català i ara ho sentim.	tercera ASR greedy; pendent d'audició
vull dir	clips/ian__vull-dir__177.36.wav	3	0	no	i si és la confirmació que vull d'aigar-me això de per vida.	tercera ASR greedy; pendent d'audició
