forma	categoria	small	base	consens	model_localitzador	context_small	context_base	prob_min_segment_small	prob_mean_segment_small	prob_min_segment_base	prob_mean_segment_base	clip	inici_ms	final_ms	estat
a nivell	discurs	1	3	sí	small	No, és a nivell de tronfes, sí.	que és a nivell de senyor Ruguet,	0.2803	0.7096	0.1077	0.5198	lead-rtva-024__01__a-nivell.wav	2935880	2937920	ASR textual; atribució i audició pendents
a veure	discurs	7	6	sí	small	I era més aviat, i ara s'ha hagut d'anar a veure la literatura.	la liberació, moltes pel·lícules, vostè eren a veure'i.	0.0694	0.6847	0.0782	0.6794	lead-rtva-024__02__a-veure.wav	634040	637960	ASR textual; atribució i audició pendents
aleshores	discurs	9	0	no	small	"Que es deien ""pons arnau"", que aleshores n'hi havia com noms."		0.3123	0.7896			lead-rtva-024__03__aleshores.wav	207360	211800	ASR textual; atribució i audició pendents
aviam	discurs	0	0	no											ASR textual; atribució i audició pendents
bueno	discurs	9	10	sí	small	Sí, bueno, Canillo.	Bueno. Per mi com era petita, per mi era fàcil.	0.5453	0.8397	0.2504	0.7251	lead-rtva-024__05__bueno.wav	250840	252520	ASR textual; atribució i audició pendents
bé	discurs	26	23	sí	small	o bé l'altrapallà, que també feia de mestre.	La casa és molt bé, la nostra casa ha quedat de 1.400,	0.1663	0.6778	0.1508	0.6384	lead-rtva-024__06__b.wav	98280	100800	ASR textual; atribució i audició pendents
clar	discurs	12	8	sí	small	És un cas de Puigcernal. Clar, a cal Puigcernal de Prats...	Clar. La gent del pop, el claritat ben pel nom de la casa.	0.0643	0.6695	0.1411	0.7372	lead-rtva-024__07__clar.wav	233760	236760	ASR textual; atribució i audició pendents
de fet	discurs	1	1	sí	small	de fet, totes les generacions havien de treballar per la casa, no?	De fet, tota les generacions havien de treballar per la casa, no?	0.4455	0.9156	0.6031	0.8995	lead-rtva-024__08__de-fet.wav	343360	347560	ASR textual; atribució i audició pendents
diguem	discurs	1	0	no	small	diguem que és el que li heu anat més satisfaccions		0.3478	0.8277			lead-rtva-024__09__diguem.wav	1433000	1437400	ASR textual; atribució i audició pendents
doncs	discurs	5	7	sí	small	-Vin de trucar... -Doncs jo vaig néixer i teníem el telèfon.	però les dones tenen més paciència, doncs.	0.1958	0.7487	0.2315	0.7681	lead-rtva-024__10__doncs.wav	314920	317760	ASR textual; atribució i audició pendents
evidentment	discurs	0	0	no											ASR textual; atribució i audició pendents
llavors	discurs	1	1	sí	small	Llavors, he vingut a anar a la repopleta com a quilòmetre,	Llavors vam posar a fer un esplai durant cada dia, quan sortien del col·le, quan sortien del col·legi,	0.0724	0.6162	0.1011	0.7140	lead-rtva-024__12__llavors.wav	252600	256600	ASR textual; atribució i audició pendents
no?	discurs	25	32	sí	small	Vostè creu que no? No gaire, de dividir.	-O se creu que no?-No.	0.1258	0.7569	0.1346	0.5490	lead-rtva-024__13__no.wav	111920	114320	ASR textual; atribució i audició pendents
o sigui	discurs	2	1	sí	small	Imagini, més de 30 anys, o sigui, fins a la jubilació.	"o sigui fins a la lluvia dels fills""."	0.1790	0.7651	0.0318	0.5354	lead-rtva-024__14__o-sigui.wav	1131080	1134120	ASR textual; atribució i audició pendents
per tant	discurs	2	7	sí	small	Per tant, a la família no li va haver d'anar nou,	que ara, així, per tant, de la 4 regla de dividir,	0.1866	0.7849	0.1519	0.6736	lead-rtva-024__15__per-tant.wav	552720	556840	ASR textual; atribució i audició pendents
perquè	discurs	46	44	sí	small	perquè molts de Canílio graven de treballar a França.	perquè molts de Canillo graven a treballar a França.	0.2372	0.8999	0.2358	0.7780	lead-rtva-024__16__perqu.wav	71320	74000	ASR textual; atribució i audició pendents
