segment	inici_s	final_s	cluster_acustic	distancia_centre	text_asr	estat
1	0.000	2.320	0	3.2016	-Què tal, Joan? Bona tarda, com estàs? -Bona tarda.	agrupació acústica provisional; identitat pendent
2	2.400	4.440	0	4.8192	Suposo que content de tornar a casa.	agrupació acústica provisional; identitat pendent
3	4.520	6.640	1	5.2937	Te'l dic que deus anar molt atrafagat.	agrupació acústica provisional; identitat pendent
4	6.720	10.160	1	2.4724	Molts mitjans, imagino, que per això t'agraïm especialment,	agrupació acústica provisional; identitat pendent
5	10.240	11.960	1	4.7930	que estiguis aquí amb nosaltres.	agrupació acústica provisional; identitat pendent
6	12.040	14.840	0	2.4383	Ja sé, amb vosaltres sempre és un plaer cansat.	agrupació acústica provisional; identitat pendent
7	14.920	19.480	1	1.1840	Ara vaig arribar fa dos dies, una mica tot revolucionar,	agrupació acústica provisional; identitat pendent
8	19.560	22.920	0	2.1352	de tests físics avui, però ara ja més tranquil,	agrupació acústica provisional; identitat pendent
9	23.000	25.720	0	3.3221	ara uns dies de més calma, compartíem família,	agrupació acústica provisional; identitat pendent
10	25.800	28.160	1	2.0555	i ràpidament tornem a marxar al dia 1,	agrupació acústica provisional; identitat pendent
11	28.240	32.280	0	1.8244	perquè la pròxima carrera és el set i no tenim massa temps per badar.	agrupació acústica provisional; identitat pendent
12	32.360	35.560	0	2.5871	Sabem que aquests tres mesos són megaintensos i estem preparats.	agrupació acústica provisional; identitat pendent
13	35.640	39.160	0	3.4730	Ho deia a l'introducció, segurament el millor cap de setmana	agrupació acústica provisional; identitat pendent
14	39.240	43.840	0	3.1848	de la història de la Federació, fa quatre dies, no em faig dir,	agrupació acústica provisional; identitat pendent
15	43.920	47.720	1	4.2305	5, 10 anys batallàvem i de quina manera	agrupació acústica provisional; identitat pendent
16	47.800	50.080	1	4.1233	per rescar algun punt en Copa d'Europa.	agrupació acústica provisional; identitat pendent
17	50.160	54.360	0	3.0386	En quatre dies hem aconseguit 54 punts a la Copa del Món.	agrupació acústica provisional; identitat pendent
18	54.440	56.440	1	3.9540	Ens hem de passegar, eh?	agrupació acústica provisional; identitat pendent
19	56.520	58.280	0	5.6140	Sí, sí, sí.	agrupació acústica provisional; identitat pendent
20	58.360	63.080	0	2.6593	Ha estat un camí complicat i adverts en molts moments,	agrupació acústica provisional; identitat pendent
21	63.160	65.880	1	3.7217	creuant les jocs importants,	agrupació acústica provisional; identitat pendent
22	65.960	70.000	0	6.0293	però que ara surti en els fruits, doncs és genial,	agrupació acústica provisional; identitat pendent
23	70.080	71.960	1	2.9963	estem esquiant molt fort,	agrupació acústica provisional; identitat pendent
24	72.040	74.360	1	3.1671	s'està fent un gran treball al meu voltant,	agrupació acústica provisional; identitat pendent
25	74.440	77.120	1	2.2191	al voltant de la ferració, des de la base,	agrupació acústica provisional; identitat pendent
26	77.200	79.000	1	3.8986	i bueno, s'està notant molt.	agrupació acústica provisional; identitat pendent
27	79.080	83.000	0	2.2008	Bé, fes 44 punts en aquestes dues dutgens places	agrupació acústica provisional; identitat pendent
28	83.080	84.600	0	3.5730	i els deu de la Candi.	agrupació acústica provisional; identitat pendent
29	84.680	87.800	0	2.5661	El fet de no estar sol, a més, encara és un plus, no?	agrupació acústica provisional; identitat pendent
30	87.880	92.200	0	2.1051	Això és brutal, o sigui, ja no només tiràvem-ho individualment,	agrupació acústica provisional; identitat pendent
31	92.280	94.280	1	1.4728	sinó com a equip i com a país, és brutal.	agrupació acústica provisional; identitat pendent
32	94.360	96.480	1	2.3755	A veure, amb l'Aracan li tinc una relació boníssima,	agrupació acústica provisional; identitat pendent
33	96.560	99.240	1	1.7862	ens intentem ajudar amb tot el que podem,	agrupació acústica provisional; identitat pendent
34	99.320	104.080	0	4.2856	i em vaig alegrar moltíssim, i ojalà segueixi creixent tot l'equip,	agrupació acústica provisional; identitat pendent
35	104.160	107.240	0	4.1673	que, a mi també en beneficia, de cara a fora,	agrupació acústica provisional; identitat pendent
36	107.320	109.320	1	1.1978	de cara als altres països, de cara als entrenaments,	agrupació acústica provisional; identitat pendent
37	109.400	111.000	1	3.1684	és molt millor tenir un equip fort.	agrupació acústica provisional; identitat pendent
38	111.080	114.600	1	3.1919	Per tant, l'Aracan ha estat excel·lent,	agrupació acústica provisional; identitat pendent
39	114.680	118.280	0	2.9273	amb l'Ujjove que és i amb la disciplina de descens, que té la.	agrupació acústica provisional; identitat pendent
40	118.360	120.160	0	4.8339	Anem pas a pas.	agrupació acústica provisional; identitat pendent
41	120.240	124.360	0	3.3027	"Venies de ""Solden"", de ""Valdiger"", de fer un molt bon esquí."	agrupació acústica provisional; identitat pendent
42	124.440	128.280	0	4.0007	"A ""Solden"" entres a la segona mànega, sortida de pista."	agrupació acústica provisional; identitat pendent
43	128.360	130.560	0	2.5860	"A ""Valdiger"" també estaves fent bons parcials"	agrupació acústica provisional; identitat pendent
44	130.640	133.760	1	3.3962	i no vas poder completar aquesta primera mànega.	agrupació acústica provisional; identitat pendent
45	133.840	137.080	0	3.0146	Suposo que això, d'alguna manera, va aixecar una pressió	agrupació acústica provisional; identitat pendent
46	137.160	139.160	1	3.6170	perquè un dels grans objectius de la temporada	agrupació acústica provisional; identitat pendent
47	139.240	142.240	1	1.4284	s'ha de ser aquesta clasificació per les finals de la Copa del Mundo,	agrupació acústica provisional; identitat pendent
48	142.320	144.320	1	4.8115	només entre els 25 primers.	agrupació acústica provisional; identitat pendent
49	144.400	148.400	0	2.9420	et situa en la porta de sortida d'aquesta primera mànega al Tava Díaz.	agrupació acústica provisional; identitat pendent
50	148.480	151.120	1	2.5239	Com estàveu? Perquè jo et veig veure una mica diferent	agrupació acústica provisional; identitat pendent
51	151.200	154.200	0	4.9134	en aquella primera mànega respecte a les altres mànigues	agrupació acústica provisional; identitat pendent
52	154.280	155.440	1	6.0751	que vas fer després.	agrupació acústica provisional; identitat pendent
53	155.520	157.800	0	2.5267	Sí, ho has dit molt bé. Un amic el resum és aquest.	agrupació acústica provisional; identitat pendent
54	157.880	161.600	0	2.6752	Estem esquiant molt, molt forts amb entrenament,	agrupació acústica provisional; identitat pendent
55	161.680	164.000	1	1.7830	compartint entrenaments amb grans esquiadors,	agrupació acústica provisional; identitat pendent
56	164.080	166.080	0	3.3785	teníem referències boníssimes cada dia,	agrupació acústica provisional; identitat pendent
57	166.160	169.400	0	5.0787	esquiant un nivell boníssim i en aquestes dues primeres copes del món,	agrupació acústica provisional; identitat pendent
58	169.480	172.800	0	2.3420	sol de ni i valdiser, va passar això.	agrupació acústica provisional; identitat pendent
59	172.880	175.880	0	2.1854	Vaig sortir a Pertotes amb grans objectius personals,	agrupació acústica provisional; identitat pendent
60	175.960	180.040	0	2.4665	i, bueno, no vaig poder acabar malauradament les manes,	agrupació acústica provisional; identitat pendent
61	180.120	182.120	0	2.5762	i això el que va fer és que a la tercera carrera	agrupació acústica provisional; identitat pendent
62	182.200	185.200	1	1.4596	tenia una premsa afegida de, com has comentat molt bé,	agrupació acústica provisional; identitat pendent
63	185.280	188.480	0	3.6839	l'objectiu principal és poder estar a les finals de la Copa del Món	agrupació acústica provisional; identitat pendent
64	188.560	190.560	0	3.9111	i s'han de sumar punts.	agrupació acústica provisional; identitat pendent
65	190.640	192.640	0	3.2824	Per tant, aquesta primera mà negada dalt de dia,	agrupació acústica provisional; identitat pendent
66	192.720	195.200	0	2.5837	me la vaig prendre conscients del bon nivell que teníem.	agrupació acústica provisional; identitat pendent
67	195.280	197.280	1	3.4369	No ho assegura, evidentment,	agrupació acústica provisional; identitat pendent
68	197.360	199.360	1	2.5220	perquè estàs comparant amb els millors del món	agrupació acústica provisional; identitat pendent
69	199.440	202.880	1	2.9272	i és una mica el Fredema que no entén els 30 millors.	agrupació acústica provisional; identitat pendent
