categoria	forma	small	base	consens	estat
discurs	a nivell	10	9	sí	ASR textual; pendent d'audició
discurs	a veure	0	1	no	ASR textual; pendent d'audició
discurs	aleshores	0	0	no	ASR textual; pendent d'audició
discurs	aviam	0	0	no	ASR textual; pendent d'audició
discurs	bueno	17	20	sí	ASR textual; pendent d'audició
discurs	bé	12	13	sí	ASR textual; pendent d'audició
discurs	clar	19	13	sí	ASR textual; pendent d'audició
discurs	de fet	1	2	sí	ASR textual; pendent d'audició
discurs	diguem	0	0	no	ASR textual; pendent d'audició
discurs	doncs	11	4	sí	ASR textual; pendent d'audició
discurs	evidentment	5	5	sí	ASR textual; pendent d'audició
discurs	llavors	10	7	sí	ASR textual; pendent d'audició
discurs	no?	56	76	sí	ASR textual; pendent d'audició
discurs	o sigui	1	0	no	ASR textual; pendent d'audició
discurs	per tant	1	1	sí	ASR textual; pendent d'audició
discurs	perquè	32	32	sí	ASR textual; pendent d'audició
discurs	vull dir	1	1	sí	ASR textual; pendent d'audició
discurs	és a dir	13	12	sí	ASR textual; pendent d'audició
territorial	Canillo	0	0	no	ASR textual; pendent d'audició
territorial	Escaldes	0	0	no	ASR textual; pendent d'audició
territorial	Massana	0	0	no	ASR textual; pendent d'audició
territorial	Ordino	0	0	no	ASR textual; pendent d'audició
territorial	Sant Julià	0	0	no	ASR textual; pendent d'audició
territorial	aiguats	0	0	no	ASR textual; pendent d'audició
territorial	andorrana	0	0	no	ASR textual; pendent d'audició
territorial	comunal	0	0	no	ASR textual; pendent d'audició
territorial	comunals	0	0	no	ASR textual; pendent d'audició
territorial	comuns	0	0	no	ASR textual; pendent d'audició
territorial	comú	0	0	no	ASR textual; pendent d'audició
territorial	copríncep	0	0	no	ASR textual; pendent d'audició
territorial	coprínceps	0	0	no	ASR textual; pendent d'audició
territorial	padrí	0	0	no	ASR textual; pendent d'audició
territorial	parròquia	0	0	no	ASR textual; pendent d'audició
territorial	santuari	0	0	no	ASR textual; pendent d'audició
territorial	veguer	0	0	no	ASR textual; pendent d'audició
