model	categoria	forma	segment	inici_s	final_s	prob_min_segment	text_asr	estat
small	discurs	doncs	9	35.360	37.120	0.0000	doncs podríem dir que pràcticament brutal,	candidat ASR; pendent d'audició
small	discurs	perquè	12	43.120	45.600	0.0000	perquè el pressupost un poc, diguéssim, no és per llençar aquets.	candidat ASR; pendent d'audició
small	discurs	clar	24	71.760	73.760	0.0000	A mi m'ho han demanat una vegada i ho tenia molt clar.	candidat ASR; pendent d'audició
small	discurs	bueno	27	79.360	84.240	0.0000	Bueno, a l'estiu comencem a apretar l'accelerador	candidat ASR; pendent d'audició
small	discurs	perquè	30	94.880	98.000	0.0000	perquè és a piñon, com es diu vulgarament.	candidat ASR; pendent d'audició
small	discurs	llavors	39	119.280	121.600	0.0000	i llavors no tens massa temps de plantejar-t'ho,	candidat ASR; pendent d'audició
small	discurs	és a dir	41	123.760	126.480	0.0000	És a dir, a mitjans d'agost,	candidat ASR; pendent d'audició
small	discurs	doncs	43	129.520	132.560	0.0000	doncs has de sentar-te, has d'agafar la calculadora,	candidat ASR; pendent d'audició
small	discurs	perquè	48	143.520	145.440	0.0000	i que haurà l'orella, perquè et veia aquests dies,	candidat ASR; pendent d'audició
small	discurs	bueno	52	152.080	154.480	0.0000	Sí, bueno, no. A vegades fas patir, una vinga.	candidat ASR; pendent d'audició
small	discurs	bueno	53	154.560	158.720	0.0000	No, bueno, al final, ens hem de ser conscients,	candidat ASR; pendent d'audició
small	discurs	no?	54	158.800	161.600	0.0000	jo crec que a la vida és molt important saber qui ets, no?	candidat ASR; pendent d'audició
small	discurs	llavors	55	161.680	165.120	0.0000	I llavors nosaltres som una federació minúscula	candidat ASR; pendent d'audició
small	discurs	clar	70	209.600	213.040	0.0000	Clar, l'any de la pandèmia encara es va fer alguna cosa en streaming.	candidat ASR; pendent d'audició
small	discurs	bé	73	218.480	221.920	0.0000	perquè va bé els jocs, i ja no en tenia més espai per gaire cosa més.	candidat ASR; pendent d'audició
small	discurs	perquè	73	218.480	221.920	0.0000	perquè va bé els jocs, i ja no en tenia més espai per gaire cosa més.	candidat ASR; pendent d'audició
small	discurs	clar	76	227.840	230.080	0.0000	clar, és un europeu que d'any.	candidat ASR; pendent d'audició
small	discurs	bé	80	237.920	240.080	0.0000	el que ve a vellar perquè tot estigui bé,	candidat ASR; pendent d'audició
small	discurs	perquè	80	237.920	240.080	0.0000	el que ve a vellar perquè tot estigui bé,	candidat ASR; pendent d'audició
small	discurs	perquè	90	266.160	268.000	0.0000	O sense ventilador, perquè me'l vam prendre,	candidat ASR; pendent d'audició
small	discurs	perquè	91	268.080	270.400	0.0000	perquè feia tanta calor que tot el món se me l'emportava.	candidat ASR; pendent d'audició
small	discurs	no?	93	275.040	279.360	0.0000	"i al principi et diuen ""això és una broma, no? És el joc, no?"	candidat ASR; pendent d'audició
small	discurs	clar	96	284.960	290.560	0.0000	Llavors, clar, això, si ho contraposes a la capacitat organitzativa	candidat ASR; pendent d'audició
small	discurs	llavors	96	284.960	290.560	0.0000	Llavors, clar, això, si ho contraposes a la capacitat organitzativa	candidat ASR; pendent d'audició
small	discurs	doncs	98	294.080	296.560	0.0000	doncs al·legades per la gent de fora és una mica inexplicable,	candidat ASR; pendent d'audició
