segment	inici_s	final_s	rol_provisional	confiança	motiu	text_asr	estat
1	0.000	17.000	dj-neura-probable	baixa	segment llarg compatible amb resposta	Hola, bona nit. Aquí estem a l'actorama de freqüència electrònica. Aquesta nit tenim uns dades a DJ Neura, i li farem unes preguntes per saber una mica més de la seva tradició.	heurística textual; pendent d'audició
2	17.000	20.000	indeterminat	baixa	no hi ha senyal textual suficient	Bona nit, Julià. Hola, molt bona nit.	heurística textual; pendent d'audició
3	24.000	29.000	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Com vas iniciar el teu camí a la música electrònica i quines van ser els seus principals influències?	heurística textual; pendent d'audició
4	30.000	33.000	dj-neura-probable	baixa	primera persona i resposta desenvolupada	La meva principal influència va ser el meu germà.	heurística textual; pendent d'audició
5	33.000	39.000	dj-neura-probable	baixa	primera persona i resposta desenvolupada	De fet, i jo ens portem una diferència d'edat bastant significativa a veure els 80 anys i mig.	heurística textual; pendent d'audició
6	39.000	44.000	dj-neura-probable	baixa	primera persona i resposta desenvolupada	I, bueno, on que ell era més gran que jo i quan ell va començar a sortir de festa,	heurística textual; pendent d'audició
7	44.000	50.000	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	doncs la música electrònica va estar bé amb el seu millor moment, no?, els anys 90.	heurística textual; pendent d'audició
8	50.000	53.520	dj-neura-probable	baixa	primera persona i resposta desenvolupada	Aleshores, clar, hi havia un recopilatori que em va cautivar molt,	heurística textual; pendent d'audició
9	53.600	56.720	indeterminat	baixa	no hi ha senyal textual suficient	que a més avui en dia és un recopilatori molt molt antic i molt pastelós,	heurística textual; pendent d'audició
10	56.800	60.880	indeterminat	baixa	no hi ha senyal textual suficient	que és el Sonic Mix, que tenia una cançó que es deia de la Minerva,	heurística textual; pendent d'audició
11	60.960	62.760	indeterminat	baixa	no hi ha senyal textual suficient	"en la de ""Estoy llorando por ti""."	heurística textual; pendent d'audició
12	62.840	65.400	indeterminat	baixa	no hi ha senyal textual suficient	Que entené, entené... Està empillat, aquí.	heurística textual; pendent d'audició
13	65.480	68.400	indeterminat	baixa	no hi ha senyal textual suficient	I això va ser gràcies al...	heurística textual; pendent d'audició
