categoria	forma	segment	inici_s	final_s	text_asr	estat
discurs	a veure	5	33.000	39.000	De fet, i jo ens portem una diferència d'edat bastant significativa a veure els 80 anys i mig.	rol DJ Neura provisional; pendent d'audició
discurs	de fet	5	33.000	39.000	De fet, i jo ens portem una diferència d'edat bastant significativa a veure els 80 anys i mig.	rol DJ Neura provisional; pendent d'audició
discurs	bueno	6	39.000	44.000	I, bueno, on que ell era més gran que jo i quan ell va començar a sortir de festa,	rol DJ Neura provisional; pendent d'audició
discurs	aleshores	8	50.000	53.520	Aleshores, clar, hi havia un recopilatori que em va cautivar molt,	rol DJ Neura provisional; pendent d'audició
discurs	clar	8	50.000	53.520	Aleshores, clar, hi havia un recopilatori que em va cautivar molt,	rol DJ Neura provisional; pendent d'audició
discurs	doncs	50	226.280	234.280	Doncs si et dic la veritat, després d'haver estat desconectat de la cena musical durant pràcticament una dècada...	rol DJ Neura provisional; pendent d'audició
discurs	doncs	62	292.680	295.680	doncs quan em feien alguna petició de dedicatòria o el que fos,	rol DJ Neura provisional; pendent d'audició
discurs	doncs	63	295.680	298.680	doncs jo seria i les dedicava, no tenia aquest problema.	rol DJ Neura provisional; pendent d'audició
discurs	bueno	84	387.000	394.080	Sí, la veritat que, bueno, vam començar nosaltres, això era impensable fer un festival de música electrònica aquí al país.	rol DJ Neura provisional; pendent d'audició
discurs	bé	85	394.080	402.880	Bé, si encara estancava l'estès, eren les maties i xarxes, o sigui que, si fiquem com a exemple això, tot allò de més no cal dir res més.	rol DJ Neura provisional; pendent d'audició
discurs	o sigui	85	394.080	402.880	Bé, si encara estancava l'estès, eren les maties i xarxes, o sigui que, si fiquem com a exemple això, tot allò de més no cal dir res més.	rol DJ Neura provisional; pendent d'audició
discurs	bueno	96	450.000	458.200	I sigui amb un gran escenari, sigui amb un petit escenari, amb un gran event, o bueno, continua passant, continua passant.	rol DJ Neura provisional; pendent d'audició
discurs	perquè	103	491.000	497.640	o el pujar cap als 3 milions, perquè jo visco aquí a Andorra.	rol DJ Neura provisional; pendent d'audició
discurs	bueno	107	514.920	524.040	Sí, la veritat és que, bueno, en el nostre país vivim amb moltes dades de natura i això no té preu.	rol DJ Neura provisional; pendent d'audició
discurs	clar	116	572.520	575.880	I com que a mi m'agrada més clar-ho tot, doncs, escubella.	rol DJ Neura provisional; pendent d'audició
discurs	doncs	116	572.520	575.880	I com que a mi m'agrada més clar-ho tot, doncs, escubella.	rol DJ Neura provisional; pendent d'audició
discurs	doncs	133	655.600	662.600	Doncs em podeu trobar a qualsevol dels serveis de podcast que pugueu tindre els vostres serveis	rol DJ Neura provisional; pendent d'audició
